,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Burger King,"10055 cedar avenue, bloomington, ca, 92316, us",4.797307692307692,3.79,2.63084303202825,,26,,2.69,3.79,7.99,4.19,,ca,92316,San Bernardino,2024-06-15,0,1,1,0
1,Burger King,"1009 n ben maddox way, visalia, ca, 93292, us",4.171923076923077,3.39,2.2770071775008813,,26,,2.29,3.49,6.59,2.5,,ca,93292,Tulare,2024-06-15,0,1,1,0
2,Burger King,"1030 mclaughlin ave., san jose, ca, 95122, us",4.963478260869564,3.99,2.793812431374254,,23,,2.49,3.49,7.69,3.99,,ca,95122,Santa Clara,2024-06-15,0,1,1,0
3,Burger King,"1042 north carpenter road, modesto, ca, 95351, us",5.001538461538463,4.140000000000001,2.470024435113785,,26,,3.29,4.09,7.49,4.19,,ca,95351,Stanislaus,2024-06-15,0,1,1,0
4,Burger King,"111, colma, ca, 94014, us",4.858846153846153,4.09,2.607185819884782,,26,,2.89,4.59,7.89,4.19,,ca,94014,San Mateo,2024-06-15,0,1,1,0
5,Burger King,"115, lincoln, ca, 95648, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,95648,Placer,2024-06-15,0,1,1,0
6,Burger King,"1153 north h street, lompoc, ca, 93436, us",4.833437500000001,4.34,2.4470372511659377,,32,,2.89,3.89,7.99,4.19,,ca,93436,Santa Barbara,2024-06-15,0,1,1,0
7,Burger King,"1181 old oakland road, san jose, ca, 95112, us",5.6579999999999995,4.39,2.5971861696844147,,25,,2.99,4.39,8.49,4.69,,ca,95112,Santa Clara,2024-06-15,0,1,1,0
8,Burger King,"2170 monterey road, san jose, ca, 95112, us",4.884814814814814,3.49,2.838713023955241,,27,,2.64,4.69,7.99,4.49,,ca,95112,Santa Clara,2024-06-15,0,1,1,0
9,Burger King,"1201 south, anaheim, ca, 92805, us",5.398333333333331,3.99,2.8865949760150897,,24,,2.99,3.99,7.99,4.99,,ca,92805,Orange,2024-06-15,0,1,1,0
10,Burger King,"12077 palmdale road, victorville, ca, 92392, us",4.797307692307693,3.79,2.6314277459676747,,26,,2.59,3.79,7.99,4.19,,ca,92392,San Bernardino,2024-06-15,0,1,1,0
11,Burger King,"1210 11th ave, san diego, ca, 92101, us",5.0456,4.19,2.7558143333686327,,25,,2.79,4.59,7.99,4.19,,ca,92101,San Diego,2024-06-15,0,1,1,0
12,Burger King,"1220 south 28th street, san diego, ca, 92113, us",4.824615384615385,3.89,2.333854900850704,,26,,3.29,3.89,7.09,3.49,,ca,92113,San Diego,2024-06-15,0,1,1,0
13,Burger King,"1255 north blackstone street, tulare, ca, 93274, us",4.55741935483871,3.99,2.2375043236461174,,31,,2.69,3.59,7.19,3.99,,ca,93274,Tulare,2024-06-15,0,1,1,0
14,Burger King,"1260 anderson drive, suisun city, ca, 94585, us",4.2976,3.79,2.292986314830509,,25,,2.59,3.79,6.99,3.99,,ca,94585,Solano,2024-06-15,0,1,1,0
15,Burger King,"1265 third avenue, chula vista, ca, 91911, us",4.870322580645163,4.29,2.5900933896115537,,31,,2.79,4.59,7.99,4.19,,ca,91911,San Diego,2024-06-15,0,1,1,0
