,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Carls Jr,"1 hallidie plaza, san francisco, ca, 94102, us",9.993684210526316,10.99,3.0117056026642306,,19,,5.36,8.99,,,,ca,94102,San Francisco,2024-06-15,0,1,1,0
1,Carls Jr,"1000 farmers ln, santa rosa, ca, 95405, us",8.58,8.99,2.6278488300669447,,19,,4.19,7.19,,,,ca,95405,Sonoma,2024-06-15,0,1,1,0
2,Carls Jr,"1001 veterans blvd, redwood city, ca, 94063, us",8.958333333333334,9.885000000000002,2.634822363820546,,24,,4.88,7.55,,,,ca,94063,San Mateo,2024-06-15,0,1,1,0
3,Carls Jr,"101 ferrari ranch rd, lincoln, ca, 95648, us",8.258947368421053,8.79,1.9824994716581017,,19,,4.99,6.89,,,,ca,95648,Placer,2024-06-15,0,1,1,0
4,Carls Jr,"101 s union ave, bakersfield, ca, 93307, us",8.601666666666667,8.99,2.1132603825474146,,18,,4.99,6.89,,,,ca,93307,Kern,2024-06-15,0,1,1,0
5,Carls Jr,"10770 macarthur blvd, oakland, ca, 94605, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94605,Alameda,2024-06-15,0,1,1,0
6,Carls Jr,"1095 oakland rd, san jose, ca, 95112, us",8.501111111111111,9.04,1.7051845416223002,,18,,5.99,8.99,,,,ca,95112,Santa Clara,2024-06-15,0,1,1,0
7,Carls Jr,"1095 oakland road, san jose, ca, 95112, us",8.381304347826088,9.09,1.7103045860131514,,23,,5.99,8.99,,,,ca,95112,Santa Clara,2024-06-15,0,1,1,0
8,Carls Jr,"1101 branham ln, san jose, ca, 95118, us",8.190526315789475,8.69,2.068766410166647,,19,,4.99,6.69,,,,ca,95118,Santa Clara,2024-06-15,0,1,1,0
9,Carls Jr,"11051 euclid ave, garden grove, ca, 92840, us",7.20111111111111,7.49,2.030295240951941,,18,,3.39,5.19,,,,ca,92840,Orange,2024-06-15,0,1,1,0
10,Carls Jr,"1140 triton dr, san mateo, ca, 94404, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94404,San Mateo,2024-06-15,0,1,1,0
11,Carls Jr,"1142 fremont blvd, seaside, ca, 93955, us",7.9957894736842094,8.49,1.8938885527969993,,19,,4.59,6.99,,,,ca,93955,Monterey,2024-06-15,0,1,1,0
12,Carls Jr,"118 e whitmore ave, modesto, ca, 95358, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,95358,Stanislaus,2024-06-15,0,1,1,0
13,Carls Jr,"1180 s mount vernon ave, colton, ca, 92324, us",8.01157894736842,8.49,1.9535561720747943,,19,,4.59,6.99,,,,ca,92324,San Bernardino,2024-06-15,0,1,1,0
14,Carls Jr,"1259 w carson st, torrance, ca, 90502, us",8.240416666666668,8.69,1.9635755633678975,,24,,4.99,6.69,,,,ca,90502,Los Angeles,2024-06-15,0,1,1,0
15,Carls Jr,"1280 e plaza blvd, national city, ca, 91950, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,91950,San Diego,2024-06-15,0,1,1,0
16,Carls Jr,"1502 sweetwater rd, national city, ca, 91950, us",7.653684210526315,7.99,1.8357709137159324,,19,,4.39,6.19,,,,ca,91950,San Diego,2024-06-15,0,1,1,0
17,Carls Jr,"13011 harbor blvd, garden grove, ca, 92843, us",7.156666666666666,7.44,2.037972849017703,,18,,3.29,5.19,,,,ca,92843,Orange,2024-06-15,0,1,1,0
18,Carls Jr,"14041 newport ave, tustin, ca, 92780, us",8.491052631578947,8.69,2.2918640878616507,,19,,4.99,6.69,,,,ca,92780,Orange,2024-06-15,0,1,1,0
19,Carls Jr,"14292 highway 395, adelanto, ca, 92301, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92301,San Bernardino,2024-06-15,0,1,1,0
20,Carls Jr,"14454 valley blvd, fontana, ca, 92335, us",7.150869565217391,7.29,1.7724311798584997,,23,,3.39,5.59,,,,ca,92335,San Bernardino,2024-06-15,0,1,1,0
21,Carls Jr,"1505 e highland ave, san bernardino, ca, 92404, us",7.04,7.390000000000001,1.8714967272212901,,18,,3.29,5.49,,,,ca,92404,San Bernardino,2024-06-15,0,1,1,0
22,Carls Jr,"293 east 40th street, san bernardino, ca, 92404, us",7.601111111111111,8.04,1.9272573745232682,,18,,3.79,6.49,,,,ca,92404,San Bernardino,2024-06-15,0,1,1,0
23,Carls Jr,"15227 hook blvd, victorville, ca, 92394, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92394,San Bernardino,2024-06-15,0,1,1,0
24,Carls Jr,"1550 fitzgerald drive, pinole, ca, 94564, us",8.248421052631578,8.69,2.0078956335791607,,19,,4.99,6.69,,,,ca,94564,Contra Costa,2024-06-15,0,1,1,0
25,Carls Jr,"15669 main st, hesperia, ca, 92345, us",7.684444444444444,8.14,1.9514872454453303,,18,,3.99,6.49,,,,ca,92345,San Bernardino,2024-06-15,0,1,1,0
26,Carls Jr,"1588 n 1st st, fresno, ca, 93703, us",8.958333333333334,9.885000000000002,2.634822363820546,,24,,4.88,7.55,,,,ca,93703,Fresno,2024-06-15,0,1,1,0
27,Carls Jr,"1600 oakdale rd, modesto, ca, 95355, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,95355,Stanislaus,2024-06-15,0,1,1,0
28,Carls Jr,"16101 n. harbor blvd, fountain valley, ca, 92708, us",8.240416666666668,8.69,1.9635755633678975,,24,,4.99,6.69,,,,ca,92708,Orange,2024-06-15,0,1,1,0
29,Carls Jr,"16565 sierra lakes pkwy, fontana, ca, 92336, us",8.240416666666668,8.69,1.9635755633678975,,24,,4.99,6.69,,,,ca,92336,San Bernardino,2024-06-15,0,1,1,0
30,Carls Jr,"1670 pacific coast highway, long beach, ca, 90810, us",7.420434782608697,7.59,1.9556906447392453,,23,,4.99,6.79,,,,ca,90810,Los Angeles,2024-06-15,0,1,1,0
31,Carls Jr,"1670 w pacific coast hwy, long beach, ca, 90813, us",7.82888888888889,8.29,1.8930102097772712,,18,,4.99,6.79,,,,ca,90813,Los Angeles,2024-06-15,0,1,1,0
32,Carls Jr,"172 bernal rd, san jose, ca, 95139, us",8.190526315789475,8.69,2.068766410166647,,19,,4.99,6.69,,,,ca,95139,Santa Clara,2024-06-15,0,1,1,0
33,Carls Jr,"1745 s victoria ave, ventura, ca, 93003, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,93003,Ventura,2024-06-15,0,1,1,0
34,Carls Jr,"3015 johnson drive, ventura, ca, 93003, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,93003,Ventura,2024-06-15,0,1,1,0
35,Carls Jr,"1751 s soto st, los angeles, ca, 90023, us",8.212222222222222,8.69,1.9892923240733835,,18,,4.99,6.69,,,,ca,90023,Los Angeles,2024-06-15,0,1,1,0
36,Carls Jr,"1809 e edinger ave, santa ana, ca, 92705, us",7.04,7.390000000000001,1.8714967272212901,,18,,3.29,5.49,,,,ca,92705,Orange,2024-06-15,0,1,1,0
37,Carls Jr,"18741 via princessa, santa clarita, ca, 91387, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,91387,Los Angeles,2024-06-15,0,1,1,0
38,Carls Jr,"1881 e del amo blvd, carson, ca, 90746, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,90746,Los Angeles,2024-06-15,0,1,1,0
39,Carls Jr,"1890 mccandless dr, milpitas, ca, 95035, us",8.501111111111111,9.04,1.7051845416223002,,18,,5.99,8.99,,,,ca,95035,Santa Clara,2024-06-15,0,1,1,0
40,Carls Jr,"18950 soledad canyon rd, canyon country, ca, 91351, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,91351,Los Angeles,2024-06-15,0,1,1,0
41,Carls Jr,"1999 camden ave, san jose, ca, 95124, us",8.190526315789475,8.69,2.068766410166647,,19,,4.99,6.69,,,,ca,95124,Santa Clara,2024-06-15,0,1,1,0
42,Carls Jr,"2022 n riverside ave, rialto, ca, 92377, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,92377,San Bernardino,2024-06-15,0,1,1,0
43,Carls Jr,"20550 mission blvd, hayward, ca, 94541, us",7.317777777777778,7.84,1.771943551758149,,18,,3.99,6.19,,,,ca,94541,Alameda,2024-06-15,0,1,1,0
44,Carls Jr,"2110 w 7th st, los angeles, ca, 90057, us",8.240416666666668,8.69,1.9635755633678975,,24,,4.99,6.69,,,,ca,90057,Los Angeles,2024-06-15,0,1,1,0
45,Carls Jr,"2119 s harbor blvd, anaheim, ca, 92802, us",7.20111111111111,7.49,2.030295240951941,,18,,3.39,5.19,,,,ca,92802,Orange,2024-06-15,0,1,1,0
46,Carls Jr,"222 n. euclid ave, fullerton, ca, 92832, us",8.553333333333335,8.84,2.2169229175192857,,24,,4.99,6.69,,,,ca,92832,Orange,2024-06-15,0,1,1,0
47,Carls Jr,"2280 arden way, sacramento, ca, 95825, us",8.12375,8.79,1.8689431338325944,,24,,4.99,6.89,,,,ca,95825,Sacramento,2024-06-15,0,1,1,0
48,Carls Jr,"2301 n, oxnard, ca, 93036, us",7.123333333333331,7.49,1.887679351302369,,18,,3.39,5.59,,,,ca,93036,Ventura,2024-06-15,0,1,1,0
49,Carls Jr,"2320 e 4th st, los angeles, ca, 90033, us",8.212222222222222,8.69,1.9892923240733835,,18,,4.99,6.69,,,,ca,90033,Los Angeles,2024-06-15,0,1,1,0
50,Carls Jr,"2380 n texas st, fairfield, ca, 94533, us",8.248421052631578,8.69,2.0078956335791607,,19,,4.99,6.69,,,,ca,94533,Solano,2024-06-15,0,1,1,0
51,Carls Jr,"2400 white ln, bakersfield, ca, 93304, us",8.451304347826088,8.99,2.0396681408414716,,23,,4.99,6.89,,,,ca,93304,Kern,2024-06-15,0,1,1,0
52,Carls Jr,"2434 junipero serra blvd, daly city, ca, 94015, us",9.160526315789474,9.89,2.7007454598279272,,19,,4.88,7.55,,,,ca,94015,San Mateo,2024-06-15,0,1,1,0
53,Carls Jr,"24715 pico canyon rd, stevenson ranch, ca, 91381, us",8.174736842105265,8.69,2.060169559759208,,19,,4.99,6.69,,,,ca,91381,Los Angeles,2024-06-15,0,1,1,0
