,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Outback Steakhouse,"12001 harbor boulevard, garden grove, ca, 92840, us",18.765824175824186,12.99,13.927775558682795,4.5,100,1,4.99,10.49,15.99,,,ca,92840,Orange,2024-05-14,1,1,0,0
1,Red Robin,"12007 harbor blvd, garden grove, ca, 92840, us",12.960338983050848,12.49,8.527257485503384,4.6,119,1,4.79,8.39,,,,ca,92840,Orange,2024-05-14,1,1,0,0
2,Outback Steakhouse,"12400b amargosa road, victorville, ca, 92392, us",15.750000000000014,12.79,11.15001576165471,4.3,111,600+,3.99,8.39,12.79,,,ca,92392,San Bernardino,2024-05-14,1,1,0,0
3,Red Robin,"14400 bear valley rd #405, victorville, ca, 92392, us",12.644237288135605,12.190000000000001,8.436730068502792,4.5,119,600+,4.79,8.39,,,,ca,92392,San Bernardino,2024-05-14,1,1,0,0
4,Outback Steakhouse,"1246 great mall drive, milpitas, ca, 95035, us",20.328297872340436,17.49,14.37055282834043,4.3,104,1,4.99,15.99,,,,ca,95035,Santa Clara,2024-05-14,1,1,0,0
5,Denny,"333 s abbott ave, milpitas, ca, 95035, us",11.534444444444459,9.94,6.923261024248367,4.5,138,480+,5.59,17.29,,,,ca,95035,Santa Clara,2024-05-14,1,1,0,0
6,Outback Steakhouse,"12850, norwalk, ca, 90650, us",19.69000000000001,15.99,13.937519702068387,4.5,111,800+,4.99,10.49,15.99,,,ca,90650,Los Angeles,2024-05-14,1,1,0,0
7,Applebee,"12129 imperial hwy, norwalk, ca, 90650, us",22.658376068376057,17.49,22.749549256632324,4.6,118,800+,,17.49,16.29,,,ca,90650,Los Angeles,2024-05-14,1,1,0,0
8,Outback Steakhouse,"1340 howe ave., sac ii, ca, 95825, us",19.51871287128714,14.99,14.020404766926248,4.4,111,1,4.99,10.49,15.99,,,ca,95825,Sacramento,2024-05-14,1,1,0,0
9,Buffalo Wild Wings,"2023 arden way, sacramento, ca, 95825, us",8.860000000000008,7.29,9.744209654054977,4.4,110,170+,5.99,15.99,,,,ca,95825,Sacramento,2024-05-14,1,1,0,0
10,Applebee,"2024 arden way, sacramento, ca, 95825, us",26.28262295081961,17.689999999999998,26.086169214119387,4.0,246,600+,,16.69,15.39,,,ca,95825,Sacramento,2024-05-14,1,1,0,0
11,Denny,"1322 howe ave., sacramento, ca, 95825, us",11.981047619047624,10.07,7.370024219616406,4.1,135,410+,6.02,17.46,,,,ca,95825,Sacramento,2024-05-14,1,1,0,0
12,Outback Steakhouse,"1361 fitzgerald drive, pinole, ca, 94564, us",19.83591836734695,16.74,14.11020884127363,4.4,108,700+,4.99,10.49,15.99,,,ca,94564,Contra Costa,2024-05-14,1,1,0,0
13,Applebee,"1369 fitzgerald drive, pinole, ca, 94564, us",26.32388429752064,17.89,26.207820275442963,4.3,122,800+,,16.69,15.39,,,ca,94564,Contra Costa,2024-05-14,1,1,0,0
14,Outback Steakhouse,"14701 pomerado rd., poway, ca, 92064, us",15.448775510204094,12.39,10.76166621509488,4.6,108,1,3.99,8.39,12.79,,,ca,92064,San Diego,2024-05-14,1,1,0,0
15,Outback Steakhouse,"1476 n. azusa ave., covina, ca, 91722, us",15.628431372549032,12.39,11.162287939719697,4.6,112,1,3.99,8.39,12.79,,,ca,91722,Los Angeles,2024-05-14,1,1,0,0
16,Outback Steakhouse,"150a longbrook way, pleasant hill, ca, 94523, us",17.40829268292683,14.24,12.95637264850852,4.6,94,700+,4.99,7.49,14.49,,,ca,94523,Contra Costa,2024-05-14,1,1,0,0
17,Denny,"612 contra costa blvd., pleasant hill, ca, 94523, us",12.065887850467295,10.07,7.32666745440398,4.5,137,180+,6.02,17.46,,,,ca,94523,Contra Costa,2024-05-14,1,1,0,0
18,Outback Steakhouse,"1640 camino del rio n., san diego, ca, 92108, us",19.69686274509805,15.49,14.090500622926443,4.4,112,2,4.99,10.49,15.99,,,ca,92108,San Diego,2024-05-14,1,1,0,0
19,Buffalo Wild Wings,"1640 camino del rio n, san diego, ca, 92108, us",8.973535353535361,7.29,9.985667437279398,4.2,107,3,5.99,16.29,,,,ca,92108,San Diego,2024-05-14,1,1,0,0
20,Denny,"1065 camino del rio, san diego, ca, 92108, us",12.423396226415091,10.955,7.629889819278218,4.3,136,700+,6.02,18.39,,,,ca,92108,San Diego,2024-05-14,1,1,0,0
21,Denny,"7676 friars rd, san diego, ca, 92108, us",12.421415094339618,10.955,7.609324894890388,4.5,136,800+,6.02,18.39,,,,ca,92108,San Diego,2024-05-14,1,1,0,0
22,Outback Steakhouse,"166 e. huntington dr., arcadia, ca, 91006, us",19.421067961165058,14.99,13.935127292058255,4.6,113,1,4.99,10.49,15.99,,,ca,91006,Los Angeles,2024-05-14,1,1,0,0
23,Outback Steakhouse,"1761 n. victory place, burbank, ca, 91504, us",16.659787234042568,14.39,11.028442819299576,4.5,104,2,3.99,8.39,12.79,,,ca,91504,Los Angeles,2024-05-14,1,1,0,0
24,Outback Steakhouse,"177, san marcos, ca, 92069, us",19.69000000000001,15.99,13.937519702068391,4.4,111,800+,4.99,10.49,15.99,,,ca,92069,San Diego,2024-05-14,1,1,0,0
25,Outback Steakhouse,"18711devonshire st., northridge, ca, 91324, us",15.852178217821791,12.79,11.285900395210593,4.5,111,1,3.99,8.39,12.79,,,ca,91324,Los Angeles,2024-05-14,1,1,0,0
26,Red Robin,"9301 tampa ave #210, northridge, ca, 91324, us",12.60512605042018,11.99,8.408105719532431,4.6,120,1,4.79,8.39,,,,ca,91324,Los Angeles,2024-05-14,1,1,0,0
27,Buffalo Wild Wings,"9301 tampa ave, northridge, usa, los angeles, ca, 91324, us",9.310700000000006,7.54,10.23537681328832,4.2,107,2,5.99,17.29,,,,ca,91324,Los Angeles,2024-05-14,1,1,0,0
28,Outback Steakhouse,"20 w. shoreline dr., long beach, ca, 90802, us",15.874000000000015,13.39,11.136117097085501,4.2,110,1,3.99,8.39,12.79,,,ca,90802,Los Angeles,2024-05-14,1,1,0,0
29,Denny,"601, long beach, ca, 90802, us",11.206831683168325,8.29,7.006023848074475,4.4,131,2,5.59,16.89,,,,ca,90802,Los Angeles,2024-05-14,1,1,0,0
30,Outback Steakhouse,"2045-d w. briggsmore ave., modesto, ca, 95350, us",17.22571428571429,13.74,12.864251341801202,4.1,96,340+,4.99,7.49,14.49,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
31,Denny,"1525 mchenry ave., modesto, ca, 95350, us",12.065887850467293,10.07,7.326667454403978,4.0,137,400+,6.02,17.46,,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
32,Denny,"2052 w. orangeburg st., modesto, ca, 95350, us",12.474800000000005,13.24,7.370697861125499,4.4,130,150+,6.02,17.46,,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
33,Outback Steakhouse,"2341 lockwood st., oxnard, ca, 93030, us",18.626082474226813,13.99,13.054147230314355,4.5,106,500+,4.99,10.49,15.99,,,ca,93030,Ventura,2024-05-14,1,1,0,0
34,Denny,"1255 n, oxnard, ca, 93030, us",12.333333333333329,10.175,7.0709873029095816,4.5,131,330+,5.81,19.54,,,,ca,93030,Ventura,2024-05-14,1,1,0,0
35,Outback Steakhouse,"25261n. the old rd., valencia, ca, 91381, us",15.994040404040417,13.99,11.12754267110926,4.5,109,600+,3.99,8.39,12.79,,,ca,91381,Los Angeles,2024-05-14,1,1,0,0
36,Denny,"25341 chiquella dr., stephenson ranch, ca, 91381, us",12.067142857142857,9.89,7.371428202288659,4.5,135,500+,5.59,18.79,,,,ca,91381,Los Angeles,2024-05-14,1,1,0,0
37,Outback Steakhouse,"25322 cabot rd., laguna hills, ca, 92653, us",15.750000000000014,12.79,11.150015761654709,4.5,111,900+,3.99,8.39,12.79,,,ca,92653,Orange,2024-05-14,1,1,0,0
38,Outback Steakhouse,"26652 portola pkwy., foothill ranch, ca, 92610, us",19.570392156862756,15.49,13.921024015859416,4.5,112,500+,4.99,10.49,15.99,,,ca,92610,Orange,2024-05-14,1,1,0,0
39,Outback Steakhouse,"2980 plaza bonita, national city, ca, 91950, us",19.78200000000001,16.74,13.976485108924921,4.4,110,1,4.99,10.49,15.99,,,ca,91950,San Diego,2024-05-14,1,1,0,0
40,Applebee,"3030 plaza bonita road, national city, ca, 91950, us",26.040413223140476,17.49,26.307200170694376,4.4,122,1,,17.29,15.99,,,ca,91950,San Diego,2024-05-14,1,1,0,0
41,Denny,"424 west mile of cars, national city, ca, 91950, us",11.54596153846154,9.81,6.83334535135086,4.4,134,1,5.81,15.9,,,,ca,91950,San Diego,2024-05-14,1,1,0,0
42,Outback Steakhouse,"3525 w. carson st, torrance, ca, 90503, us",19.84500000000001,16.74,13.920146371356877,4.4,110,900+,4.99,10.49,15.99,,,ca,90503,Los Angeles,2024-05-14,1,1,0,0
43,Outback Steakhouse,"371 gellert blvd., daly city, ca, 94015, us",16.732499999999966,12.99,12.168005242977877,4.4,448,2,4.99,8.39,15.99,,,ca,94015,San Mateo,2024-05-14,1,1,0,0
44,Buffalo Wild Wings,"5b serramonte center serramonte center, daly city, ca, 94015, us",9.293828382838239,7.99,10.129341942187994,4.2,330,1,6.49,16.79,,,,ca,94015,San Mateo,2024-05-14,1,1,0,0
45,Outback Steakhouse,"4004 south mooney blvd., visalia, ca, 93277, us",19.69000000000001,15.99,13.937519702068391,4.5,111,320+,4.99,10.49,15.99,,,ca,93277,Tulare,2024-05-14,1,1,0,0
46,Red Robin,"2015 s mooney blvd #505, visalia, ca, 93277, us",12.571666666666678,11.99,8.393191519850411,4.5,121,500+,4.79,8.39,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
47,Buffalo Wild Wings,"4125 s mooney blvd, visalia, ca, 93277, us",8.818484848484859,7.79,9.69744570801361,4.1,107,600+,5.99,15.99,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
48,Applebee,"3400 s. mooney blvd., visalia, ca, 93277, us",25.37278688524588,17.49,26.05742300905088,4.6,123,370+,,16.99,15.39,,,ca,93277,Tulare,2024-05-14,1,1,0,0
49,Denny,"2332 south mooney, visalia, ca, 93277, us",12.23851485148515,12.57,7.210619971166926,4.4,131,500+,5.81,17.14,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
50,Outback Steakhouse,"4196 clairemont mesa blvd., san diego, ca, 92117, us",19.66450980392158,15.49,14.122244213383821,4.5,112,1,4.99,10.49,15.99,,,ca,92117,San Diego,2024-05-14,1,1,0,0
51,Outback Steakhouse,"4350 century blvd, pittsburg, ca, 94565, us",19.26843137254903,14.49,13.91732329636293,4.4,112,400+,4.99,10.49,15.99,,,ca,94565,Contra Costa,2024-05-14,1,1,0,0
52,Outback Steakhouse,"4492, ontario, ca, 91764, us",19.538039215686286,15.49,13.952859924649625,4.6,112,1,4.99,10.49,15.99,,,ca,91764,San Bernardino,2024-05-14,1,1,0,0
53,Applebee,"1021 n. milliken ave., ontario, ca, 91764, us",24.468151260504182,17.49,24.77984122297688,4.4,120,450+,,17.29,15.99,,,ca,91764,San Bernardino,2024-05-14,1,1,0,0
54,Denny,"715 n milliken ave, ontario, ca, 91764, us",11.966831683168323,10.07,7.306500825853924,4.7,131,380+,5.81,17.35,,,,ca,91764,San Bernardino,2024-05-14,1,1,0,0
55,Outback Steakhouse,"5051 stockdale hwy., bakersfield, ca, 93309, us",17.120120481927714,13.49,12.905278036148752,4.6,95,1,4.99,7.49,14.49,,,ca,93309,Kern,2024-05-14,1,1,0,0
56,Outback Steakhouse,"521 davis street, vacaville, ca, 95688, us",19.538039215686183,15.49,13.952859924649621,4.5,224,700+,4.99,10.49,15.99,,,ca,95688,Solano,2024-05-14,1,1,0,0
57,Denny,"1701 e. monte vista ave, vacaville, ca, 95688, us",12.13174757281553,10.07,7.307203843738755,4.2,133,440+,5.81,18.39,,,,ca,95688,Solano,2024-05-14,1,1,0,0
58,Outback Steakhouse,"530 n. mountain ave., upland, ca, 91786, us",19.69000000000001,15.99,13.93751970206839,4.5,111,600+,4.99,10.49,15.99,,,ca,91786,San Bernardino,2024-05-14,1,1,0,0
59,Outback Steakhouse,"5305 clark ave., lakewood, ca, 90712, us",15.874000000000015,13.39,11.136117097085501,4.5,110,1,3.99,8.39,12.79,,,ca,90712,Los Angeles,2024-05-14,1,1,0,0
60,Red Robin,"112, lakewood, ca, 90712, us",12.60512605042018,11.99,8.408105719532431,4.6,120,1,4.79,8.39,,,,ca,90712,Los Angeles,2024-05-14,1,1,0,0
61,Buffalo Wild Wings,"4678 daneland st, lakewood, ca, 90712, us",9.360102040816333,8.04,10.192091321205456,4.2,105,600+,5.99,16.79,,,,ca,90712,Los Angeles,2024-05-14,1,1,0,0
62,Applebee,"4935 graywood ave, lakewood, ca, 90712, us",25.16359999999998,17.49,26.126238593414097,4.6,126,600+,,17.29,15.99,,,ca,90712,Los Angeles,2024-05-14,1,1,0,0
63,Outback Steakhouse,"549, westminster, ca, 92683, us",19.538039215686286,15.49,13.952859924649626,4.6,112,1,4.99,10.49,15.99,,,ca,92683,Orange,2024-05-14,1,1,0,0
64,Outback Steakhouse,"620 e. hospitality lane, san bernardino, ca, 92408, us",15.874000000000015,13.39,11.136117097085501,4.6,110,900+,3.99,8.39,12.79,,,ca,92408,San Bernardino,2024-05-14,1,1,0,0
65,Buffalo Wild Wings,"690 e hospitality ln, san bernardino, ca, 92408, us",9.946600000000009,9.49,10.338932364610965,4.0,109,1,7.29,17.29,,,,ca,92408,San Bernardino,2024-05-14,1,1,0,0
66,Outback Steakhouse,"6505 regional st., dublin, ca, 94568, us",15.895600000000012,13.39,11.114717479090505,4.4,110,600+,3.99,8.39,12.79,,,ca,94568,Alameda,2024-05-14,1,1,0,0
67,Buffalo Wild Wings,"3712, dublin, ca, 94568, us",9.34463917525774,8.99,10.043931035356696,4.4,106,390+,6.49,16.29,,,,ca,94568,Alameda,2024-05-14,1,1,0,0
68,Applebee,"4808, dublin, ca, 94568, us",26.604166666666643,17.89,26.18249191041389,4.5,121,450+,,16.69,15.39,,,ca,94568,Alameda,2024-05-14,1,1,0,0
69,Outback Steakhouse,"722 jamacha rd., el cajon, ca, 92019, us",19.81200000000001,16.74,13.95326900765552,4.4,110,1,4.99,10.49,15.99,,,ca,92019,San Diego,2024-05-14,1,1,0,0
