,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name
0,McDonald,"1 christy dr, chadds ford, pa, 19317, us",5.516615384615381,3.61,4.646158637287393,4.3,145,90,6.59,11.69,3.09,2.49,3.99,,pa,19317,Chester
1,McDonald,"100 brownswitch rd, slidell, la, 70458, us",4.788059701492535,4.07,4.223423220318833,4.0,134,360+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany
2,McDonald,"3301 pontchartrain drive, slidell, la, 70458, us",4.927593984962404,4.07,4.420473582354569,4.2,133,460+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany
3,Wendy,"3915 pontchartrain, slidell, la, 70458, us",5.523137254901961,4.87,2.958956155501582,,83,170+,6.7,0.0,2.79,2.43,0.0,4.2,la,70458,St. Tammany
4,Burger King,"120 brownswitch road, slidell, la, 70458, us",7.366483516483517,5.99,5.691847142894822,4.1,91,170+,6.49,11.69,2.79,3.89,3.39,,la,70458,St. Tammany
5,Burger King,"185 gause blvd., slidell, la, 70458, us",7.343924050632911,5.39,5.966669961093158,4.1,79,260+,6.49,11.69,2.79,3.89,3.39,,la,70458,St. Tammany
6,Sonic,"1249 gause blvd., slidell, la, 70458, us",5.46388888888889,4.6850000000000005,3.076385214444757,4.1,87,28,0.0,,9.38,,4.87,,la,70458,St. Tammany
7,Sonic,"3225 pontchartrain dr, slidell, la, 70458, us",5.449473684210527,4.75,3.0420750772496175,3.7,87,23,9.38,0.0,4.75,,0.0,,la,70458,St. Tammany
8,Five Guys,"116 north town center blvd., slidell, la, 70458, us",7.275172413793106,6.95,2.668302599664613,4.7,29,700+,11.87,,8.99,8.03,6.59,,la,70458,St. Tammany
9,McDonald,"100 w parkwood ave, friendswood, tx, 77546, us",4.906496350364964,3.69,3.6570602830990175,4.6,152,1,5.59,8.89,1.79,2.39,3.19,,tx,77546,Galveston
10,Wendy,"3101 fm 528, friendswood, tx, 77546, us",5.703953488372085,4.87,2.846231731184956,,347,250+,6.94,0.0,3.04,2.67,0.0,4.6,tx,77546,Galveston
11,McDonald,"1000 commerce st, dallas, tx, 75202, us",4.806615384615384,3.99,2.961903897533621,4.4,146,4,5.89,11.19,2.79,2.19,4.09,,tx,75202,Dallas
12,McDonald,"1001 n 9th street, reading, pa, 19604, us",6.607355371900836,4.69,4.840491705198033,4.1,143,2,7.99,13.29,3.89,3.59,5.19,,pa,19604,Berks
13,McDonald,"1003 village plains blvd, franklin, tn, 37064, us",4.7099200000000065,3.79,3.187461057581726,4.6,138,200+,6.29,10.29,2.49,2.29,3.49,,tn,37064,Williamson
14,McDonald,"106 new hwy 96 w, franklin, tn, 37064, us",5.357570093457941,4.49,3.6465323025954324,4.7,130,1,5.79,10.18,2.69,2.29,3.79,,tn,37064,Williamson
15,Sonic,"401 hillsboro road, franklin, tn, 37064, us",4.864736842105265,4.38,2.982876337788308,4.7,87,300+,8.16,0.0,4.26,,0.0,,tn,37064,Williamson
16,McDonald,"10031 s memorial pky, huntsville, al, 35803, us",5.1945161290322615,4.79,3.2927327984514494,4.4,140,460+,6.29,11.19,2.69,2.29,3.79,,al,35803,Madison
17,Burger King,"11925 south memorial parkway, huntsville, al, 35803, us",7.430263157894733,6.1899999999999995,6.092689098999203,4.2,76,140+,6.89,12.79,2.49,3.69,3.69,,al,35803,Madison
