,Unnamed: 0,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,hamburger,combo,specialty_item,cheeseburger,state,zip,county_name
0,0,Super Duper Burgers,"2201 chestnut street, san francisco, ca, 94123, us",7.464285714285714,7.25,3.247055180765916,4.7,14,500+,4.0,10.5,,,,ca,94123,San Francisco
1,1,Super Duper Burgers,"2355 telegraph avenue, berkeley, ca, 94704, us",7.9411764705882355,8.5,3.1814367497072045,4.6,17,500+,4.0,10.5,,,,ca,94704,Alameda
2,2,Super Duper Burgers,"783 mission st, san francisco, ca, 94103, us",7.464285714285714,7.25,3.247055180765916,4.7,14,800+,4.0,10.5,,,,ca,94103,San Francisco
3,3,Juicy Burger,"3720 east olive avenue, fresno, ca, 93702, us",8.561369863013704,7.99,4.79032738752162,0.0,73,,2.99,6.99,,,5.49,ca,93702,Fresno
4,4,Gott's Roadside,"1 ferry building, san francisco, ca, 94111, us",17.974841269841278,14.99,14.590101544199165,4.8,150,4,4.99,10.99,,,11.99,ca,94111,San Francisco
5,5,Gott's Roadside,"1275 south main street, walnut creek, ca, 94596, us",18.339924812030084,14.99,15.452556033364564,4.6,158,300+,4.99,10.99,,,11.99,ca,94596,Contra Costa
6,6,Nation's Giant Hamburgers,"100 browns valley pkwy, vacaville, ca, 95688, us",12.205504587155964,10.55,6.190253286786099,4.4,113,470+,4.25,9.3,,,11.4,ca,95688,Solano
7,7,Nation's Giant Hamburgers,"1424 first st, livermore, ca, 94550, us",12.08101851851852,10.55,6.173219932335994,4.8,112,370+,4.25,9.3,,,11.4,ca,94550,Alameda
8,8,Nation's Giant Hamburgers,"16396, san pablo, ca, 94806, us",12.30494505494505,10.55,6.438120736935173,4.7,95,500+,4.25,9.3,,,11.4,ca,94806,Contra Costa
9,9,Nation's Giant Hamburgers,"1800 university ave, berkeley, ca, 94703, us",12.166818181818185,10.55,6.175274293770745,4.8,114,1,4.25,9.3,,,11.4,ca,94703,Alameda
10,10,Nation's Giant Hamburgers,"1900 contra costa blvd, pleasant hill, ca, 94523, us",12.204128440366974,10.55,6.1911824263798,4.5,113,900+,4.25,9.3,,,11.4,ca,94523,Contra Costa
11,11,Nation's Giant Hamburgers,"191 military e, benicia, ca, 94510, us",12.166818181818185,10.55,6.175274293770745,4.7,114,500+,4.25,9.3,,,11.4,ca,94510,Solano
12,12,Nation's Giant Hamburgers,"317 broadway, oakland, ca, 94607, us",12.166818181818185,10.55,6.175274293770745,4.5,114,1,4.25,9.3,,,11.4,ca,94607,Alameda
13,13,Nation's Giant Hamburgers,"3530 truxel road, sacramento, ca, 95834, us",12.166818181818185,10.55,6.175274293770745,4.5,114,800+,4.25,9.3,,,11.4,ca,95834,Sacramento
14,14,Nation's Giant Hamburgers,"3789 railroad ave, pittsburg, ca, 94565, us",12.304945054945051,10.55,6.438120736935169,4.7,95,600+,4.25,9.3,,,11.4,ca,94565,Contra Costa
15,15,Nation's Giant Hamburgers,"400 park st, moraga, ca, 94556, us",13.003271028037377,11.4,6.689499621662748,4.7,111,230+,4.6,10.0,,,12.2,ca,94556,Contra Costa
16,16,Nation's Giant Hamburgers,"5321 hopyard rd, pleasanton, ca, 94588, us",11.901530612244889,10.55,6.136206757558928,4.7,102,600+,4.25,9.3,,,11.4,ca,94588,Alameda
17,17,Nation's Giant Hamburgers,"5450 sunrise blvd, citrus heights, ca, 95610, us",12.166818181818185,10.55,6.175274293770745,4.5,114,470+,4.25,9.3,,,11.4,ca,95610,Sacramento
0,0,Big Mouth Burgers,"3392 24th st, san francisco, ca, 94110, us",13.464285714285731,14.95,4.512657934372275,4.6,70,500+,4.95,15.95,,,16.95,ca,94110,San Francisco
1,1,Big Mouth Burgers,"851 cherry ave, san bruno, ca, 94066, us",14.185714285714306,15.95,4.366366116260121,4.7,84,700+,5.25,15.95,,,16.95,ca,94066,San Mateo
2,2,Burger Station,"10361 rockingham drive, sacramento, ca, 95827, us",11.260422535211276,12.93,3.974133774558137,0.0,71,,,,,,4.48,ca,95827,Sacramento
3,3,Burger Station,"603 saratoga avenue, suite 30, san jose, ca, 95129, us",11.672795698924736,11.99,5.526954938638901,4.8,93,450+,6.99,11.99,,,12.99,ca,95129,Santa Clara
4,4,Super Burger,"1132, clovis, ca, 93612, us",9.347534246575348,9.75,5.030100296072952,4.7,73,130+,3.99,,,,,ca,93612,Fresno
5,5,Super Burger,"2505 3rd st, ceres, ca, 95307, us",5.388305084745766,4.99,2.4661430481709576,0.0,59,,2.09,,,,,ca,95307,Stanislaus
6,6,Super Burger,"5831 s santa fe ave, vernon, ca, 90058, us",11.331022727272604,11.99,3.97092559617938,4.8,440,280+,4.99,,,,,ca,90058,Los Angeles
7,7,Burger Basket,"12155 firestone blvd, norwalk, ca, 90650, us",9.542857142857084,8.99,6.167033818818325,4.6,630,220+,3.9,6.75,,,7.5,ca,90650,Los Angeles
8,8,Burger Basket,"501 west duarte road, monrovia, ca, 91016, us",7.21057142857142,6.6,4.622437169692531,4.8,385,500+,4.5,5.35,,,6.0,ca,91016,Los Angeles
9,9,Burger Factory,"1358 w martin luther king jr blvd, los angeles, ca, 90037, us",11.999540229884984,12.5,6.786708935810937,4.5,435,700+,,9.0,,,,ca,90037,Los Angeles
10,10,Cypress Best Burgers,"3240 n figueroa st, los angeles, ca, 90065, us",11.75189999999998,12.685,4.8259412957473975,4.8,600,1,6.29,6.79,,,7.79,ca,90065,Los Angeles
11,11,Gold Star Hamburgers,"1623 s brand blvd, glendale, ca, 91204, us",10.537213114754062,10.69,5.27190485098705,4.8,305,600+,5.25,7.89,,,8.29,ca,91204,Los Angeles
12,12,Hook Burger,"1731 n victory pl, burbank, ca, 91504, us",9.68048780487804,9.95,3.1928249982364294,4.7,287,900+,5.1,9.55,,,,ca,91504,Los Angeles
13,13,Hook Burger,"24369 magic mountain pkwy, valencia, ca, 91355, us",9.68048780487804,9.95,3.1928249982364325,4.7,41,700+,5.1,9.55,,,,ca,91355,Los Angeles
