,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Gott's Roadside,Soft Shell Crab Sandwich,25.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
1,Gott's Roadside,Street Corn,7.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
2,Gott's Roadside,Fried Calamari,19.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
3,Gott's Roadside,Cherry Cobbler Parfait,8.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
4,Gott's Roadside,Chocolate Chip Cookie,4.39,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
5,Gott's Roadside,Fork,0.00,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
6,Gott's Roadside,Spoon,0.00,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
7,Gott's Roadside,Cheeseburger,11.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
8,Gott's Roadside,Bacon Cheeseburger,14.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
9,Gott's Roadside,California Burger,17.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
10,Gott's Roadside,Western Bacon Blue Ring,15.99,"1275 South Main Street, Walnut Creek, CA, 94596, US","1275 south main street, walnut creek, ca, 94596, us",4.6 ,300+,0 mi
