,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Burger King,Whopper®,6.89,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
1,Burger King,Original Chicken Sandwich,6.19,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
2,Burger King,Chicken Philly Royal Crispy Wrap Meal,8.79,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
3,Burger King,8 Pc. Mozzarella Fries Meal,9.79,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
4,Burger King,12 Pc. Mozzarella Fries Meal,11.29,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
5,Burger King,Classic Melt Meal,11.89,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
6,Burger King,Bacon Melt Meal,12.49,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
7,Burger King,Philly Melt Meal,12.49,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
8,Burger King,8 Pc. Fiery Buffalo Nuggets Meal,8.69,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
9,Burger King,Fiery Buffalo Royal Crispy Wrap Meal,8.69,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
10,Burger King,Have-sies™,3.19,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
11,Burger King,Royal Crispy Wrap Meal,8.69,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
12,Burger King,Fiery Royal Crispy Wrap Meal,8.69,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
13,Burger King,Honey Mustard Royal Crispy Wrap Meal,8.69,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
14,Burger King,Double Bundle,19.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
15,Burger King,Triple Bundle,24.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
16,Burger King,Royal Four,29.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
17,Burger King,Family Bundle,24.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
18,Burger King,Ultimate Wrap Bundle,24.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
19,Burger King,Whopper® Meal,11.89,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
20,Burger King,Impossible™ Whopper®,7.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
21,Burger King,Impossible™ Whopper® Meal,12.99,"3941 Crosstown Expressway, Corpus Christi, TX, 78416, US","3155 s padre island dr, corpus christi, tx, 78415, us",4.4 ,140+,1.9 mi
