,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name
0,Burger King,"10055 cedar avenue, bloomington, ca, 92316, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,92316,San Bernardino
1,Burger King,"1030 mclaughlin ave., san jose, ca, 95122, us",4.516538461538461,3.49,2.8375354180204884,,26,,2.19,3.49,7.69,3.89,,ca,95122,Santa Clara
2,Burger King,"1042 north carpenter road, modesto, ca, 95351, us",4.777878787878792,4.09,2.112697195495151,,33,,3.29,4.09,7.49,4.19,,ca,95351,Stanislaus
3,Burger King,"111, colma, ca, 94014, us",4.652592592592592,3.89,2.6843601797746786,,27,,2.69,4.59,7.89,3.99,,ca,94014,San Mateo
4,Burger King,"1153 north h street, lompoc, ca, 93436, us",4.61925925925926,3.79,2.6717242676620403,,27,,2.49,3.79,7.99,4.19,,ca,93436,Santa Barbara
5,Burger King,"1181 old oakland road, san jose, ca, 95112, us",5.224615384615384,4.69,2.517621329700579,,26,,2.99,4.69,7.99,5.49,,ca,95112,Santa Clara
6,Burger King,"2170 monterey road, san jose, ca, 95112, us",4.9417857142857144,3.99,2.758865001579232,,28,,2.64,4.69,7.99,4.49,,ca,95112,Santa Clara
7,Burger King,"1201 south, anaheim, ca, 92805, us",5.289999999999998,3.99,2.812335465272728,,26,,2.99,3.99,7.99,4.99,,ca,92805,Orange
8,Burger King,"1210 11th ave, san diego, ca, 92101, us",4.727037037037038,3.89,2.3449154052731873,,27,,3.29,3.89,7.09,3.49,,ca,92101,San Diego
9,Burger King,"1220 south 28th street, san diego, ca, 92113, us",4.727037037037038,3.89,2.3449154052731873,,27,,3.29,3.89,7.09,3.49,,ca,92113,San Diego
10,Burger King,"1255 north blackstone street, tulare, ca, 93274, us",4.245185185185185,3.49,2.4104085566872047,,27,,2.49,3.49,7.19,3.89,,ca,93274,Tulare
11,Burger King,"1265 third avenue, chula vista, ca, 91911, us",4.61925925925926,3.79,2.6717242676620403,,27,,2.49,3.79,7.99,4.19,,ca,91911,San Diego
12,Burger King,"127 west 4th street, long beach, ca, 90802, us",4.663703703703704,3.79,2.650823978324543,,27,,2.59,3.79,7.99,4.39,,ca,90802,Los Angeles
13,Burger King,"1278 el camino real, san bruno, ca, 94066, us",4.586296296296295,3.59,2.466288481741636,,27,,3.09,3.19,7.29,4.29,,ca,94066,San Mateo
14,Burger King,"12781 van nuys boulevard, pacoima, ca, 91331, us",6.085999999999999,4.49,3.177354874734643,,25,,3.59,4.19,8.99,6.59,,ca,91331,Los Angeles
15,Burger King,"12999 san pablo avenue, richmond, ca, 94805, us",4.43037037037037,3.69,2.606218321035262,,27,,2.49,3.69,7.59,3.99,,ca,94805,Contra Costa
16,Burger King,"1300 mcdonald avenue, richmond, ca, 94801, us",4.516538461538461,3.49,2.8375354180204884,,26,,2.19,3.49,7.69,3.89,,ca,94801,Contra Costa
17,Burger King,"1302 soquel avenue, santa cruz, ca, 95062, us",4.471111111111112,3.79,2.6179612273015658,,27,,2.59,3.79,7.59,3.99,,ca,95062,Santa Cruz
18,Burger King,"1305 n bascom ave, san jose, ca, 95128, us",4.9417857142857144,3.99,2.758865001579232,,28,,2.64,4.69,7.99,4.49,,ca,95128,Santa Clara
19,Burger King,"1320 industrial park avenue, redlands, ca, 92374, us",4.622962962962963,3.79,2.669809002483018,,27,,2.49,3.79,7.99,4.19,,ca,92374,San Bernardino
20,Burger King,"1329 south harbor boulevard, fullerton, ca, 92832, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,92832,Orange
21,Burger King,"1358 madonna road, san luis obispo, ca, 93405, us",4.733599999999999,3.79,2.7230613360701215,,25,,2.59,3.79,7.99,4.39,,ca,93405,San Luis Obispo
22,Burger King,"1361 west foothill boulevard, rialto, ca, 92376, us",4.5785185185185195,3.79,2.6999214031135055,,27,,2.29,3.79,7.99,4.19,,ca,92376,San Bernardino
23,Burger King,"503 east foothill, rialto, ca, 92376, us",4.5785185185185195,3.79,2.6999214031135055,,27,,2.29,3.79,7.99,4.19,,ca,92376,San Bernardino
24,Burger King,"14601 red hill avenue, tustin, ca, 92780, us",4.319629629629628,3.99,2.3734355182144906,,27,,1.99,3.99,6.39,3.79,,ca,92780,Orange
25,Burger King,"1501 west 6th street, los angeles, ca, 90017, us",5.423333333333333,4.09,2.769543350512927,,27,,3.29,4.09,7.99,6.59,,ca,90017,Los Angeles
26,Burger King,"15050 e. 14th street, san leandro, ca, 94578, us",4.43037037037037,3.69,2.606218321035262,,27,,2.49,3.69,7.59,3.99,,ca,94578,Alameda
27,Burger King,"1540 north eastern avenue, los angeles, ca, 90063, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,90063,Los Angeles
28,Burger King,"1571 fitzgerald drive, pinole, ca, 94564, us",4.43037037037037,3.69,2.606218321035262,,27,,2.49,3.69,7.59,3.99,,ca,94564,Contra Costa
29,Burger King,"1688 north, perris, ca, 92571, us",5.35153846153846,3.99,2.6507004768082494,,26,,3.49,3.89,7.59,6.19,,ca,92571,Riverside
30,Burger King,"1690 valencia street, san francisco, ca, 94110, us",4.6970370370370365,3.89,2.764006505345315,,27,,2.69,4.59,7.89,3.99,,ca,94110,San Francisco
31,Burger King,"1701 fillmore st, san francisco, ca, 94115, us",4.5616,3.89,2.5675041265789624,,25,,2.69,4.59,7.89,3.99,,ca,94115,San Francisco
32,Burger King,"175 west calaveras boulevard, milpitas, ca, 95035, us",4.641481481481482,3.99,2.692929980390634,,27,,2.59,4.59,7.89,3.99,,ca,95035,Santa Clara
33,Burger King,"1773 w grand ave, grover beach, ca, 93433, us",4.501111111111109,3.99,2.81337194988417,,27,,2.19,3.99,6.99,3.89,,ca,93433,San Luis Obispo
34,Burger King,"180 niblick rd, paso robles, ca, 93446, us",4.706296296296295,3.27,3.1039844741738336,,27,,2.35,4.16,8.89,4.6,,ca,93446,San Luis Obispo
35,Burger King,"1801 decoto road, union city, ca, 94587, us",4.43037037037037,3.69,2.606218321035262,,27,,2.49,3.69,7.59,3.99,,ca,94587,Alameda
36,Burger King,"31361 alavarado niles road, union city, ca, 94587, us",4.43037037037037,3.69,2.606218321035262,,27,,2.49,3.69,7.59,3.99,,ca,94587,Alameda
37,Burger King,"181 south arniell road, camarillo, ca, 93010, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,93010,Ventura
38,Burger King,"1830 west 8th street, los angeles, ca, 90057, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,90057,Los Angeles
39,Burger King,"1845 s. vermont ave., los angeles, ca, 90006, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,90006,Los Angeles
40,Burger King,"1915 arden way, sacramento, ca, 95815, us",4.07151515151515,3.79,2.093647131294214,,33,,2.59,3.79,6.99,3.99,,ca,95815,Sacramento
41,Burger King,"1949 columbus avenue, bakersfield, ca, 93305, us",4.1933333333333325,3.69,2.339624851219623,,27,,2.39,3.69,6.59,3.89,,ca,93305,Kern
42,Burger King,"3405 union ave, bakersfield, ca, 93305, us",4.1933333333333325,3.69,2.339624851219623,,27,,2.39,3.69,6.59,3.89,,ca,93305,Kern
43,Burger King,"19662 nordhoff street, northridge, ca, 91324, us",4.663703703703704,3.79,2.650823978324543,,27,,2.59,3.79,7.99,4.39,,ca,91324,Los Angeles
44,Burger King,"200 north harbor boulevard, santa ana, ca, 92703, us",4.489999999999998,3.99,2.3712787611250947,,27,,2.49,3.99,6.39,4.19,,ca,92703,Orange
45,Burger King,"2001 - 41st avenue, capitola, ca, 95010, us",4.471111111111112,3.79,2.6179612273015658,,27,,2.59,3.79,7.59,3.99,,ca,95010,Santa Cruz
46,Burger King,"2001 north, oxnard, ca, 93036, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,93036,Ventura
47,Burger King,"2008 glenoaks boulevard, san fernando, ca, 91340, us",5.267777777777775,3.99,2.7390635508878702,,27,,3.49,3.89,7.79,6.39,,ca,91340,Los Angeles
48,Burger King,"2015 mission street, santa cruz, ca, 95060, us",4.471111111111112,3.79,2.6179612273015658,,27,,2.59,3.79,7.59,3.99,,ca,95060,Santa Cruz
49,Burger King,"205 east redlands, san bernardino, ca, 92408, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,92408,San Bernardino
50,Burger King,"2050 south broadway, santa maria, ca, 93454, us",4.645185185185185,3.79,2.660686865329341,,27,,2.59,3.79,7.99,4.39,,ca,93454,Santa Barbara
51,Burger King,"20838 devonshire st., chatsworth, ca, 91311, us",5.267777777777775,3.99,2.7390635508878702,,27,,3.49,3.89,7.79,6.39,,ca,91311,Los Angeles
52,Burger King,"20950 figueroa street, carson, ca, 90745, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,90745,Los Angeles
53,Burger King,"2100 east 17th street, santa ana, ca, 92701, us",4.663703703703704,3.79,2.650823978324543,,27,,2.59,3.79,7.99,4.39,,ca,92701,Orange
54,Burger King,"2101 sylvan avenue, modesto, ca, 95355, us",4.777878787878792,4.09,2.112697195495151,,33,,3.29,4.09,7.49,4.19,,ca,95355,Stanislaus
55,Burger King,"2102 middlefield road, redwood city, ca, 94063, us",4.586296296296295,3.59,2.466288481741636,,27,,3.09,3.19,7.29,4.29,,ca,94063,San Mateo
56,Burger King,"575 el camino real, redwood city, ca, 94063, us",4.586296296296295,3.59,2.466288481741636,,27,,3.09,3.19,7.29,4.29,,ca,94063,San Mateo
57,Burger King,"220 alameda del prado, novato, ca, 94949, us",4.652592592592592,3.89,2.6843601797746786,,27,,2.69,4.59,7.89,3.99,,ca,94949,Marin
58,Burger King,"2210 e lincoln ave, anaheim, ca, 92806, us",4.4792592592592575,3.99,2.3771830916660908,,27,,2.49,3.99,6.39,4.19,,ca,92806,Orange
59,Burger King,"2320 mchenry ave, modesto, ca, 95350, us",4.777878787878792,4.09,2.112697195495151,,33,,3.29,4.09,7.49,4.19,,ca,95350,Stanislaus
60,Burger King,"2390 almaden road, san jose, ca, 95125, us",5.178461538461537,4.59,2.75490149524819,,26,,2.69,4.29,7.99,4.99,,ca,95125,Santa Clara
61,Burger King,"2403 east chapman avenue, fullerton, ca, 92831, us",4.663703703703704,3.79,2.650823978324543,,27,,2.59,3.79,7.99,4.39,,ca,92831,Orange
62,Burger King,"2410 north cedar, fresno, ca, 93703, us",4.245185185185185,3.49,2.4104085566872047,,27,,2.49,3.49,7.19,3.89,,ca,93703,Fresno
63,Burger King,"245 bayshore blvd., san francisco, ca, 94124, us",4.586296296296295,3.59,2.466288481741636,,27,,3.09,3.19,7.29,4.29,,ca,94124,San Francisco
64,Burger King,"24530 lyons avenue, newhall, ca, 91321, us",5.547692307692307,4.140000000000001,2.7473306032924,,26,,3.29,4.09,7.99,6.59,,ca,91321,Los Angeles
65,Burger King,"24800 sunnymead blvd, moreno valley, ca, 92553, us",5.223333333333331,3.99,2.6820390253188586,,27,,3.49,3.89,7.59,6.19,,ca,92553,Riverside
66,Burger King,"2500 s. ventura road, oxnard, ca, 93033, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,93033,Ventura
67,Burger King,"2508 white lane, bakersfield, ca, 93304, us",4.1933333333333325,3.69,2.339624851219623,,27,,2.39,3.69,6.59,3.89,,ca,93304,Kern
68,Burger King,"2532 channing avenue, san jose, ca, 95131, us",4.927037037037036,3.89,2.692534005170339,,27,,2.49,3.89,7.39,5.39,,ca,95131,Santa Clara
69,Burger King,"2542 guerneville road, santa rosa, ca, 95401, us",4.486296296296295,3.79,2.4254807055405005,,27,,2.69,3.79,7.29,4.09,,ca,95401,Sonoma
70,Burger King,"2600, long beach, ca, 90806, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,90806,Los Angeles
71,Burger King,"2714 el centro road, sacramento, ca, 95833, us",4.043125,3.64,2.119844389188744,,32,,2.59,3.79,6.99,3.99,,ca,95833,Sacramento
72,Burger King,"2757 castro valley boulevard, castro valley, ca, 94546, us",4.927037037037036,3.89,2.692534005170339,,27,,2.49,3.89,7.39,5.39,,ca,94546,Alameda
73,Burger King,"2817 south el camino real, san mateo, ca, 94403, us",4.424230769230769,3.89,2.4647330532267877,,26,,2.69,4.59,7.89,3.99,,ca,94403,San Mateo
74,Burger King,"2850 south bristol street, santa ana, ca, 92704, us",4.685925925925925,3.99,2.6513703783896205,,27,,2.59,3.99,7.99,4.39,,ca,92704,Orange
75,Burger King,"2855 north main street, walnut creek, ca, 94597, us",5.060370370370372,4.19,2.361389235616409,,27,,3.29,4.09,7.49,4.19,,ca,94597,Contra Costa
76,Burger King,"2955 north bellflower boulevard, long beach, ca, 90815, us",4.663703703703704,3.79,2.650823978324543,,27,,2.59,3.79,7.99,4.39,,ca,90815,Los Angeles
77,Burger King,"29671 mission blvd., hayward, ca, 94544, us",5.3934615384615405,4.4399999999999995,2.8821585691546323,,26,,2.99,3.99,7.59,4.29,,ca,94544,Alameda
78,Burger King,"3235 west little league drive, san bernardino, ca, 92407, us",4.637777777777778,3.79,2.66208263407004,,27,,2.49,3.79,7.99,4.19,,ca,92407,San Bernardino
79,Burger King,"329 north capital avenue, san jose, ca, 95133, us",5.224615384615384,4.69,2.517621329700579,,26,,2.99,4.69,7.99,5.49,,ca,95133,Santa Clara
