,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Burger King,"100 river oaks cove, georgetown, tx, 78626, us",3.841999999999999,2.89,2.109430254831858,,25,,2.19,2.69,5.89,2.89,,tx,78626,Williamson,2024-03-30,0,0,1,0
1,Burger King,"1001 east ben white boulevard, austin, tx, 78704, us",3.789999999999999,2.79,2.08474311274887,,26,,2.19,2.69,5.89,2.89,,tx,78704,Travis,2024-03-30,0,0,1,0
2,Burger King,"1004 north memorial parkway, huntsville, al, 35801, us",3.74185185185185,2.99,2.044209594670032,,27,,2.29,2.89,5.89,3.09,,al,35801,Madison,2024-03-30,0,0,1,0
3,Burger King,"2116 whitesburg drive, huntsville, al, 35801, us",3.74185185185185,2.99,2.044209594670032,,27,,2.29,2.89,5.89,3.09,,al,35801,Madison,2024-03-30,0,0,1,0
4,Burger King,"10205 e. freeway, houston, tx, 77013, us",3.657999999999999,2.59,2.078984367425595,,25,,1.89,2.49,5.49,2.59,,tx,77013,Harris,2024-03-30,0,0,1,0
5,Burger King,"1027 union ave, memphis, tn, 38104, us",3.7740000000000005,3.09,1.8149776858132445,,25,,2.19,3.09,5.59,3.39,,tn,38104,Shelby,2024-03-30,0,0,1,0
6,Burger King,"1330 poplar avenue, memphis, tn, 38104, us",3.7740000000000005,3.09,1.8149776858132445,,25,,2.19,3.09,5.59,3.39,,tn,38104,Shelby,2024-03-30,0,0,1,0
7,Burger King,"1075 south state street, orem, ut, 84097, us",4.04,3.29,2.3413096269461606,,26,,2.29,3.29,5.79,3.29,,ut,84097,Utah,2024-03-30,0,0,1,0
8,Burger King,"1094 federal road, houston, tx, 77015, us",3.657999999999999,2.59,2.078984367425595,,25,,1.89,2.49,5.49,2.59,,tx,77015,Harris,2024-03-30,0,0,1,0
9,Burger King,"11 west center street, orem, ut, 84057, us",4.04,3.29,2.3413096269461606,,26,,2.29,3.29,5.79,3.29,,ut,84057,Utah,2024-03-30,0,0,1,0
10,Burger King,"11001a fuqua, houston, tx, 77089, us",3.613076923076922,2.54,2.050948690860983,,26,,1.89,2.49,5.49,2.59,,tx,77089,Harris,2024-03-30,0,0,1,0
11,Burger King,"1104 north broadway, wichita, ks, 67214, us",4.5159259259259255,3.79,2.2621838993576606,,27,,2.59,3.79,6.59,3.79,,ks,67214,Sedgwick,2024-03-30,0,0,1,0
12,Burger King,"1107 73rd street, windsor heights, ia, 50324, us",4.139999999999998,3.19,2.1954936364499686,,26,,2.49,3.19,5.99,2.99,,ia,50324,Polk,2024-03-30,0,0,1,0
13,Burger King,"1131 lexington road, georgetown, ky, 40324, us",3.693999999999999,2.99,1.9777724843874234,,25,,1.99,2.99,5.19,2.79,,ky,40324,Scott,2024-03-30,0,0,1,0
14,Burger King,"11404 east northwest highway, dallas, tx, 75218, us",4.06037037037037,2.99,2.6434846271421555,,27,,1.89,2.79,6.19,2.99,,tx,75218,Dallas,2024-03-30,0,0,1,0
15,Burger King,"11711 abercorn st., savannah, ga, 31419, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31419,Chatham,2024-03-30,0,0,1,0
16,Burger King,"1190 west sunset drive, waukesha, wi, 53189, us",4.265555555555555,3.29,2.6210859119885193,,27,,2.29,3.29,6.89,3.99,,wi,53189,Waukesha,2024-03-30,0,0,1,0
17,Burger King,"1197 berkshire blvd, reading, pa, 19610, us",3.923333333333332,2.99,2.077034923652964,,27,,2.49,2.89,5.79,3.29,,pa,19610,Berks,2024-03-30,0,0,1,0
18,Burger King,"120 brownswitch road, slidell, la, 70458, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70458,St. Tammany,2024-03-30,0,0,1,0
19,Burger King,"185 gause blvd., slidell, la, 70458, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70458,St. Tammany,2024-03-30,0,0,1,0
20,Burger King,"1200 west club boulevard, durham, nc, 27701, us",3.9066666666666663,3.09,2.1374959389175197,,24,,2.19,3.09,6.19,3.79,,nc,27701,Durham,2024-03-30,0,0,1,0
21,Burger King,"121 walmart drive, north versailles, pa, 15137, us",3.8938461538461526,3.09,1.9858113569929372,,26,,2.29,3.09,5.69,3.19,,pa,15137,Allegheny,2024-03-30,0,0,1,0
22,Burger King,"1212 west main street, lexington, sc, 29072, us",3.9799999999999995,3.42,1.89,,26,,2.99,3.29,5.89,3.55,,sc,29072,Lexington,2024-03-30,0,0,1,0
23,Burger King,"226 longs pond road, lexington, sc, 29072, us",3.9799999999999995,3.42,1.89,,26,,2.99,3.29,5.89,3.55,,sc,29072,Lexington,2024-03-30,0,0,1,0
24,Burger King,"1231 dolly parton pkwy, sevierville, tn, 37862, us",3.822,3.49,1.728055554662523,,25,,2.19,3.49,5.39,3.59,,tn,37862,Sevier,2024-03-30,0,0,1,0
25,Burger King,"412 forks of the river, sevierville, tn, 37862, us",3.822,3.49,1.728055554662523,,25,,2.19,3.49,5.39,3.59,,tn,37862,Sevier,2024-03-30,0,0,1,0
26,Burger King,"13200 north ih 35, austin, tx, 78753, us",3.813333333333331,2.99,2.1869698299329685,,27,,1.63,2.88,6.04,3.59,,tx,78753,Travis,2024-03-30,0,0,1,0
27,Burger King,"1371 saluda street, rock hill, sc, 29730, us",3.6660000000000004,3.09,1.7761261216478965,,25,,1.99,3.09,5.39,3.09,,sc,29730,York,2024-03-30,0,0,1,0
28,Burger King,"14 w de renne ave, savannah, ga, 31405, us",3.7974074074074053,2.99,2.0428603632281956,,27,,2.39,2.99,5.89,2.99,,ga,31405,Chatham,2024-03-30,0,0,1,0
29,Burger King,"1405 east court avenue, des moines, ia, 50316, us",4.04185185185185,3.19,2.2118151370027173,,27,,2.49,3.19,5.99,2.99,,ia,50316,Polk,2024-03-30,0,0,1,0
30,Burger King,"1408 lititz pike, lancaster, pa, 17601, us",3.6937037037037026,2.69,2.1857249804095398,,27,,1.99,2.69,5.69,2.99,,pa,17601,Lancaster,2024-03-30,0,0,1,0
31,Burger King,"141 north shore boulevard, slidell, la, 70460, us",3.7751851851851845,2.99,1.9811526206850356,,27,,2.29,2.79,5.39,3.19,,la,70460,St. Tammany,2024-03-30,0,0,1,0
32,Burger King,"1434 east tenth street, jeffersonville, in, 47130, us",3.8220000000000005,3.09,1.8763198021659313,,25,,2.19,3.09,5.69,3.59,,in,47130,Clark,2024-03-30,0,0,1,0
33,Burger King,"1501 charlotte avenue, nashville, tn, 37203, us",3.8740000000000006,3.29,1.8972991329782452,,25,,2.19,3.29,5.69,3.59,,tn,37203,Davidson,2024-03-30,0,0,1,0
34,Burger King,"1502, west chester, pa, 19382, us",4.471481481481481,3.29,2.4820894777551814,,27,,2.39,3.29,6.49,4.29,,pa,19382,Chester,2024-03-30,0,0,1,0
35,Burger King,"1521 columbus boulevard, philadelphia, pa, 19147, us",4.417599999999999,3.69,2.3515021241750986,,25,,2.39,3.69,7.19,4.29,,pa,19147,Philadelphia,2024-03-30,0,0,1,0
36,Burger King,"1524 6th avenue s, birmingham, al, 35233, us",3.7455555555555544,2.99,2.015005437605628,,27,,2.29,2.99,5.89,2.99,,al,35233,Jefferson,2024-03-30,0,0,1,0
37,Burger King,"2700 university blvd, birmingham, al, 35233, us",3.7455555555555544,2.99,2.015005437605628,,27,,2.29,2.99,5.89,2.99,,al,35233,Jefferson,2024-03-30,0,0,1,0
38,Burger King,"1533 n. peoria, tulsa, ok, 74106, us",3.7819230769230763,2.84,1.9821744455381263,,26,,1.99,2.79,5.19,2.79,,ok,74106,Tulsa,2024-03-30,0,0,1,0
