,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,fries,combo,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Carls Jr,"1 hallidie plaza, san francisco, ca, 94102, us",9.970588235294118,10.84,3.5470807725396405,,17,,5.36,,,,,ca,94102,San Francisco,2024-03-29,0,0,1,0
1,Carls Jr,"1001 veterans blvd, redwood city, ca, 94063, us",8.870588235294115,9.49,3.1638685749982716,,17,,4.7,,,,,ca,94063,San Mateo,2024-03-29,0,0,1,0
2,Carls Jr,"101 s union ave, bakersfield, ca, 93307, us",8.233913043478259,8.79,1.9898847227490006,,23,,4.79,6.49,,,,ca,93307,Kern,2024-03-29,0,0,1,0
3,Carls Jr,"10770 macarthur blvd, oakland, ca, 94605, us",8.49470588235294,8.87,3.1555052129237446,,17,,4.39,,,,,ca,94605,Alameda,2024-03-29,0,0,1,0
4,Carls Jr,"1095 oakland road, san jose, ca, 95112, us",8.175714285714287,8.84,1.3679270776601793,,14,,5.49,,,,,ca,95112,Santa Clara,2024-03-29,0,0,1,0
5,Carls Jr,"1101 branham ln, san jose, ca, 95118, us",8.013333333333332,8.84,2.0241651228208744,,18,,4.99,,,,,ca,95118,Santa Clara,2024-03-29,0,0,1,0
6,Carls Jr,"11051 euclid ave, garden grove, ca, 92840, us",6.9275,7.34,1.8664387881738849,,16,,3.39,,,,,ca,92840,Orange,2024-03-29,0,0,1,0
7,Carls Jr,"1140 triton dr, san mateo, ca, 94404, us",8.870588235294115,9.49,3.1638685749982716,,17,,4.7,,,,,ca,94404,San Mateo,2024-03-29,0,0,1,0
8,Carls Jr,"1142 fremont blvd, seaside, ca, 93955, us",7.846666666666666,8.39,1.9820079605177057,,18,,4.59,,,,,ca,93955,Monterey,2024-03-29,0,0,1,0
9,Carls Jr,"118 e whitmore ave, modesto, ca, 95358, us",8.206499999999998,8.829999999999998,2.6147949728420388,,20,,4.39,6.79,,,,ca,95358,Stanislaus,2024-03-29,0,0,1,0
10,Carls Jr,"1180 s mount vernon ave, colton, ca, 92324, us",7.779999999999999,8.29,1.9605328073992765,,18,,4.59,,,,,ca,92324,San Bernardino,2024-03-29,0,0,1,0
11,Carls Jr,"1259 w carson st, torrance, ca, 90502, us",8.108235294117648,8.69,2.0181885742187884,,17,,4.99,,,,,ca,90502,Los Angeles,2024-03-29,0,0,1,0
12,Carls Jr,"1280 e plaza blvd, national city, ca, 91950, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,91950,San Diego,2024-03-29,0,0,1,0
13,Carls Jr,"1502 sweetwater rd, national city, ca, 91950, us",7.168333333333333,7.640000000000001,1.6544158082739255,,18,,3.99,,,,,ca,91950,San Diego,2024-03-29,0,0,1,0
14,Carls Jr,"13011 harbor blvd, garden grove, ca, 92843, us",6.8525,7.24,1.8671083926756904,,16,,3.29,,,,,ca,92843,Orange,2024-03-29,0,0,1,0
