,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,fries,specialty_item,hamburger,combo,state,zip,county_name_x,date,uber_eats,post_policy,fast_food,local,county_name_y
0,Burger King,"100 river oaks cove, georgetown, tx, 78626, us",5.239019607843136,3.99,3.1707222254540186,,51,,2.19,2.69,5.89,2.89,,tx,78626,Williamson,2024-05-16,0,1,1,0,Williamson
1,Burger King,"1001 east ben white boulevard, austin, tx, 78704, us",5.239019607843136,3.99,3.1707222254540186,,51,,2.19,2.69,5.89,2.89,,tx,78704,Travis,2024-05-16,0,1,1,0,Travis
2,Burger King,"10205 e. freeway, houston, tx, 77013, us",5.0527450980392175,3.99,3.0711153230026795,,51,,1.89,2.49,5.49,2.59,,tx,77013,Harris,2024-05-16,0,1,1,0,Harris
3,Burger King,"1027 union ave, memphis, tn, 38104, us",5.023333333333333,3.99,2.9156765236636377,,57,,2.19,3.09,5.59,3.39,,tn,38104,Shelby,2024-05-16,0,1,1,0,Shelby
4,Burger King,"1075 south state street, orem, ut, 84097, us",6.464107142857148,4.9399999999999995,4.104756290305933,,56,,2.64,4.69,7.99,4.49,,ut,84097,Utah,2024-05-16,0,1,1,0,Utah
5,Burger King,"1094 federal road, houston, tx, 77015, us",5.0527450980392175,3.99,3.0711153230026795,,51,,1.89,2.49,5.49,2.59,,tx,77015,Harris,2024-05-16,0,1,1,0,Harris
6,Burger King,"11 west center street, orem, ut, 84057, us",5.424423076923079,3.99,3.29519896297952,,52,,2.29,3.29,5.79,3.29,,ut,84057,Utah,2024-05-16,0,1,1,0,Utah
7,Burger King,"11001a fuqua, houston, tx, 77089, us",3.15376811594203,2.49,1.6260533722538715,,69,,1.89,2.49,5.49,2.59,,tx,77089,Harris,2024-05-16,0,1,1,0,Harris
8,Burger King,"1104 north broadway, wichita, ks, 67214, us",5.818571428571429,4.59,3.2816434409407416,,56,,2.59,3.79,6.59,3.79,,ks,67214,Sedgwick,2024-05-16,0,1,1,0,Sedgwick
9,Burger King,"1107 73rd street, windsor heights, ia, 50324, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50324,Polk,2024-05-16,0,1,1,0,Polk
10,Burger King,"11404 east northwest highway, dallas, tx, 75218, us",3.471818181818182,2.59,2.0627217302969196,,66,,1.89,2.79,6.19,2.99,,tx,75218,Dallas,2024-05-16,0,1,1,0,Dallas
11,Burger King,"11711 abercorn st., savannah, ga, 31419, us",3.886153846153844,2.99,2.0300588792580467,,26,,2.39,2.99,5.89,2.99,,ga,31419,Chatham,2024-05-16,0,1,1,0,Chatham
12,Burger King,"1190 west sunset drive, waukesha, wi, 53189, us",5.714074074074079,4.04,3.7428408296365636,,54,,2.29,3.29,6.89,3.99,,wi,53189,Waukesha,2024-05-16,0,1,1,0,Waukesha
13,Burger King,"1197 berkshire blvd, reading, pa, 19610, us",5.356037735849059,3.99,3.177511984819308,,53,,2.49,2.89,5.79,3.29,,pa,19610,Berks,2024-05-16,0,1,1,0,Berks
14,Burger King,"120 brownswitch road, slidell, la, 70458, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70458,St. Tammany,2024-05-16,0,1,1,0,St. Tammany
15,Burger King,"185 gause blvd., slidell, la, 70458, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70458,St. Tammany,2024-05-16,0,1,1,0,St. Tammany
16,Burger King,"1200 west club boulevard, durham, nc, 27701, us",5.562916666666667,4.34,3.4316383103490886,,48,,2.19,3.09,6.19,3.79,,nc,27701,Durham,2024-05-16,0,1,1,0,Durham
17,Burger King,"121 walmart drive, north versailles, pa, 15137, us",5.66924528301887,4.49,3.483565647304715,,53,,2.29,3.09,5.69,3.19,,pa,15137,Allegheny,2024-05-16,0,1,1,0,Allegheny
18,Burger King,"1212 west main street, lexington, sc, 29072, us",5.035614035087717,3.99,2.9317422025579183,,57,,2.19,3.19,5.39,3.39,,sc,29072,Lexington,2024-05-16,0,1,1,0,Lexington
19,Burger King,"226 longs pond road, lexington, sc, 29072, us",5.574800000000003,4.99,3.266551845601108,,50,,2.99,3.29,5.89,3.55,,sc,29072,Lexington,2024-05-16,0,1,1,0,Lexington
20,Burger King,"1231 dolly parton pkwy, sevierville, tn, 37862, us",5.026842105263158,4.19,2.8688057041305006,,57,,2.19,3.49,5.39,3.59,,tn,37862,Sevier,2024-05-16,0,1,1,0,Sevier
21,Burger King,"412 forks of the river, sevierville, tn, 37862, us",5.026842105263158,4.19,2.8688057041305006,,57,,2.19,3.49,5.39,3.59,,tn,37862,Sevier,2024-05-16,0,1,1,0,Sevier
22,Burger King,"13200 north ih 35, austin, tx, 78753, us",5.148703703703706,4.050000000000001,3.185176340426996,,54,,1.63,2.88,6.04,3.59,,tx,78753,Travis,2024-05-16,0,1,1,0,Travis
23,Burger King,"1371 saluda street, rock hill, sc, 29730, us",4.953157894736841,3.89,2.889341063648733,,57,,1.99,3.09,5.39,3.09,,sc,29730,York,2024-05-16,0,1,1,0,York
24,Burger King,"14 w de renne ave, savannah, ga, 31405, us",3.886153846153844,2.99,2.0300588792580467,,26,,2.39,2.99,5.89,2.99,,ga,31405,Chatham,2024-05-16,0,1,1,0,Chatham
25,Burger King,"1405 east court avenue, des moines, ia, 50316, us",5.784339622641513,3.99,3.716379608448312,,53,,2.49,3.19,5.99,2.99,,ia,50316,Polk,2024-05-16,0,1,1,0,Polk
26,Burger King,"1408 lititz pike, lancaster, pa, 17601, us",5.020188679245284,3.99,2.930038631058382,,53,,1.99,2.69,5.69,2.99,,pa,17601,Lancaster,2024-05-16,0,1,1,0,Lancaster
27,Burger King,"141 north shore boulevard, slidell, la, 70460, us",5.110370370370372,3.99,3.0342110836035827,,54,,2.29,2.79,5.39,3.19,,la,70460,St. Tammany,2024-05-16,0,1,1,0,St. Tammany
28,Burger King,"1434 east tenth street, jeffersonville, in, 47130, us",3.5319354838709676,2.99,1.666515428448541,,62,,2.19,3.09,5.69,3.59,,in,47130,Clark,2024-05-16,0,1,1,0,Clark
29,Burger King,"1501 charlotte avenue, nashville, tn, 37203, us",5.0847368421052614,4.19,2.9740645619198007,,57,,2.19,3.29,5.69,3.59,,tn,37203,Davidson,2024-05-16,0,1,1,0,Davidson
30,Burger King,"1502, west chester, pa, 19382, us",5.995769230769233,5.24,3.45122126999094,,52,,2.39,3.29,6.49,4.29,,pa,19382,Chester,2024-05-16,0,1,1,0,Chester
31,Burger King,"1521 columbus boulevard, philadelphia, pa, 19147, us",6.0543137254901955,5.09,3.4898150155492176,,51,,2.59,3.79,7.39,4.49,,pa,19147,Philadelphia,2024-05-16,0,1,1,0,Philadelphia
32,Burger King,"1533 n. peoria, tulsa, ok, 74106, us",5.010000000000002,3.99,2.9610702519590846,,54,,1.99,2.79,5.19,2.79,,ok,74106,Tulsa,2024-05-16,0,1,1,0,Tulsa
33,Burger King,"1563 n peoria avenue, tulsa, ok, 74106, us",5.010000000000002,3.99,2.9610702519590846,,54,,1.99,2.79,5.19,2.79,,ok,74106,Tulsa,2024-05-16,0,1,1,0,Tulsa
