,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county,date,uber_eats,post_policy,fast_food,local
0,McDonald,"100 e redlands blvd, san bernardino, ca, 92408, us",6.522047244094495,5.59,4.706970093630819,4.6,144,7.89,13.99,4.39,3.49,5.89,ca,92408,San Bernardino,2024-03-22,1,0,1,0
1,Burger King,"205 east redlands, san bernardino, ca, 92408, us",8.970256410256418,6.6899999999999995,5.813354646152778,4.1,78,10.29,15.29,2.79,5.39,4.89,ca,92408,San Bernardino,2024-03-22,1,0,1,0
2,McDonald,"1000 e 4th st, long beach, ca, 90802, us",7.439230769230769,5.19,5.679118920746101,4.7,141,8.29,14.39,4.39,3.89,5.29,ca,90802,Los Angeles,2024-03-22,1,0,1,0
3,McDonald,"640 long beach blvd, long beach, ca, 90802, us",5.2647368421052665,3.79,4.269699897118026,4.4,134,6.46,12.09,3.04,2.95,4.59,ca,90802,Los Angeles,2024-03-22,1,0,1,0
4,Jack in the Box,"652 atlantic ave, long beach, ca, 90802, us",8.162627737226282,7.49,4.660305160597063,4.3,137,6.86,13.74,3.74,3.11,3.74,ca,90802,Los Angeles,2024-03-22,1,0,1,0
5,Burger King,"127 west 4th street, long beach, ca, 90802, us",8.970256410256416,6.6899999999999995,5.81335464615278,4.7,78,10.29,15.29,2.79,5.39,4.89,ca,90802,Los Angeles,2024-03-22,1,0,1,0
6,McDonald,"1000 real rd, bakersfield, ca, 93309, us",6.029685039370089,3.69,6.196705619175492,4.9,147,6.19,11.39,3.09,2.79,4.59,ca,93309,Kern,2024-03-22,1,0,1,0
7,McDonald,"5410 stockdale hwy, bakersfield, ca, 93309, us",6.077200000000009,3.89,6.251432168711415,4.4,145,6.19,11.39,3.09,2.79,4.59,ca,93309,Kern,2024-03-22,1,0,1,0
8,Burger King,"8200 stockdale hwy, bakersfield, ca, 93309, us",8.16256097560976,6.140000000000001,5.821760862399355,4.7,82,8.09,14.19,2.89,4.79,3.99,ca,93309,Kern,2024-03-22,1,0,1,0
9,The Habit,"3900 california ave, bakersfield, ca, 93309, us",10.736329113924057,8.74,9.752435746022204,4.3,79,8.86,16.86,8.11,6.99,4.36,ca,93309,Kern,2024-03-22,1,0,1,0
10,McDonald,"10051 bruceville road, elk grove, ca, 95757, us",7.812595419847337,5.19,9.957628828679546,4.4,148,7.69,11.79,4.09,3.69,4.99,ca,95757,Sacramento,2024-03-22,1,0,1,0
11,McDonald,"1009 n wilson way, stockton, ca, 95205-4217, us",7.812595419847338,5.19,9.957628828679544,4.5,149,7.69,11.79,4.09,3.69,4.99,ca,95205,San Joaquin,2024-03-22,1,0,1,0
12,Burger King,"702 north wilson way, stockton, ca, 95205, us",9.584936708860766,7.79,5.863055295753018,4.1,79,9.89,16.49,3.99,5.59,5.59,ca,95205,San Joaquin,2024-03-22,1,0,1,0
13,McDonald,"101 sunset ave, suisun city, ca, 94585, us",8.051159420289862,4.59,9.565978140586532,4.9,160,8.49,12.99,3.59,3.49,5.09,ca,94585,Solano,2024-03-22,1,0,1,0
14,Jack in the Box,"499 grizzly island rd, suisun city, ca, 94585, us",8.228321678321683,7.36,4.055850817592409,4.3,143,5.61,11.85,3.74,3.49,4.99,ca,94585,Solano,2024-03-22,1,0,1,0
15,Burger King,"1260 anderson drive, suisun city, ca, 94585, us",8.266250000000001,6.29,5.910158495125151,3.8,80,8.59,14.99,2.69,4.79,4.29,ca,94585,Solano,2024-03-22,1,0,1,0
16,McDonald,"10143 sierra ave, fontana, ca, 92335, us",6.084049586776859,4.19,4.817158309559617,4.6,143,8.09,12.79,3.79,3.59,4.09,ca,92335,San Bernardino,2024-03-22,1,0,1,0
17,McDonald,"16063 foothill blvd, fontana, ca, 92335, us",5.158809523809525,4.19,3.61957215027141,4.3,146,6.19,10.49,4.19,3.89,4.89,ca,92335,San Bernardino,2024-03-22,1,0,1,0
18,Jack in the Box,"10110 sierra ave, fontana, ca, 92335, us",6.9578676470588325,5.99,3.6101976498133737,4.5,136,5.39,10.9,3.47,3.11,4.31,ca,92335,San Bernardino,2024-03-22,1,0,1,0
19,Jack in the Box,"14485 foothill blvd, fontana, ca, 92335, us",6.848521739130441,6.61,2.7656763441935426,4.7,146,5.61,,3.61,3.24,,ca,92335,San Bernardino,2024-03-22,1,0,1,0
20,Jack in the Box,"8134 sierra ave, fontana, ca, 92335, us",7.285441176470598,6.37,3.7761824925615044,4.7,136,5.99,11.85,3.61,3.24,4.49,ca,92335,San Bernardino,2024-03-22,1,0,1,0
21,Wendy,"16984 valley blvd., fontana, ca, 92335, us",6.295818181818182,5.11,3.080376417912762,4.8,190,7.67,0.0,3.4,2.43,0.0,ca,92335,San Bernardino,2024-03-22,1,0,1,0
22,Burger King,"16878 foothill boulevard, fontana, ca, 92335, us",8.970256410256416,6.6899999999999995,5.813354646152778,4.7,78,10.29,15.29,2.79,5.39,4.89,ca,92335,San Bernardino,2024-03-22,1,0,1,0
23,The Habit,"9750 sierra avenue, fontana, ca, 92335, us",11.030897435897415,8.99,9.804340507364707,4.6,234,9.49,17.49,8.36,7.24,4.36,ca,92335,San Bernardino,2024-03-22,1,0,1,0
24,McDonald,"103 mcdowell blvd, petaluma, ca, 94954, us",5.835736434108545,4.39,3.9562139867337285,4.8,292,8.69,14.79,4.49,3.99,5.69,ca,94954,Sonoma,2024-03-22,1,0,1,0
25,Burger King,"5304 old redwood highway, petaluma, ca, 94954, us",8.532839506172845,6.59,5.944903457785489,4.8,162,9.29,15.99,2.69,4.79,4.69,ca,94954,Sonoma,2024-03-22,1,0,1,0
26,The Habit,"447 n mcdowell blvd, petaluma, ca, 94954, us",10.800886075949363,8.74,9.751002569664495,4.2,158,9.24,17.24,8.11,6.99,4.36,ca,94954,Sonoma,2024-03-22,1,0,1,0
27,McDonald,"10990 n stelling rd, cupertino, ca, 95014, us",5.527656250000004,4.29,4.561200925396285,4.6,143,7.39,12.05,3.49,4.19,4.47,ca,95014,Santa Clara,2024-03-22,1,0,1,0
28,The Habit,"20735 stevens creek blvd, cupertino, ca, 95014, us",10.788354430379753,8.74,9.753326654860093,4.8,79,9.24,17.24,8.11,6.99,4.36,ca,95014,Santa Clara,2024-03-22,1,0,1,0
29,McDonald,"1100 fillmore st, san francisco, ca, 94115, us",6.033461538461541,4.95,4.126366759406642,4.5,151,7.89,13.69,4.09,3.59,5.49,ca,94115,San Francisco,2024-03-22,1,0,1,0
30,Burger King,"1701 fillmore st, san francisco, ca, 94115, us",9.090625000000006,6.89,5.915767562994257,4.7,160,9.89,16.89,2.89,4.89,5.59,ca,94115,San Francisco,2024-03-22,1,0,1,0
31,McDonald,"1100 north state college blvd, anaheim, ca, 92806, us",6.166635514018693,4.19,4.36266186940681,4.3,134,6.59,13.59,2.79,2.59,4.69,ca,92806,Orange,2024-03-22,1,0,1,0
32,Jack in the Box,"100 s. state college blvd., anaheim, ca, 92806, us",7.567080291970812,6.49,3.8705894910403162,4.6,137,6.11,11.98,3.49,3.24,4.74,ca,92806,Orange,2024-03-22,1,0,1,0
33,Wendy,"1012 n. state college blvd., anaheim, ca, 92806, us",6.675818181818183,5.48,3.2805879134464973,4.7,95,8.16,0.0,3.65,3.65,0.0,ca,92806,Orange,2024-03-22,1,0,1,0
34,Burger King,"2210 e lincoln ave, anaheim, ca, 92806, us",9.378374999999995,8.04,6.447535273992304,4.8,80,8.09,13.29,3.99,5.49,4.99,ca,92806,Orange,2024-03-22,1,0,1,0
35,Carls Jr,"2820 e. lincoln ave, anaheim, ca, 92806, us",10.71963855421687,10.95,5.285673167460544,4.8,89,,,6.44,6.44,3.86,ca,92806,Orange,2024-03-22,1,0,1,0
36,Carls Jr,"3110 e la palma, anaheim, ca, 92806, us",6.128367346938776,5.07,2.8353802228119904,4.4,87,,,4.1,4.34,3.25,ca,92806,Orange,2024-03-22,1,0,1,0
37,McDonald,"1100 s grand ave, santa ana, ca, 92705, us",6.1547169811320765,4.49,4.4576028348326275,4.5,132,6.79,12.79,3.29,3.09,4.89,ca,92705,Orange,2024-03-22,1,0,1,0
38,Wendy,"1737 e 17th st, santa ana, ca, 92705, us",6.696181818181819,5.48,3.2831977155921357,4.7,190,8.41,0.0,3.65,3.65,0.0,ca,92705,Orange,2024-03-22,1,0,1,0
