,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,McDonald,"100 e redlands blvd, san bernardino, ca, 92408, us",7.103538461538473,6.04,5.053630661604122,4.4,146,1,8.19,14.59,4.59,3.69,6.09,ca,92408,San Bernardino,2024-05-14,1,1,1,0
1,Jack in the Box,"1148 coulston st, san bernardino, ca, 92408, us",8.233161290322581,7.74,3.8770776748172167,4.6,155,700+,6.86,13.36,3.74,3.36,4.86,ca,92408,San Bernardino,2024-05-14,1,1,1,0
2,Burger King,"205 east redlands, san bernardino, ca, 92408, us",8.609240506329126,6.49,6.177777604610749,4.5,158,500+,10.39,15.29,3.49,5.39,4.89,ca,92408,San Bernardino,2024-05-14,1,1,1,0
3,McDonald,"1000 e 4th st, long beach, ca, 90802, us",8.102053571428575,5.49,6.1433537168217205,4.5,135,4,8.29,14.39,4.39,3.89,5.29,ca,90802,Los Angeles,2024-05-14,1,1,1,0
4,McDonald,"640 long beach blvd, long beach, ca, 90802, us",5.392080000000004,3.79,4.2013912545251,4.5,146,8,6.46,12.09,3.04,2.95,4.59,ca,90802,Los Angeles,2024-05-14,1,1,1,0
5,Jack in the Box,"652 atlantic ave, long beach, ca, 90802, us",8.44614379084967,7.49,4.529180208928003,4.4,153,3,6.86,13.74,3.74,3.11,3.74,ca,90802,Los Angeles,2024-05-14,1,1,1,0
6,Burger King,"127 west 4th street, long beach, ca, 90802, us",8.730759493670893,6.49,6.250644477587465,4.6,79,1,10.39,15.29,3.39,5.79,4.99,ca,90802,Los Angeles,2024-05-14,1,1,1,0
7,McDonald,"1000 real rd, bakersfield, ca, 93309, us",6.464477611940309,4.19,6.198290275475242,4.6,153,490+,6.49,11.39,3.49,2.99,4.79,ca,93309,Kern,2024-05-14,1,1,1,0
8,McDonald,"5410 stockdale hwy, bakersfield, ca, 93309, us",6.472074074074085,4.19,6.175917037474869,4.6,154,600+,6.49,11.39,3.49,2.99,4.79,ca,93309,Kern,2024-05-14,1,1,1,0
9,Burger King,"7990 white lane, bakersfield, ca, 93309, us",8.038902439024394,5.890000000000001,6.192519682235342,4.5,82,250+,8.24,14.49,2.89,11.43,4.61,ca,93309,Kern,2024-05-14,1,1,1,0
10,Burger King,"8200 stockdale hwy, bakersfield, ca, 93309, us",5.3824000000000005,4.54,2.6927900475157736,4.4,84,380+,9.18,0.0,3.24,4.83,4.8,ca,93309,Kern,2024-05-14,1,1,1,0
11,Carls Jr,"815 real road, bakersfield, ca, 93309, us",11.3064705882353,11.21,5.549254471576466,4.6,91,160+,8.63,14.44,6.44,,4.89,ca,93309,Kern,2024-05-14,1,1,1,0
12,The Habit,"3900 california ave, bakersfield, ca, 93309, us",11.489487179487188,8.74,10.621063481620139,4.6,78,1,9.61,17.98,8.49,7.36,4.61,ca,93309,Kern,2024-05-14,1,1,1,0
13,McDonald,"10051 bruceville road, elk grove, ca, 95757, us",8.696808510638316,5.29,10.352543615843485,4.4,158,460+,7.69,14.79,4.09,3.69,5.49,ca,95757,Sacramento,2024-05-14,1,1,1,0
14,McDonald,"1009 n wilson way, stockton, ca, 95205-4217, us",8.674822695035479,5.19,10.356915502572582,4.2,159,370+,7.69,14.79,4.09,3.69,5.49,ca,95205,San Joaquin,2024-05-14,1,1,1,0
15,McDonald,"101 sunset ave, suisun city, ca, 94585, us",8.554657534246582,5.49,9.39637106899674,4.5,168,700+,8.49,12.99,3.59,3.49,5.29,ca,94585,Solano,2024-05-14,1,1,1,0
16,Jack in the Box,"499 grizzly island rd, suisun city, ca, 94585, us",8.735986842105266,7.86,4.162354985599217,4.4,152,250+,6.61,13.23,3.99,3.74,4.99,ca,94585,Solano,2024-05-14,1,1,1,0
17,McDonald,"1011 e 17th st, santa ana, ca, 92706, us",6.643781512605041,4.49,4.534810084985377,4.3,148,1,6.49,13.49,3.39,3.29,5.29,ca,92706,Orange,2024-05-14,1,1,1,0
18,McDonald,"1501 n bristol st, santa ana, ca, 92706, us",6.706885245901639,4.54,4.798624133748696,4.7,148,1,6.49,13.49,3.39,3.29,5.19,ca,92706,Orange,2024-05-14,1,1,1,0
19,McDonald,"10143 sierra ave, fontana, ca, 92335, us",6.941229508196717,4.58,5.554145487369499,4.4,144,3,8.79,13.99,4.09,3.99,4.39,ca,92335,San Bernardino,2024-05-14,1,1,1,0
20,McDonald,"16063 foothill blvd, fontana, ca, 92335, us",5.575846153846159,4.24,3.9775123235539653,4.3,150,3,6.19,10.49,4.19,3.89,4.89,ca,92335,San Bernardino,2024-05-14,1,1,1,0
21,Jack in the Box,"10110 sierra ave, fontana, ca, 92335, us",7.264967320261439,6.35,3.588099998639837,4.4,153,900+,5.39,10.9,3.47,3.11,4.31,ca,92335,San Bernardino,2024-05-14,1,1,1,0
22,Jack in the Box,"14485 foothill blvd, fontana, ca, 92335, us",6.8913385826771725,6.61,2.6940813993176174,4.3,157,430+,5.61,,3.61,3.24,,ca,92335,San Bernardino,2024-05-14,1,1,1,0
23,Jack in the Box,"8134 sierra ave, fontana, ca, 92335, us",7.669130434782612,6.99,3.7015446484176033,4.5,161,1,5.99,11.85,3.61,3.24,4.49,ca,92335,San Bernardino,2024-05-14,1,1,1,0
24,Wendy,"16984 valley blvd., fontana, ca, 92335, us",6.200399999999995,5.23,2.9771482730962533,4.5,85,900+,7.92,0.0,3.65,2.79,0.0,ca,92335,San Bernardino,2024-05-14,1,1,1,0
25,Burger King,"16878 foothill boulevard, fontana, ca, 92335, us",8.60924050632912,6.49,6.177777604610748,4.5,79,700+,10.39,15.29,3.49,5.39,4.89,ca,92335,San Bernardino,2024-05-14,1,1,1,0
26,Carls Jr,"14454 valley blvd, fontana, ca, 92335, us",6.380961538461539,5.37,2.938447562139537,4.6,92,900+,6.76,0.0,4.1,,3.25,ca,92335,San Bernardino,2024-05-14,1,1,1,0
27,The Habit,"9750 sierra avenue, fontana, ca, 92335, us",11.847692307692315,8.99,10.925673120503593,4.0,78,35,9.74,18.24,8.61,7.49,4.74,ca,92335,San Bernardino,2024-05-14,1,1,1,0
28,McDonald,"103 mcdowell blvd, petaluma, ca, 94954, us",6.046589147286841,4.69,4.09425471843376,4.8,292,250+,8.69,14.79,4.49,3.99,5.69,ca,94954,Sonoma,2024-05-14,1,1,1,0
29,Jack in the Box,"1401 n mcdowell blvd, petaluma, ca, 94954, us",8.970596026490064,8.24,4.281580173700508,4.7,151,46,7.74,14.6,4.24,3.74,4.99,ca,94954,Sonoma,2024-05-14,1,1,1,0
30,McDonald,"10990 n stelling rd, cupertino, ca, 95014, us",5.72744186046512,4.39,4.6490454599283355,4.7,144,1,7.39,12.05,3.49,4.19,4.47,ca,95014,Santa Clara,2024-05-14,1,1,1,0
31,Jack in the Box,"1451 s de anza blvd, cupertino, ca, 95014, us",8.251513157894735,7.800000000000001,4.07890880658767,4.7,152,220+,6.61,13.35,3.74,3.36,5.24,ca,95014,Santa Clara,2024-05-14,1,1,1,0
