,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,McDonald,"1100 fillmore st, san francisco, ca, 94115, us",6.087886178861792,4.95,4.232331086537197,4.5,144,100+,7.89,13.69,4.09,3.59,5.49,ca,94115,San Francisco,2024-04-05,1,0,1,0
1,McDonald,"119 west ball road, anaheim, ca, 92805-6045, us",6.849633027522946,5.19,4.714940517706952,4.7,134,100+,6.89,13.39,3.89,3.19,5.19,ca,92805,Orange,2024-04-05,1,0,1,0
2,Jack in the Box,"290 w. lincoln ave., anaheim, ca, 92805, us",7.823767123287674,6.675000000000001,3.8884509611508915,4.7,146,76,6.11,11.98,3.49,3.24,4.74,ca,92805,Orange,2024-04-05,1,0,1,0
3,Burger King,"1201 south, anaheim, ca, 92805, us",9.72376623376624,8.49,6.098916454533489,4.7,77,42,9.59,16.79,3.59,5.99,4.29,ca,92805,Orange,2024-04-05,1,0,1,0
4,McDonald,"120 harding blvd, roseville, ca, 95678, us",6.234758064516133,4.845,4.868334560512467,0.0,143,10,8.39,13.99,4.18,3.69,5.37,ca,95678,Placer,2024-04-05,1,0,1,0
5,Shake Shack,"1151 galleria boulevard, roseville, ca, 95678, us",8.192439024390247,7.59,2.947300360841033,4.5,84,22,9.59,,9.39,8.99,5.49,ca,95678,Placer,2024-04-05,1,0,1,0
6,Sonic,"913 pleasant grove blvd, roseville, ca, 95678, us",5.679032258064515,4.87,2.574810177580537,4.3,240,27,10.36,0.0,4.87,,0.0,ca,95678,Placer,2024-04-05,1,0,1,0
7,The Habit,"933 pleasant grove blvd, roseville, ca, 95678, us",10.702405063291144,8.11,9.9624900571956,4.8,79,18,9.24,16.74,8.24,7.11,3.99,ca,95678,Placer,2024-04-05,1,0,1,0
8,McDonald,"1260 park blvd, san diego, ca, 92101, us",8.976274509803929,6.74,6.372521266907892,4.5,126,100+,8.49,14.19,4.49,3.79,5.69,ca,92101,San Diego,2024-04-05,1,0,1,0
9,Jack in the Box,"1619 pacific hwy, san diego, ca, 92101, us",8.17804054054054,7.235,4.063928278453069,4.7,148,72,6.86,13.1,3.74,3.36,4.99,ca,92101,San Diego,2024-04-05,1,0,1,0
10,Shake Shack,"2008 india st., san diego, ca, 92101, us",8.004583333333333,7.59,2.7438559837794365,4.7,49,100+,9.39,,8.99,8.79,5.49,ca,92101,San Diego,2024-04-05,1,0,1,0
11,Burger King,"1210 11th ave, san diego, ca, 92101, us",9.574722222222226,8.69,5.9331849167350965,4.5,72,72,9.29,15.29,4.19,4.59,5.09,ca,92101,San Diego,2024-04-05,1,0,1,0
12,McDonald,"1299 e santa clara st, san jose, ca, 95116, us",5.589618320610695,4.19,4.13790583989257,4.4,146,87,6.69,10.79,3.59,3.19,4.99,ca,95116,Santa Clara,2024-04-05,1,0,1,0
13,McDonald,"13370 lincoln way, auburn, ca, 95603, us",5.8498496240601545,4.99,3.8629857136680714,0.0,152,2,7.79,12.99,3.49,3.39,5.39,ca,95603,Placer,2024-04-05,1,0,1,0
14,Jack in the Box,"13421 east lincoln way, auburn, ca, 95603, us",8.092980132450334,7.24,3.9536085947062434,3.4,151,12,6.86,13.35,3.74,3.36,4.99,ca,95603,Placer,2024-04-05,1,0,1,0
15,McDonald,"137 canyon dr, oceanside, ca, 92054, us",6.22556521739131,4.59,4.511799061071516,4.9,140,23,6.79,11.89,3.19,2.89,4.91,ca,92054,San Diego,2024-04-05,1,0,1,0
16,Jack in the Box,"1900 mission ave, oceanside, ca, 92054, us",8.393443708609274,7.49,4.232258496586736,4.7,151,40,7.86,14.98,3.74,3.49,4.99,ca,92054,San Diego,2024-04-05,1,0,1,0
17,Wendy,"1002 mission avenue, oceanside, ca, 92054, us",7.061111111111111,6.09,3.1957226428269,4.1,93,13,8.53,0.0,3.89,3.4,0.0,ca,92054,San Diego,2024-04-05,1,0,1,0
18,The Habit,"2267 s el camino real, oceanside, ca, 92054, us",11.41756410256411,8.74,10.669361621003246,4.6,78,34,9.61,17.98,8.49,7.36,4.61,ca,92054,San Diego,2024-04-05,1,0,1,0
19,McDonald,"1407 bradley rd, santa maria, ca, 93454, us",6.348805970149262,4.69,5.001916355858935,3.8000000000000003,152,11,7.49,13.09,5.19,4.79,5.39,ca,93454,Santa Barbara,2024-04-05,1,0,1,0
20,Jack in the Box,"830 south broadway, santa maria, ca, 93454, us",8.432517006802717,7.49,4.087753045035105,4.5,147,30,6.86,12.98,4.11,3.74,4.99,ca,93454,Santa Barbara,2024-04-05,1,0,1,0
21,The Habit,"985 betteravia road, santa maria, ca, 93454, us",10.093593750000004,7.775,10.649837934093688,4.2,64,16,9.24,16.86,8.36,7.24,4.11,ca,93454,Santa Barbara,2024-04-05,1,0,1,0
22,McDonald,"1420 el camino real, san mateo, ca, 94402, us",5.5631746031746045,3.9400000000000004,4.671866601364203,4.8,145,100+,6.69,10.69,3.19,2.79,3.99,ca,94402,San Mateo,2024-04-05,1,0,1,0
23,McDonald,"1421 mission st, santa cruz, ca, 95060-4738, us",6.79375,5.28,4.434280111152957,4.7,145,894,8.39,13.29,3.99,3.49,4.99,ca,95060,Santa Cruz,2024-04-05,1,0,1,0
24,Jack in the Box,"640 ocean street, santa cruz, ca, 95060, us",8.353129251700677,7.49,4.157742028939793,4.4,147,100+,6.86,13.23,3.99,3.74,4.99,ca,95060,Santa Cruz,2024-04-05,1,0,1,0
25,Burger King,"2015 mission street, santa cruz, ca, 95060, us",8.754878048780492,6.54,6.012022557262267,4.6,82,29,9.49,16.11,2.59,4.69,4.74,ca,95060,Santa Cruz,2024-04-05,1,0,1,0
26,The Habit,"1400 ocean st, santa cruz, ca, 95060, us",11.563417721518995,8.74,10.822362675903994,4.8,79,84,9.74,18.24,8.61,7.49,4.74,ca,95060,Santa Cruz,2024-04-05,1,0,1,0
27,Five Guys,"1101 pacific avenue, santa cruz, ca, 95060, us",9.071428571428571,9.59,3.4434614170355164,4.5,28,63,14.39,,11.39,10.19,7.55,ca,95060,Santa Cruz,2024-04-05,1,0,1,0
28,McDonald,"155 kern st, salinas, ca, 93905, us",5.76582089552239,4.01,4.619586028249631,4.3,153,22,6.89,10.95,3.78,3.23,4.99,ca,93905,Monterey,2024-04-05,1,0,1,0
29,McDonald,"16063 foothill blvd, fontana, ca, 92335, us",5.828818181818184,4.89,4.1418451601404085,4.3,130,50+,6.19,10.49,4.19,3.89,4.89,ca,92335,San Bernardino,2024-04-05,1,0,1,0
30,Jack in the Box,"8134 sierra ave, fontana, ca, 92335, us",7.567278481012662,6.61,3.740079815152902,4.7,158,42,5.99,11.85,3.61,3.24,4.49,ca,92335,San Bernardino,2024-04-05,1,0,1,0
31,Wendy,"16984 valley blvd., fontana, ca, 92335, us",6.22755102040816,5.23,3.00123956065792,4.9,84,33,7.92,0.0,3.65,2.79,0.0,ca,92335,San Bernardino,2024-04-05,1,0,1,0
32,Burger King,"16878 foothill boulevard, fontana, ca, 92335, us",8.970256410256416,6.6899999999999995,5.813354646152779,4.6,78,30,10.29,15.29,2.79,5.39,4.89,ca,92335,San Bernardino,2024-04-05,1,0,1,0
33,The Habit,"9750 sierra avenue, fontana, ca, 92335, us",11.77256410256411,8.99,10.976303781666639,4.5,78,13,9.74,18.24,8.61,7.49,4.74,ca,92335,San Bernardino,2024-04-05,1,0,1,0
34,McDonald,"1739 divisadero st, fresno, ca, 93701-1920, us",5.594772727272726,4.29,4.17593438390142,3.9,147,48,6.19,9.79,3.39,2.89,4.99,ca,93701,Fresno,2024-04-05,1,0,1,0
35,McDonald,"200 richards blvd, sacramento, ca, 95811, us",8.465208333333335,5.29,9.566663688207287,4.4,163,50+,8.49,12.99,3.59,3.49,5.29,ca,95811,Sacramento,2024-04-05,1,0,1,0
36,Shake Shack,"1710 r st, sacramento, ca, 95811, us",8.181111111111113,7.59,2.844552081296786,4.7,92,50+,9.59,,9.39,8.99,5.49,ca,95811,Sacramento,2024-04-05,1,0,1,0
37,McDonald,"2114 4th st, san rafael, ca, 94901, us",6.495661764705882,5.39,5.063104241675005,4.8,151,19,8.29,12.99,4.39,4.39,4.99,ca,94901,Marin,2024-04-05,1,0,1,0
38,Jack in the Box,"1814 2nd street, san rafael, ca, 94901, us",8.737346938775508,8.11,4.345680680896117,4.4,147,86,7.24,14.23,4.11,3.74,4.99,ca,94901,Marin,2024-04-05,1,0,1,0
39,Burger King,"969 east francisco blvd., san rafael, ca, 94901, us",9.304634146341465,6.949999999999999,6.155638342425299,4.6,82,48,10.26,17.54,2.89,4.89,5.97,ca,94901,Marin,2024-04-05,1,0,1,0
40,McDonald,"2242 university ave, riverside, ca, 92507, us",6.538672566371687,4.59,4.871301456894006,4.7,138,50+,7.19,12.29,4.09,3.59,4.99,ca,92507,Riverside,2024-04-05,1,0,1,0
41,Burger King,"2167 university avenue, riverside, ca, 92507, us",8.970256410256416,6.6899999999999995,5.813354646152779,4.3,78,46,10.29,15.29,2.79,5.39,4.89,ca,92507,Riverside,2024-04-05,1,0,1,0
42,McDonald,"2310 f st, bakersfield, ca, 93301, us",5.8796581196581235,4.19,4.266632398024224,4.1,143,40,6.61,10.09,3.52,2.91,4.72,ca,93301,Kern,2024-04-05,1,0,1,0
43,Jack in the Box,"2220 chester ave, bakersfield, ca, 93301, us",8.561133333333334,7.615,4.1294689790442645,4.3,150,16,7.49,13.73,4.11,3.74,5.36,ca,93301,Kern,2024-04-05,1,0,1,0
44,McDonald,"24440 alessandro blvd, moreno valley, ca, 92553, us",7.779615384615387,5.36,5.609458276853774,4.1,158,47,9.07,17.5,5.27,3.98,5.77,ca,92553,Riverside,2024-04-05,1,0,1,0
45,Wendy,"22320 cactus ave, moreno valley, ca, 92553, us",7.117499999999997,6.33,3.469328728576045,4.7,89,21,8.89,0.0,4.01,3.65,0.0,ca,92553,Riverside,2024-04-05,1,0,1,0
46,The Habit,"12560 day st, moreno valley, ca, 92553, us",11.36797468354431,8.74,10.61066139025271,4.4,79,25,9.61,17.98,8.49,7.36,4.61,ca,92553,Riverside,2024-04-05,1,0,1,0
47,Five Guys,"12515 frederick st, moreno valley, ca, 92553, us",8.30310344827586,8.27,3.1596781846697244,4.6,29,44,13.19,,10.43,9.23,7.19,ca,92553,Riverside,2024-04-05,1,0,1,0
