,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,hamburger,cheeseburger,fries,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Big Mouth Burgers,"3392 24th st, san francisco, ca, 94110, us",13.464285714285731,14.95,4.512657934372275,4.6,70,500+,15.95,16.95,4.95,,,ca,94110,San Francisco,2024-05-28,1,1,1,1
1,Big Mouth Burgers,"851 cherry ave, san bruno, ca, 94066, us",14.185714285714306,15.95,4.366366116260121,4.7,84,700+,15.95,16.95,5.25,,,ca,94066,San Mateo,2024-05-28,1,1,1,1
2,Burger Station,"603 saratoga avenue, suite 30, san jose, ca, 95129, us",11.672795698924737,11.99,5.526954938638901,4.8,93,450+,11.99,12.99,6.99,,,ca,95129,Santa Clara,2024-05-28,1,1,1,1
3,Super Burger,"1132, clovis, ca, 93612, us",9.347534246575348,9.75,5.030100296072952,4.7,73,130+,,,3.99,,,ca,93612,Fresno,2024-05-28,1,1,1,1
4,Super Burger,"5831 s santa fe ave, vernon, ca, 90058, us",11.331022727272604,11.99,3.97092559617938,4.8,440,280+,,,4.99,,,ca,90058,Los Angeles,2024-05-28,1,1,1,1
5,Burger Basket,"12155 firestone blvd, norwalk, ca, 90650, us",9.542857142857084,8.99,6.167033818818325,4.6,630,220+,6.75,7.5,3.9,,,ca,90650,Los Angeles,2024-05-28,1,1,1,1
6,Burger Basket,"501 west duarte road, monrovia, ca, 91016, us",7.21057142857142,6.6,4.622437169692531,4.8,385,500+,5.35,6.0,4.5,,,ca,91016,Los Angeles,2024-05-28,1,1,1,1
7,Burger Factory,"1358 w martin luther king jr blvd, los angeles, ca, 90037, us",11.999540229884985,12.5,6.786708935810937,4.5,435,700+,9.0,,,,,ca,90037,Los Angeles,2024-05-28,1,1,1,1
8,Cypress Best Burgers,"3240 n figueroa st, los angeles, ca, 90065, us",11.751899999999981,12.685,4.8259412957473975,4.8,600,1,6.79,7.79,6.29,,,ca,90065,Los Angeles,2024-05-28,1,1,1,1
9,Gold Star Hamburgers,"1623 s brand blvd, glendale, ca, 91204, us",10.537213114754062,10.69,5.27190485098705,4.8,305,600+,7.89,8.29,5.25,,,ca,91204,Los Angeles,2024-05-28,1,1,1,1
10,Hook Burger,"1731 n victory pl, burbank, ca, 91504, us",9.680487804878041,9.95,3.1928249982364294,4.7,287,900+,9.55,,5.1,,,ca,91504,Los Angeles,2024-05-28,1,1,1,1
11,Hook Burger,"24369 magic mountain pkwy, valencia, ca, 91355, us",9.68048780487804,9.95,3.1928249982364325,4.7,41,700+,9.55,,5.1,,,ca,91355,Los Angeles,2024-05-28,1,1,1,1
12,Burger Palace,"100 e manchester ave, los angeles, ca, 90003, us",8.719148936170214,8.05,4.982336386820447,4.5,376,420+,5.2,5.75,3.3,,,ca,90003,Los Angeles,2024-05-28,1,1,1,1
13,Burger Palace,"7126 s western ave, los angeles, ca, 90047, us",9.051648351648346,8.05,5.744593495260916,4.7,182,800+,5.2,5.75,3.3,,,ca,90047,Los Angeles,2024-05-28,1,1,1,1
14,Varsity Burgers,"600 w lincoln ave, anaheim, ca, 92805, us",10.0438356164384,9.35,2.4681941877252127,4.8,584,3,7.35,7.85,5.8,,,ca,92805,Orange,2024-05-28,1,1,1,1
15,Burger Boss,"15080 kensington park drive, tustin, ca, 92780, us",10.709259259259259,11.0,3.923080730021512,4.7,28,490+,11.0,13.0,9.0,,,ca,92780,Orange,2024-05-28,1,1,1,1
16,Burger Boss,"27690-b santa margarita pkwy, mission viejo, ca, 92691, us",10.709259259259259,11.0,3.923080730021512,4.7,28,500+,11.0,13.0,9.0,,,ca,92691,Orange,2024-05-28,1,1,1,1
17,P & G Burgers,"190 west valley boulevard, colton, ca, 92324, us",11.067999999999941,10.79,5.471005564094497,4.6,696,2,5.99,6.99,6.99,,,ca,92324,San Bernardino,2024-05-28,1,1,1,1
18,R Burgers,"1666 university avenue, riverside, ca, 92507, us",13.667874999999935,13.49,5.150435829556081,4.6,243,410+,11.99,19.49,,,,ca,92507,Riverside,2024-05-28,1,1,1,1
19,R Burgers,"6231 valley springs pkwy, riverside, ca, 92507, us",13.676624999999937,13.49,5.1464720789464105,4.5,243,68,11.99,19.49,,,,ca,92507,Riverside,2024-05-28,1,1,1,1
20,R Burgers,"23750 alessandro boulevard suite b, moreno valley, ca, 92553, us",11.968382352941186,12.719999999999999,4.839656225726987,4.7,138,250+,10.99,17.99,,,,ca,92553,Riverside,2024-05-28,1,1,1,1
21,R Burgers,"4890 south motor lane, ontario, ca, 91761, us",13.68562499999994,13.469999999999999,5.147739757347394,4.6,243,210+,11.99,19.49,,,,ca,91761,San Bernardino,2024-05-28,1,1,1,1
22,R Burgers,"5980 van buren blvd, riverside, ca, 92503, us",13.68487499999994,13.49,5.141850103258065,4.6,243,150+,11.99,19.49,,,,ca,92503,Riverside,2024-05-28,1,1,1,1
23,Betty Burgers,"415 trout gulch road, aptos, ca, 95003, us",10.079400000000009,8.99,5.014636740582509,4.7,116,28,13.49,,3.99,,,ca,95003,Santa Cruz,2024-05-28,1,1,1,1
24,Betty Burgers,"505 seabright ave, santa cruz, ca, 95062, us",8.660144927536237,7.99,5.298367124114237,4.5,69,49,13.49,,3.99,,,ca,95062,Santa Cruz,2024-05-28,1,1,1,1
