,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,burger,fries,combo,specialty_item,cheeseburger,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Barney's Gourmet Hamburgers,"1591 solano ave, berkeley, ca, 94707, us",15.821410256410307,17.55,5.649603735674855,4.7,468,900+,17.55,4.95,,,,,ca,94707,Alameda,2024-05-17,1,1,1,1
1,Barney's Gourmet Hamburgers,"1600 shattuck ave, berkeley, ca, 94709, us",15.841625000000064,17.55,5.54215333686961,4.6,560,800+,17.55,4.95,,,,,ca,94709,Alameda,2024-05-17,1,1,1,1
2,Barney's Gourmet Hamburgers,"4138 24th st, san francisco, ca, 94114, us",15.836597938144308,17.75,5.1766999571728824,4.7,291,2,16.95,6.5,,,,,ca,94114,San Francisco,2024-05-17,1,1,1,1
3,Barney's Gourmet Hamburgers,"4162 piedmont ave, oakland, ca, 94611, us",14.153139534883683,15.649999999999999,4.680951071525787,4.6,516,1,15.35,4.68,,,,,ca,94611,Alameda,2024-05-17,1,1,1,1
4,Barney's Gourmet Hamburgers,"5819 college ave, oakland, ca, 94618, us",13.94197530864191,15.35,4.631702729259498,4.6,648,500+,15.35,4.68,,,,,ca,94618,Alameda,2024-05-17,1,1,1,1
5,Burger Lounge,"1101 wall st, san diego, ca, 92037, us",10.636285714285718,10.74,5.711217576321325,4.7,144,1,,5.34,,,11.94,,ca,92037,San Diego,2024-05-17,1,1,1,1
6,Burger Lounge,"11740 san vincente blvd, los angeles, ca, 90049, us",10.662857142857142,10.74,5.963431532788693,4.7,65,3,,5.34,,,11.94,,ca,90049,Los Angeles,2024-05-17,1,1,1,1
7,Burger Lounge,"1198, roseville, ca, 95678, us",10.957272727272732,10.74,6.111610546416908,4.5,204,270+,,5.34,,,11.94,,ca,95678,Placer,2024-05-17,1,1,1,1
8,Burger Lounge,"13455 maxella ave, marina del rey, ca, 90292, us",10.138124999999999,10.14,4.407595672174912,4.8,66,2,,5.34,,,11.94,,ca,90292,Los Angeles,2024-05-17,1,1,1,1
9,Burger Lounge,"1608 india st, san diego, ca, 92101, us",10.721739130434788,10.74,5.729747435190972,4.6,142,2,,5.34,,,11.94,,ca,92101,San Diego,2024-05-17,1,1,1,1
10,Burger Lounge,"16490 paseo del sur, san diego, ca, 92127, us",10.620845070422538,10.74,5.661589570867406,4.7,73,1,,5.34,,,11.94,,ca,92127,San Diego,2024-05-17,1,1,1,1
11,Burger Lounge,"1875 s bascom ave, campbell, ca, 95008, us",11.121739130434781,10.74,6.096849259123012,4.6,284,800+,,5.34,,,11.94,,ca,95008,Santa Clara,2024-05-17,1,1,1,1
12,Burger Lounge,"19515 nordhoff st., ste 5, northridge, ca, 91324, us",10.686956521739132,10.74,5.7513442170033136,4.7,71,600+,,5.34,,,11.94,,ca,91324,Los Angeles,2024-05-17,1,1,1,1
13,Burger Lounge,"217 n larchmont blvd, los angeles, ca, 90004, us",10.962786885245901,10.74,5.882062516361534,4.7,63,5,,5.34,,,11.94,,ca,90004,Los Angeles,2024-05-17,1,1,1,1
14,Burger Lounge,"2720 via de la valle, del mar, ca, 92014, us",10.654647887323945,10.74,5.655031619937728,4.6,73,1,,5.34,,,11.94,,ca,92014,San Diego,2024-05-17,1,1,1,1
15,Burger Lounge,"279 e 17th st, costa mesa, ca, 92627, us",10.519436619718316,10.74,5.722699276263457,4.7,219,2,,5.34,,,11.94,,ca,92627,Orange,2024-05-17,1,1,1,1
16,Burger Lounge,"281 s. beverly dr., beverly hills, ca, 90212, us",10.767258064516128,10.74,5.953942626896103,4.7,64,3,,5.34,,,11.94,,ca,90212,Los Angeles,2024-05-17,1,1,1,1
17,Burger Lounge,"2920 ygnacio valley rd, walnut creek, ca, 94598, us",11.097313432835822,10.74,6.1681165228190435,4.5,207,470+,,5.34,,,11.94,,ca,94598,Contra Costa,2024-05-17,1,1,1,1
18,Burger Lounge,"405 k st, sacramento, ca, 95814, us",11.052173913043477,10.74,6.141719031786329,4.4,213,600+,,5.34,,,11.94,,ca,95814,Sacramento,2024-05-17,1,1,1,1
19,Burger Lounge,"406 university ave, san diego, ca, 92103, us",10.71271428571429,10.74,5.649094471412103,4.7,144,2,,5.34,,,11.94,,ca,92103,San Diego,2024-05-17,1,1,1,1
20,Burger Lounge,"40695 winchester rd, temecula, ca, 92591, us",10.721470588235295,10.74,5.764381060776675,4.5,70,700+,,5.34,,,11.94,,ca,92591,Riverside,2024-05-17,1,1,1,1
21,Burger Lounge,"4116 adams ave, san diego, ca, 92116, us",10.547826086956524,9.54,5.759258675514876,4.7,142,4,,5.34,,,11.94,,ca,92116,San Diego,2024-05-17,1,1,1,1
22,Burger Lounge,"4550 van nuys blvd, sherman oaks 91403, usa, los angeles, ca, 91423, us",10.607812500000007,10.74,5.932767974549799,4.7,132,3,,5.34,,,11.94,,ca,91423,Los Angeles,2024-05-17,1,1,1,1
23,Burger Lounge,"5950 village way, san diego, ca, 92130, us",10.272537313432846,10.74,4.406279218015488,4.7,138,73,,5.34,,,11.94,,ca,92130,San Diego,2024-05-17,1,1,1,1
24,Burger Lounge,"8553, irvine, ca, 92618, us",10.702153846153847,10.74,5.875110864370056,4.6,67,900+,,5.34,,,11.94,,ca,92618,Orange,2024-05-17,1,1,1,1
25,Burger Lounge,"922 orange ave, coronado, ca, 92118, us",10.739142857142864,10.74,5.704951919881822,4.7,144,1,,5.34,,,11.94,,ca,92118,San Diego,2024-05-17,1,1,1,1
26,Burger Lounge,"961 palomar airport blvd, carlsbad, ca, 92011, us",10.670571428571433,10.74,5.693700751259936,4.6,144,1,,5.34,,,11.94,,ca,92011,San Diego,2024-05-17,1,1,1,1
27,Burger Lounge,"9901 washington blvd, culver city, ca, 90232, us",10.628307692307693,10.74,5.7982524076008035,4.7,67,3,,5.34,,,11.94,,ca,90232,Los Angeles,2024-05-17,1,1,1,1
28,Roam Artisan Burgers,"1785 union st, san francisco, ca, 94123, us",13.08910447761194,9.2,12.520993801020904,4.8,146,2,,5.75,,,,13.8,ca,94123,San Francisco,2024-05-17,1,1,1,1
29,Roam Artisan Burgers,"1923 fillmore st, san francisco, ca, 94115, us",13.182878787878787,9.489999999999998,12.592120403571231,4.8,144,4,,5.75,,,,13.8,ca,94115,San Francisco,2024-05-17,1,1,1,1
30,Roam Artisan Burgers,"23, lafayette, ca, 94549, us",13.08910447761194,9.2,12.520993801020905,4.6,146,600+,,5.75,,,,13.8,ca,94549,Contra Costa,2024-05-17,1,1,1,1
31,Roam Artisan Burgers,"3081 s delaware st, san mateo, ca, 94403, us",13.089104477611931,9.2,12.520993801020909,4.7,219,500+,,5.75,,,,13.8,ca,94403,San Mateo,2024-05-17,1,1,1,1
32,Roam Artisan Burgers,"6000 bollinger canyon road, san ramon, ca, 94583, us",13.089104477611938,9.2,12.520993801020902,4.6,73,320+,,5.75,,,,13.8,ca,94583,Contra Costa,2024-05-17,1,1,1,1
33,Super Duper Burgers,"127 serramonte center, daly city, ca, 94015, us",7.955882352941177,8.5,3.1776277848578087,4.8,34,480+,,4.0,,,,10.5,ca,94015,San Mateo,2024-05-17,1,1,1,1
34,Super Duper Burgers,"15991, los gatos, ca, 95032, us",7.955882352941177,8.5,3.1776277848578087,4.6,34,120+,,4.0,,,,10.5,ca,95032,Santa Clara,2024-05-17,1,1,1,1
