,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Outback Steakhouse,"1246 great mall drive, milpitas, ca, 95035, us",20.328297872340436,17.49,14.37055282834043,4.3,104,1,4.99,15.99,,,,ca,95035,Santa Clara,2024-05-14,1,1,0,0
1,Denny,"333 s abbott ave, milpitas, ca, 95035, us",11.534444444444459,9.94,6.923261024248367,4.5,138,480+,5.59,17.29,,,,ca,95035,Santa Clara,2024-05-14,1,1,0,0
2,Outback Steakhouse,"177, san marcos, ca, 92069, us",19.69000000000001,15.99,13.937519702068391,4.4,111,800+,4.99,10.49,15.99,,,ca,92069,San Diego,2024-05-14,1,1,0,0
3,Outback Steakhouse,"2045-d w. briggsmore ave., modesto, ca, 95350, us",17.22571428571429,13.74,12.864251341801202,4.1,96,340+,4.99,7.49,14.49,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
4,Denny,"1525 mchenry ave., modesto, ca, 95350, us",12.065887850467293,10.07,7.326667454403978,4.0,137,400+,6.02,17.46,,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
5,Denny,"2052 w. orangeburg st., modesto, ca, 95350, us",12.474800000000005,13.24,7.370697861125499,4.4,130,150+,6.02,17.46,,,,ca,95350,Stanislaus,2024-05-14,1,1,0,0
6,Outback Steakhouse,"2341 lockwood st., oxnard, ca, 93030, us",18.626082474226813,13.99,13.054147230314355,4.5,106,500+,4.99,10.49,15.99,,,ca,93030,Ventura,2024-05-14,1,1,0,0
7,Denny,"1255 n, oxnard, ca, 93030, us",12.333333333333329,10.175,7.0709873029095816,4.5,131,330+,5.81,19.54,,,,ca,93030,Ventura,2024-05-14,1,1,0,0
8,Outback Steakhouse,"371 gellert blvd., daly city, ca, 94015, us",16.732499999999966,12.99,12.168005242977877,4.4,448,2,3.99,8.39,12.79,,,ca,94015,San Mateo,2024-05-14,1,1,0,0
9,Buffalo Wild Wings,"5b serramonte center serramonte center, daly city, ca, 94015, us",9.271386138613844,7.99,10.110988143942054,4.2,220,1,6.49,16.49,,,,ca,94015,San Mateo,2024-05-14,1,1,0,0
10,Outback Steakhouse,"4004 south mooney blvd., visalia, ca, 93277, us",19.69000000000001,15.99,13.937519702068391,4.5,111,320+,4.99,10.49,15.99,,,ca,93277,Tulare,2024-05-14,1,1,0,0
11,Red Robin,"2015 s mooney blvd #505, visalia, ca, 93277, us",12.571666666666678,11.99,8.393191519850411,4.5,121,500+,4.79,8.39,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
12,Buffalo Wild Wings,"4125 s mooney blvd, visalia, ca, 93277, us",8.818484848484859,7.79,9.69744570801361,4.1,107,600+,5.99,15.99,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
13,Applebee,"3400 s. mooney blvd., visalia, ca, 93277, us",25.37278688524588,17.49,26.05742300905088,4.6,123,370+,18.79,16.99,15.39,,,ca,93277,Tulare,2024-05-14,1,1,0,0
14,Denny,"2332 south mooney, visalia, ca, 93277, us",12.23851485148515,12.57,7.210619971166926,4.4,131,500+,5.81,17.14,,,,ca,93277,Tulare,2024-05-14,1,1,0,0
15,Outback Steakhouse,"521 davis street, vacaville, ca, 95688, us",19.538039215686183,15.49,13.952859924649621,4.5,224,700+,4.99,10.49,15.99,,,ca,95688,Solano,2024-05-14,1,1,0,0
16,Denny,"1701 e. monte vista ave, vacaville, ca, 95688, us",12.13174757281553,10.07,7.307203843738755,4.2,133,440+,5.81,18.39,,,,ca,95688,Solano,2024-05-14,1,1,0,0
17,Panera Bread,"1553 east prosperity avenue, tulare, ca, 93274, us",10.456197183098604,9.39,9.144257701905895,4.7,149,85,,,,,,ca,93274,Tulare,2024-05-14,1,1,0,0
18,Denny,"795 e prosperity ave, tulare, ca, 93274, us",11.698380952380953,9.97,6.973938714113326,4.4,135,250+,5.81,17.14,,,,ca,93274,Tulare,2024-05-14,1,1,0,0
19,Panera Bread,"800 w, san marcos, ca, 92078, us",12.681489361702123,10.69,13.571154690216055,4.9,148,52,,,,,,ca,92078,San Diego,2024-05-14,1,1,0,0
20,Red Robin,"101 town center east, santa maria, ca, 93454, us",12.493278688524601,11.690000000000001,8.346580083259681,4.5,123,360+,4.79,8.39,,,,ca,93454,Santa Barbara,2024-05-14,1,1,0,0
21,Buffalo Wild Wings,"795 e betteravia rd, santa maria, ca, 93454, us",7.888000000000013,4.74,9.943876306551692,4.2,98,410+,5.99,15.29,,,,ca,93454,Santa Barbara,2024-05-14,1,1,0,0
22,Applebee,"1415 s bradley, santa maria, ca, 93454, us",23.772203389830487,16.99,24.618632296738618,4.4,119,380+,18.79,16.99,15.39,,,ca,93454,Santa Barbara,2024-05-14,1,1,0,0
23,Denny,"1019 east main st., santa maria, ca, 93454, us",12.263084112149532,10.07,7.391710235654426,4.5,137,270+,5.81,18.29,,,,ca,93454,Santa Barbara,2024-05-14,1,1,0,0
24,Red Robin,"1274 el camino real, san bruno, ca, 94066, us",12.711008403361344,11.99,8.334668649930316,4.5,480,900+,4.79,8.39,,,,ca,94066,San Mateo,2024-05-14,1,1,0,0
25,Red Robin,"200 e via rancho pkwy, escondido, ca, 92025, us",12.971666666666666,12.190000000000001,8.619058178762275,4.6,121,800+,4.79,8.39,,,,ca,92025,San Diego,2024-05-14,1,1,0,0
26,Red Robin,"2367 claribel rd, riverbank, ca, 95367, us",12.753114754098366,11.99,8.485611745286818,4.3,123,360+,4.79,8.39,,,,ca,95367,Stanislaus,2024-05-14,1,1,0,0
27,Red Robin,"3301 e main st #1511, ventura, ca, 93003, us",12.507355371900838,11.99,8.379556761448596,4.4,122,310+,4.79,8.39,,,,ca,93003,Ventura,2024-05-14,1,1,0,0
28,Denny,"4095 telegraph road, ventura, ca, 93003, us",12.257075471698103,10.280000000000001,7.2539099368314846,4.4,272,380+,5.81,17.98,,,,ca,93003,Ventura,2024-05-14,1,1,0,0
29,Red Robin,"3906 rivermark plaza, santa clara, ca, 95054, us",12.914590163934426,11.99,8.560702356234232,4.6,123,1,4.79,8.39,,,,ca,95054,Santa Clara,2024-05-14,1,1,0,0
30,Red Robin,"404-a sun valley mall, concord, ca, 94520, us",12.753114754098364,11.99,8.485611745286818,4.4,123,500+,4.79,8.39,,,,ca,94520,Contra Costa,2024-05-14,1,1,0,0
31,Buffalo Wild Wings,"2090 diamond blvd, concord, ca, 94520, us",8.847857142857128,7.54,9.911907212632523,4.0,214,900+,5.99,15.79,,,,ca,94520,Contra Costa,2024-05-14,1,1,0,0
32,Red Robin,"681 town center dr, oxnard, ca, 93036, us",12.507355371900838,11.99,8.379556761448596,4.5,122,480+,4.79,8.39,,,,ca,93036,Ventura,2024-05-14,1,1,0,0
33,Buffalo Wild Wings,"1600 e gonzales rd, oxnard, ca, 93036, us",9.175700000000006,7.54,10.111073262023167,4.3,108,1,5.99,16.49,,,,ca,93036,Ventura,2024-05-14,1,1,0,0
34,Buffalo Wild Wings,"309 madonna rd, san luis obispo, ca, 93405, us",9.100306122448991,7.54,10.045484664822656,4.3,106,800+,5.99,15.99,,,,ca,93405,San Luis Obispo,2024-05-14,1,1,0,0
35,Denny,"208 madonna rd., san luis obispo, ca, 93405, us",11.87296296296296,10.175,7.167640277439739,4.4,138,600+,5.81,17.56,,,,ca,93405,San Luis Obispo,2024-05-14,1,1,0,0
36,Buffalo Wild Wings,"3401 dale rd ste 830, modesto, ca, 95356, us",8.651584158415853,6.99,9.68620952262467,3.7,110,370+,5.29,15.99,,,,ca,95356,Stanislaus,2024-05-14,1,1,0,0
37,Applebee,"3900 sisk road, modesto, ca, 95356, us",23.53561403508766,18.79,22.31717590584513,4.1,117,190+,16.29,18.79,17.49,,,ca,95356,Stanislaus,2024-05-14,1,1,0,0
38,Buffalo Wild Wings,"401 kenilworth drive, petaluma, ca, 94952, us",13.39695652173913,13.79,10.024531114749125,4.2,108,120+,7.29,16.79,,,,ca,94952,Marin,2024-05-14,1,1,0,0
39,Denny,"4986, petaluma, ca, 94952, us",13.661682242990658,13.19,8.63466091590604,4.6,137,92,7.16,18.29,,,,ca,94952,Marin,2024-05-14,1,1,0,0
40,Buffalo Wild Wings,"859 blossom hill rd, san jose, ca, 95123, us",8.905154639175265,7.29,10.13124717426161,4.1,106,900+,5.99,16.29,,,,ca,95123,Santa Clara,2024-05-14,1,1,0,0
41,Applebee,"5690 cottle rd, san jose, ca, 95123, us",23.202389380530896,19.99,21.572250007754302,4.5,232,380+,16.29,18.79,17.49,,,ca,95123,Santa Clara,2024-05-14,1,1,0,0
42,TGI Fridays,"2795 tapo canyon rd, simi valley, ca, 93063, us",26.53350746268656,18.62,27.678161558346755,4.5,140,600+,2.79,16.09,,,,ca,93063,Ventura,2024-05-14,1,1,0,0
43,TGI Fridays,"31900 dyer st, union city, ca, 94587, us",26.54895522388067,18.62,27.66520105935817,4.4,840,900+,2.79,16.09,,,,ca,94587,Alameda,2024-05-14,1,1,0,0
44,Applebee,"1041 admiral callaghan lane, vallejo, ca, 94591, us",25.599243697478972,17.49,26.03337867642922,4.4,120,800+,16.29,16.69,15.39,,,ca,94591,Solano,2024-05-14,1,1,0,0
