,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Outback Steakhouse,"12001 harbor boulevard, garden grove, ca, 92840, us",19.119213483145984,15.99,13.97017852947614,4.4,198,56,4.99,9.49,15.99,,,ca,92840,Orange,2024-03-25,1,0,0,0
1,Red Robin,"12007 harbor blvd, garden grove, ca, 92840, us",12.546666666666656,11.99,7.861708183057647,4.7,363,70,3.59,8.39,,,,ca,92840,Orange,2024-03-25,1,0,0,0
2,Outback Steakhouse,"12400b amargosa road, victorville, ca, 92392, us",19.644639175257634,17.49,13.821088179953586,4.4,214,15,4.99,9.49,15.99,,,ca,92392,San Bernardino,2024-03-25,1,0,0,0
3,Red Robin,"14400 bear valley rd #405, victorville, ca, 92392, us",12.22719008264462,11.99,7.690813799446248,4.3,244,14,3.59,8.39,,,,ca,92392,San Bernardino,2024-03-25,1,0,0,0
4,Outback Steakhouse,"1246 great mall drive, milpitas, ca, 95035, us",20.614150943396098,18.49,14.309733517284883,4.2,295,31,4.99,15.99,,,,ca,95035,Santa Clara,2024-03-25,1,0,0,0
5,Denny,"333 s abbott ave, milpitas, ca, 95035, us",10.9859595959596,7.890000000000001,6.858930905766925,4.851162790697675,258,25,5.59,16.49,,,,ca,95035,Santa Clara,2024-03-25,1,0,0,0
6,Outback Steakhouse,"12850, norwalk, ca, 90650, us",19.80122448979578,17.49,13.836603944057462,4.7,324,28,4.99,9.49,15.99,,,ca,90650,Los Angeles,2024-03-25,1,0,0,0
7,Applebee,"12129 imperial hwy, norwalk, ca, 90650, us",13.469999999999926,13.79,7.576610625565274,4.5,424,26,,16.99,15.79,,,ca,90650,Los Angeles,2024-03-25,1,0,0,0
8,Outback Steakhouse,"1340 howe ave., sac ii, ca, 95825, us",19.453157894736687,15.99,13.885668891127153,4.5,416,35,4.99,9.49,15.99,,,ca,95825,Sacramento,2024-03-25,1,0,0,0
9,Buffalo Wild Wings,"2023 arden way, sacramento, ca, 95825, us",8.33508196721306,6.49,9.705550795813307,4.1,402,41,5.99,15.79,,,,ca,95825,Sacramento,2024-03-25,1,0,0,0
10,Applebee,"2024 arden way, sacramento, ca, 95825, us",13.583137254901908,14.940000000000001,7.583202021753721,4.1,412,26,,16.69,15.39,,,ca,95825,Sacramento,2024-03-25,1,0,0,0
11,Denny,"1322 howe ave., sacramento, ca, 95825, us",11.732000000000003,9.55,7.251138945020984,4.0,135,23,5.91,17.46,,,,ca,95825,Sacramento,2024-03-25,1,0,0,0
