,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,McDonald,"1 a gateway blvd e, savannah, ga, 31419, us",5.557153284671539,4.09,4.649371819888091,4.3,151,12,6.79,11.89,2.59,2.29,3.39,ga,31419,Chatham,2024-03-29,1,0,1,0
1,Burger King,"11711 abercorn st., savannah, ga, 31419, us",7.625189873417725,6.09,5.759805038182468,4.3,79,31,6.89,12.79,2.49,3.39,3.69,ga,31419,Chatham,2024-03-29,1,0,1,0
2,Sonic,"396 canebrake road, savannah, ga, 31419, us",4.243333333333334,3.89,1.9366867468838513,4.7,86,35,7.91,0.0,3.83,,0.0,ga,31419,Chatham,2024-03-29,1,0,1,0
3,McDonald,"1001 n 9th street, reading, pa, 19604, us",6.820000000000012,4.69,5.206265002436061,4.3,149,50+,7.99,13.29,3.89,3.59,5.19,pa,19604,Berks,2024-03-29,1,0,1,0
4,McDonald,"101 s expressway, brownsville, tx, 78520, us",5.46496402877698,4.39,3.326133359954539,4.3,144,23,5.51,8.3,3.07,3.21,3.89,tx,78520,Cameron,2024-03-29,1,0,1,0
5,McDonald,"1104 international blvd, brownsville, tx, 78520, us",5.554191176470595,4.62,3.342684188058845,0.0,142,6,5.51,8.3,2.73,2.39,3.89,tx,78520,Cameron,2024-03-29,1,0,1,0
6,McDonald,"1011 s lake dr, lexington, sc, 29073, us",5.585952380952384,3.79,4.095532637525184,0.0,150,6,6.19,11.09,2.69,2.39,3.99,sc,29073,Lexington,2024-03-29,1,0,1,0
7,Sonic,"1857 southlake drive, lexington, sc, 29073, us",5.174166666666668,5.17,2.9546473515839797,4.3,36,26,,,,,10.2,sc,29073,Lexington,2024-03-29,1,0,1,0
8,McDonald,"102 hwy 3 south, league city, tx, 77573, us",4.9715217391304405,3.89,3.642615102609566,4.6,152,14,5.89,9.99,1.99,1.79,2.79,tx,77573,Galveston,2024-03-29,1,0,1,0
9,McDonald,"113 n gulf fwy, league city, tx, 77573, us",5.135797101449273,3.79,3.983747200304459,4.6,152,60,5.41,9.23,1.94,1.77,2.89,tx,77573,Galveston,2024-03-29,1,0,1,0
10,Jack in the Box,"1503 w, league city, tx, 77573, us",7.223955223880595,6.49,3.570374163814892,4.6,134,17,5.19,10.63,3.76,3.37,4.28,tx,77573,Galveston,2024-03-29,1,0,1,0
11,Jack in the Box,"1665 west fm 646 road, league city, tx, 77573, us",7.4496153846153845,6.49,3.737507891187172,4.5,130,15,5.19,10.63,3.76,3.37,4.28,tx,77573,Galveston,2024-03-29,1,0,1,0
12,Wendy,"1750 west main, league city, tx, 77573, us",5.959322033898302,5.11,2.8688802897006958,4.4,97,18,6.94,0.0,3.04,2.67,0.0,tx,77573,Galveston,2024-03-29,1,0,1,0
13,Wendy,"2212 e main st, league city, tx, 77573, us",12.645000000000001,8.34,17.872576292558758,4.4,48,79,,2.89,,,,tx,77573,Galveston,2024-03-29,1,0,1,0
