,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,combo,cheeseburger,hamburger,fries,restaurant_rating first,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,McDonald,"1 christy dr, chadds ford, pa, 19317, us",5.516615384615381,3.61,4.646158637287393,4.3,145,90,6.59,11.69,3.09,2.49,3.99,,pa,19317,Chester,2024-05-16,1,1,1,0
1,McDonald,"100 brownswitch rd, slidell, la, 70458, us",4.788059701492535,4.07,4.223423220318833,4.0,134,360+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany,2024-05-16,1,1,1,0
2,McDonald,"3301 pontchartrain drive, slidell, la, 70458, us",4.927593984962404,4.07,4.420473582354569,4.2,133,460+,5.87,10.43,2.39,2.27,2.87,,la,70458,St. Tammany,2024-05-16,1,1,1,0
3,Wendy,"3915 pontchartrain, slidell, la, 70458, us",5.523137254901961,4.87,2.958956155501582,,83,170+,6.7,0.0,2.79,2.43,0.0,4.2,la,70458,St. Tammany,2024-05-16,1,1,1,0
4,Burger King,"185 gause blvd., slidell, la, 70458, us",7.343924050632911,5.39,5.966669961093158,4.1,79,260+,6.49,11.69,2.79,3.89,3.39,,la,70458,St. Tammany,2024-05-16,1,1,1,0
5,Sonic,"3225 pontchartrain dr, slidell, la, 70458, us",5.449473684210527,4.75,3.0420750772496175,3.7,87,23,9.38,0.0,4.75,,0.0,,la,70458,St. Tammany,2024-05-16,1,1,1,0
6,McDonald,"100 w parkwood ave, friendswood, tx, 77546, us",4.906496350364964,3.69,3.6570602830990175,4.6,152,1,5.59,8.89,1.79,2.39,3.19,,tx,77546,Galveston,2024-05-16,1,1,1,0
7,Wendy,"3101 fm 528, friendswood, tx, 77546, us",5.698490566037735,4.87,2.865926302378642,,86,250+,6.94,0.0,3.04,2.67,0.0,4.6,tx,77546,Galveston,2024-05-16,1,1,1,0
8,McDonald,"1000 commerce st, dallas, tx, 75202, us",4.806615384615384,3.99,2.961903897533621,4.4,146,4,5.89,11.19,2.79,2.19,4.09,,tx,75202,Dallas,2024-05-16,1,1,1,0
9,McDonald,"1001 n 9th street, reading, pa, 19604, us",6.607355371900836,4.69,4.840491705198033,4.1,143,2,7.99,13.29,3.89,3.59,5.19,,pa,19604,Berks,2024-05-16,1,1,1,0
