,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,fries,cheeseburger,hamburger,combo,specialty_item,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Outback Steakhouse,"100 buckwalter parkway, bluffton, sc, 29910, us",17.77769999999994,13.585,13.064541006480097,4.1,205,36,4.99,9.99,13.99,,,sc,29910,Beaufort,2024-03-25,1,0,0,0
1,Buffalo Wild Wings,"21, bluffton, sc, 29910, us",7.383877551020415,6.24,8.293064305601579,4.4,107,38,4.79,13.29,,,,sc,29910,Beaufort,2024-03-25,1,0,0,0
2,Outback Steakhouse,"100 n pointe blvd, lancaster, pa, 17601, us",16.612051282051283,12.34,12.913716555640418,3.5,80,23,4.99,9.99,14.99,,,pa,17601,Lancaster,2024-03-25,1,0,0,0
3,Buffalo Wild Wings,"2065 fruitville pike, lancaster, pa, 17601, us",7.841632653061232,6.49,9.02019126159021,4.4,107,50+,4.79,13.99,,,,pa,17601,Lancaster,2024-03-25,1,0,0,0
4,Outback Steakhouse,"10001 westheimer road # 1010, houston, tx, 77042, us",17.719054726368057,13.99,13.001316489099915,4.3,413,100+,4.99,9.99,14.99,,,tx,77042,Harris,2024-03-25,1,0,0,0
5,Outback Steakhouse,"10220 north michigan road, carmel, in, 46077, us",17.638349514563107,13.18,13.15980029779478,4.0,106,40,4.99,9.99,13.99,,,in,46077,Boone,2024-03-25,1,0,0,0
6,Outback Steakhouse,"10901 university avenue, clive, ia, 50325, us",17.526451612903223,12.99,13.613577397564782,4.4,95,39,4.99,9.99,14.99,,,ia,50325,Polk,2024-03-25,1,0,0,0
7,Outback Steakhouse,"1101 north i-35 east, desoto, tx, 75115, us",18.860107526881723,14.99,12.947827026942425,4.4,96,73,4.99,9.99,13.99,,,tx,75115,Dallas,2024-03-25,1,0,0,0
8,Outback Steakhouse,"1101 woodland road, wyomissing, pa, 19610, us",18.674945054945056,14.99,13.594076794621985,4.3,93,25,4.99,9.99,14.99,,,pa,19610,Berks,2024-03-25,1,0,0,0
9,Applebee,"1905 ridgewood road, wyomissing, pa, 19610, us",13.220769230769243,14.690000000000001,7.629523587847071,4.1,107,28,,15.59,14.99,,,pa,19610,Berks,2024-03-25,1,0,0,0
10,Outback Steakhouse,"1118 baltimore pike, springfield, usa, swarthmore, pa, 19064, us",18.565744680851,14.79,13.734806111246554,4.1,192,100+,4.99,9.99,14.99,,,pa,19064,Delaware,2024-03-25,1,0,0,0
11,Outback Steakhouse,"11196 abercorn street, savannah, ga, 31419, us",18.15148936170213,13.885,13.63611474876096,4.3,96,98,4.99,9.99,14.99,,,ga,31419,Chatham,2024-03-25,1,0,0,0
12,Outback Steakhouse,"1125 franklin road, lebanon, tn, 37087, us",17.744903846153843,13.99,12.855663373003559,4.1,107,58,4.99,9.99,13.99,,,tn,37087,Wilson,2024-03-25,1,0,0,0
13,Outback Steakhouse,"1151 west i-20, arlington, tx, 76017, us",17.96719999999993,13.99,12.969063118051361,4.4,206,87,4.99,9.99,13.99,,,tx,76017,Tarrant,2024-03-25,1,0,0,0
