,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,cheeseburger,specialty_item,combo,fries,hamburger,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Hardees,"1 gateway blvd s, savannah, ga, 31419-7551, us",8.857500000000007,7.485,7.239080216875873,4.2,67,10,5.74,7.99,0.0,3.24,,ga,31419,Chatham,2024-03-28,1,0,1,0
1,Hardees,"10 e clemmonsville rd, winston salem, nc, 27127, us",7.503617021276595,7.13,5.3418063824698265,4.9,75,16,5.19,7.61,0.0,2.77,,nc,27127,Forsyth,2024-03-28,1,0,1,0
2,Hardees,"3351 sides branch rd, winston salem, nc, 27127, us",7.503617021276598,7.13,5.341806382469828,0.0,76,2,5.19,7.61,0.0,2.77,,nc,27127,Forsyth,2024-03-28,1,0,1,0
3,Hardees,"10 hwy 17 n, surfside beach, sc, 29575, us",7.441702127659574,6.76,5.362601908628031,4.7,75,10,5.19,7.61,0.0,2.77,,sc,29575,Horry,2024-03-28,1,0,1,0
4,Hardees,"100 vandora springs rd., garner, nc, 27529, us",8.155185185185193,7.49,4.388303508390894,3.2000000000000006,82,10,5.36,6.61,10.99,,,nc,27529,Wake,2024-03-28,1,0,1,0
5,Hardees,"1000 acorn dr, nashville, tn, 37210, us",6.7797959183673475,6.06,5.292074354991514,4.2,79,42,5.07,7.13,0.0,2.77,,tn,37210,Davidson,2024-03-28,1,0,1,0
6,Hardees,"10005 dorchester rd., summerville, sc, 29485, us",9.31588235294119,8.73,5.934078360298184,4.0,69,33,6.31,7.3,11.52,3.46,,sc,29485,Dorchester,2024-03-28,1,0,1,0
7,Hardees,"101 village road ne, leland, nc, 28451, us",7.957236842105271,7.49,4.334243271135056,5.0,77,10,5.36,6.61,10.99,2.99,,nc,28451,Brunswick,2024-03-28,1,0,1,0
8,Hardees,"1097 highway 92, acworth, ga, 30102, us",7.817954545454546,6.885,6.171345653887172,4.5,71,31,6.16,7.13,0.0,3.38,,ga,30102,Cherokee,2024-03-28,1,0,1,0
9,Hardees,"11201 oscar rd., louisville, ky, 40241, us",9.970882352941182,9.64,6.188135168894754,4.5,69,10,6.59,6.59,10.79,2.89,,ky,40241,Jefferson,2024-03-28,1,0,1,0
10,Hardees,"120 veterans rd, columbia, sc, 29209, us",7.389761904761906,6.04,5.620165006938445,4.9,72,13,4.83,6.04,0.0,2.89,,sc,29209,Richland,2024-03-28,1,0,1,0
11,Hardees,"1213 woodruff rd, greenville, sc, 29607, us",7.463555555555556,6.76,5.483056388368144,3.6,146,14,4.83,7.61,0.0,2.89,,sc,29607,Greenville,2024-03-28,1,0,1,0
12,Hardees,"125 w maple st, cumming, ga, 30040, us",10.043275862068963,9.6,6.029802246408805,4.8,118,20,6.31,7.3,11.52,3.46,,ga,30040,Forsyth,2024-03-28,1,0,1,0
13,Hardees,"12872 70 business highway west, clayton, nc, 27520, us",8.155185185185193,7.49,4.388303508390895,0.0,82,5,5.36,6.61,10.99,,,nc,27520,Johnston,2024-03-28,1,0,1,0
14,Hardees,"1397 e main st, duncan, sc, 29334, us",7.463555555555559,6.76,5.48476319981316,0.0,73,10,5.07,7.61,0.0,2.77,,sc,29334,Spartanburg,2024-03-28,1,0,1,0
