,restaurant_name,restaurant_location,menu_item_price mean_non_zero,menu_item_price median_non_zero,menu_item_price std_non_zero,restaurant_rating mean,menu_item count,number_of_ratings first,specialty_item,fries,cheeseburger,hamburger,combo,state,zip,county_name,date,uber_eats,post_policy,fast_food,local
0,Wendy,"1001 main street, brownsville, tx, 78526, us",3.8641935483870964,2.99,2.1703229642130766,,31,,5.79,2.09,1.89,1.59,,tx,78526,Cameron,2024-05-14,0,1,1,0
1,Wendy,"101 east ridge road, griffith, in, 46319, us",4.981935483870966,3.89,2.9830190588588414,,31,,5.29,2.64,2.69,2.29,,in,46319,Lake,2024-05-14,0,1,1,0
2,Wendy,"101 gateway center lane, baton rouge, la, 70802, us",4.543225806451613,3.79,2.2211205935173646,,31,,5.69,2.54,2.49,2.19,,la,70802,East Baton Rouge,2024-05-14,0,1,1,0
3,Wendy,"1013 ridge pike, conshohocken, pa, 19428, us",4.734333333333334,3.565,2.623049984697627,,30,,6.59,2.74,2.29,1.89,,pa,19428,Montgomery,2024-05-14,0,1,1,0
4,Wendy,"10210 berkeley place drive, 120, charlotte, nc, 28262, us",3.9674193548387096,3.29,2.04303848311684,,31,,5.29,2.49,1.99,1.69,,nc,28262,Mecklenburg,2024-05-14,0,1,1,0
5,Wendy,"1025 ralph david abernathy rd, atlanta, ga, 30310, us",4.472142857142857,3.79,2.2828637359103796,,28,,5.69,2.59,2.39,1.99,,ga,30310,Fulton,2024-05-14,0,1,1,0
6,Wendy,"1031 assembly st, columbia, sc, 29201, us",4.1033333333333335,3.315,2.2193817958061106,,30,,5.29,2.54,1.79,1.49,,sc,29201,Richland,2024-05-14,0,1,1,0
7,Wendy,"804 assembly, columbia, sc, 29201, us",4.1033333333333335,3.315,2.2193817958061106,,30,,5.29,2.54,1.79,1.49,,sc,29201,Richland,2024-05-14,0,1,1,0
8,Wendy,"1037 chestnut st, philadelphia, pa, 19107, us",4.468333333333335,3.54,2.292948732285327,,30,,6.49,2.79,2.29,1.79,,pa,19107,Philadelphia,2024-05-14,0,1,1,0
9,Wendy,"1066 s. university ave., provo, ut, 84601, us",4.309999999999999,3.59,2.2073211516828866,,30,,5.39,2.39,2.19,1.79,,ut,84601,Utah,2024-05-14,0,1,1,0
10,Wendy,"1100 radisson street, green bay, wi, 54302, us",4.9174193548387075,3.79,3.0361222804032244,,31,,5.99,2.74,2.19,1.99,,wi,54302,Brown,2024-05-14,0,1,1,0
11,Wendy,"1105 n 400 west, layton, ut, 84041, us",4.496666666666665,3.59,2.2736070216483957,,30,,5.69,2.69,2.19,1.89,,ut,84041,Davis,2024-05-14,0,1,1,0
12,Wendy,"2011 north hillfield road, layton, ut, 84041, us",4.496666666666665,3.59,2.2736070216483957,,30,,5.69,2.69,2.19,1.89,,ut,84041,Davis,2024-05-14,0,1,1,0
13,Wendy,"737 n. main street, layton, ut, 84041, us",4.496666666666665,3.59,2.2736070216483957,,30,,5.69,2.69,2.19,1.89,,ut,84041,Davis,2024-05-14,0,1,1,0
