menu_item,menu_item_price,menu_item_calories,restaurant_address
Whopper,5.89,670,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Impossible™ Whopper,6.89,630,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Texas Double Whopper,7.69,"1,090","801 3rd Avenue West, Birmingham, AL, 35204, US"
Double Whopper,6.99,920,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Triple Whopper ,7.99,"1,170","801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon King,7.59,"1,200","801 3rd Avenue West, Birmingham, AL, 35204, US"
BBQ Bacon Whopper Jr.,3.49,390,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Whopper Jr.,2.99,330,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon Double Cheeseburger,3.49,440,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon Cheeseburger,2.69,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Double Cheeseburger,2.89,400,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Cheeseburger,2.29,290,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Rodeo Burger,2.19,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Hamburger,1.89,250,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Have-sies™,2.99,380,"801 3rd Avenue West, Birmingham, AL, 35204, US"
French Fries,2.99,370,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Onion Rings,2.99,360,"801 3rd Avenue West, Birmingham, AL, 35204, US"
12 Pc. Chicken Fries,4.99,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Chicken Fries,3.99,220,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Fiery Buffalo Nuggets	,2.99,510,"801 3rd Avenue West, Birmingham, AL, 35204, US"
4 Pc. Chicken Fries,1.99,110,"801 3rd Avenue West, Birmingham, AL, 35204, US"
16 Pc. Chicken Nuggets,3.99,770,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Chicken Nuggets,2.49,390,"801 3rd Avenue West, Birmingham, AL, 35204, US"
4 Pc. Chicken Nuggets,1.59,190,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Mozzarella Sticks,2.09,330,"801 3rd Avenue West, Birmingham, AL, 35204, US"
MOTTS Applesauce,1.59,50,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Whopper,5.39,670,"3949 Government Boulevard, Mobile, AL, 36693, US"
Impossible™ Whopper,6.39,630,"3949 Government Boulevard, Mobile, AL, 36693, US"
Texas Double Whopper,7.39,"1,090","3949 Government Boulevard, Mobile, AL, 36693, US"
Double Whopper,6.89,920,"3949 Government Boulevard, Mobile, AL, 36693, US"
Triple Whopper ,8.59,"1,170","3949 Government Boulevard, Mobile, AL, 36693, US"
Bacon King,7.59,"1,200","3949 Government Boulevard, Mobile, AL, 36693, US"
BBQ Bacon Whopper Jr.,4.19,390,"3949 Government Boulevard, Mobile, AL, 36693, US"
Whopper Jr.,3.19,330,"3949 Government Boulevard, Mobile, AL, 36693, US"
Bacon Double Cheeseburger,3.99,440,"3949 Government Boulevard, Mobile, AL, 36693, US"
Bacon Cheeseburger,2.99,340,"3949 Government Boulevard, Mobile, AL, 36693, US"
Double Cheeseburger,2.99,400,"3949 Government Boulevard, Mobile, AL, 36693, US"
Cheeseburger,2.29,290,"3949 Government Boulevard, Mobile, AL, 36693, US"
Rodeo Burger,2.29,340,"3949 Government Boulevard, Mobile, AL, 36693, US"
Hamburger,1.99,250,"3949 Government Boulevard, Mobile, AL, 36693, US"
