menu_item,menu_item_price,menu_item_calories,restaurant_address
5 Piece Hand-Breaded Chicken Tender Platter,5.89,670,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Mushroom &amp; Swiss,6.69,560,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Famous Star,5.89,670,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Super Star,7.89,950,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Frisco Burger,7.19,850,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Double Frisco Burger,9.19,1110,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Monster,9.19,1160,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Bacon Cheeseburger,7.69,740,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Double Bacon Cheeseburger,9.69,1020,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Mushroom &amp; Swiss,6.69,560,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Double Mushroom &amp; Swiss,8.69,790,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Big Cheeseburger,5.09,540,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
Double Big Cheeseburger,7.09,760,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US"
5 Piece Hand-Breaded Chicken Tender Platter,5.89,670,"161 Marietta Hwy, Canton, GA, 30114, US"
Mushroom &amp; Swiss,6.69,560,"161 Marietta Hwy, Canton, GA, 30114, US"
Famous Star,5.89,670,"161 Marietta Hwy, Canton, GA, 30114, US"
Super Star,7.89,950,"161 Marietta Hwy, Canton, GA, 30114, US"
Frisco Burger,7.19,850,"161 Marietta Hwy, Canton, GA, 30114, US"
Double Frisco Burger,9.19,1110,"161 Marietta Hwy, Canton, GA, 30114, US"
Monster,9.19,1160,"161 Marietta Hwy, Canton, GA, 30114, US"
Bacon Cheeseburger,7.69,740,"161 Marietta Hwy, Canton, GA, 30114, US"
Double Bacon Cheeseburger,9.69,1020,"161 Marietta Hwy, Canton, GA, 30114, US"
Mushroom &amp; Swiss,6.69,560,"161 Marietta Hwy, Canton, GA, 30114, US"
Double Mushroom &amp; Swiss,8.69,790,"161 Marietta Hwy, Canton, GA, 30114, US"
Big Cheeseburger,5.09,540,"161 Marietta Hwy, Canton, GA, 30114, US"
Double Big Cheeseburger,7.09,760,"161 Marietta Hwy, Canton, GA, 30114, US"
5 Piece Hand-Breaded Chicken Tender Platter,5.89,670,"1097 Highway 92, Acworth, GA, 30102, US"
Mushroom &amp; Swiss,6.69,560,"1097 Highway 92, Acworth, GA, 30102, US"
Famous Star,5.89,670,"1097 Highway 92, Acworth, GA, 30102, US"
Super Star,7.89,950,"1097 Highway 92, Acworth, GA, 30102, US"
Frisco Burger,7.19,850,"1097 Highway 92, Acworth, GA, 30102, US"
Double Frisco Burger,9.19,1110,"1097 Highway 92, Acworth, GA, 30102, US"
Monster,9.19,1160,"1097 Highway 92, Acworth, GA, 30102, US"
Bacon Cheeseburger,7.69,740,"1097 Highway 92, Acworth, GA, 30102, US"
Double Bacon Cheeseburger,9.69,1020,"1097 Highway 92, Acworth, GA, 30102, US"
Mushroom &amp; Swiss,6.69,560,"1097 Highway 92, Acworth, GA, 30102, US"
Double Mushroom &amp; Swiss,8.69,790,"1097 Highway 92, Acworth, GA, 30102, US"
Big Cheeseburger,5.09,540,"1097 Highway 92, Acworth, GA, 30102, US"
Double Big Cheeseburger,7.09,760,"1097 Highway 92, Acworth, GA, 30102, US"
5 Piece Hand-Breaded Chicken Tender Platter,5.89,670,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Mushroom &amp; Swiss,6.69,560,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Famous Star,5.89,670,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Super Star,7.89,950,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Frisco Burger,7.19,850,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Double Frisco Burger,9.19,1110,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Monster,9.19,1160,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Bacon Cheeseburger,7.69,740,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Double Bacon Cheeseburger,9.69,1020,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Mushroom &amp; Swiss,6.69,560,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Double Mushroom &amp; Swiss,8.69,790,"4850 Floyd Road SW, Mableton, GA, 30126, US"
Big Cheeseburger,5.09,540,"4850 Floyd Road SW, Mableton, GA, 30126, US"
