,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,McDonald,Hash Browns,3.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
1,McDonald,Sausage &amp; Egg McMuffin®,6.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
2,McDonald,Sausage Egg McMuffin® Meal,10.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
3,McDonald,"Sausage, Egg and Cheese McGriddles® Meal",11.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
4,McDonald,Bacon Egg Cheese Biscuit Meal,10.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
5,McDonald,Straw,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
6,McDonald,Medium Iced Coffee,3.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
7,McDonald,Medium French Vanilla Latte,4.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
8,McDonald,Spoons,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
9,McDonald,Knife,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
10,McDonald,Steak Egg Cheese Bagel Meal,12.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
11,McDonald,Fork,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
12,McDonald,Coffee Stirrer,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
13,McDonald,Big Breakfast® with Muffin &amp; Hotcakes,9.49,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
14,McDonald,Hotcakes and Sausage,7.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
15,McDonald,Hotcakes,6.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
16,McDonald,Big Breakfast® with Muffin,7.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
17,McDonald,Sausage McMuffin® Meal,8.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
18,McDonald,2 Sausage Burrito Meal,9.89,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
19,McDonald,Egg McMuffin® Meal,10.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
20,McDonald,Chicken McGriddles® Meal,8.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
21,McDonald,"Bacon, Egg &amp; Cheese McGriddles® Meal",10.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
22,McDonald,McChicken® Biscuit Meal,7.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
23,McDonald,Sausage Egg Cheese Biscuit Meal,9.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
24,McDonald,Sausage Egg Biscuit Meal,10.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
25,McDonald,Bacon Egg Cheese Bagel Meal,11.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
26,McDonald,Sausage Egg Cheese Bagel Meal,11.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
27,McDonald,Oatmeal,4.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
28,McDonald,Sausage,2.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
29,McDonald,Apple Slices,1.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
30,McDonald,Scrambled Eggs,2.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
31,McDonald,Round Egg,2.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
32,McDonald,Medium Caramel Frappé,4.98,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
33,McDonald,Medium Mocha Frappé,4.98,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
34,McDonald,Medium Iced Mocha,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
35,McDonald,Medium Iced French Vanilla Coffee,3.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
36,McDonald,Medium Iced Caramel Macchiato,4.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
37,McDonald,Medium Premium Roast Coffee,2.09,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
38,McDonald,Medium Iced Caramel Mocha,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
39,McDonald,Medium Iced French Vanilla Latte,4.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
40,McDonald,Medium Caramel Mocha,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
41,McDonald,Medium Vanilla Cappuccino,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
42,McDonald,Medium Iced Caramel Coffee,3.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
43,McDonald,Medium Iced Latte,4.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
44,McDonald,Medium Caramel Macchiato,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
45,McDonald,Medium Caramel Cappuccino,4.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,100+,0.5 mi
