,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Barney's Gourmet Hamburgers,Barney's Burger,15.35,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
1,Barney's Gourmet Hamburgers,Barney's Turkey Burger,15.35,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
2,Barney's Gourmet Hamburgers,Big Barney's Burger,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
3,Barney's Gourmet Hamburgers,Barney's Chicken,15.95,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
4,Barney's Gourmet Hamburgers,Garden Burger,14.58,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
5,Barney's Gourmet Hamburgers,Barney's Salmon,16.45,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
6,Barney's Gourmet Hamburgers,Beyond Burger,16.23,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
7,Barney's Gourmet Hamburgers,Chicken Tenders,10.45,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
8,Barney's Gourmet Hamburgers,Bowl Of Chili,9.85,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
9,Barney's Gourmet Hamburgers,Wedge Salad,9.85,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
10,Barney's Gourmet Hamburgers,Small Barney's Salad,9.35,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
11,Barney's Gourmet Hamburgers,Soup of the Day,8.25,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
12,Barney's Gourmet Hamburgers,Mediterranean Plate,12.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
13,Barney's Gourmet Hamburgers,Mixed Green Salad,8.75,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
14,Barney's Gourmet Hamburgers,Western,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
15,Barney's Gourmet Hamburgers,Bacon Cheese,18.43,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
16,Barney's Gourmet Hamburgers,Baja,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
17,Barney's Gourmet Hamburgers,Gastropub,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
18,Barney's Gourmet Hamburgers,Sunshine,17.05,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
19,Barney's Gourmet Hamburgers,Santa Fe,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
20,Barney's Gourmet Hamburgers,Moroccan,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
21,Barney's Gourmet Hamburgers,Voodoo,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
22,Barney's Gourmet Hamburgers,Chipotle,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
23,Barney's Gourmet Hamburgers,Maui Waui,17.88,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
24,Barney's Gourmet Hamburgers,Sushi,17.95,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
25,Barney's Gourmet Hamburgers,Greek,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
26,Barney's Gourmet Hamburgers,Alpine,18.43,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
27,Barney's Gourmet Hamburgers,Pesto,17.88,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
28,Barney's Gourmet Hamburgers,California,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
29,Barney's Gourmet Hamburgers,French,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
30,Barney's Gourmet Hamburgers,Guacamole,18.43,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
31,Barney's Gourmet Hamburgers,Caribbean,18.43,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
32,Barney's Gourmet Hamburgers,North Beach,18.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
33,Barney's Gourmet Hamburgers,Single Curly Fries,4.95,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
34,Barney's Gourmet Hamburgers,Single Steak Fries,4.68,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
35,Barney's Gourmet Hamburgers,Full Curly Fries,8.25,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
36,Barney's Gourmet Hamburgers,Single Skinny Fries,4.68,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
37,Barney's Gourmet Hamburgers,Full Steak Fries,7.65,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
38,Barney's Gourmet Hamburgers,Pickle Chips,6.88,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
39,Barney's Gourmet Hamburgers,Single Swt Potato Fries,5.78,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
40,Barney's Gourmet Hamburgers,Truffle Fries,8.75,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
41,Barney's Gourmet Hamburgers,Half Veggie Basket,7.98,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
42,Barney's Gourmet Hamburgers,Half Onions Rings,7.98,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
43,Barney's Gourmet Hamburgers,Full Veggie Basket,9.08,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
44,Barney's Gourmet Hamburgers,Full Onion Rings,9.08,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
45,Barney's Gourmet Hamburgers,Chili Cheese Fries,9.08,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
46,Barney's Gourmet Hamburgers,Full Swt Potato Fries,8.75,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
47,Barney's Gourmet Hamburgers,Full Skinny Fries,7.98,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
48,Barney's Gourmet Hamburgers,Beach Body,17.88,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
49,Barney's Gourmet Hamburgers,Cobb Chx Salad,18.15,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
50,Barney's Gourmet Hamburgers,Chicken Caesar Salad,18.10,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
51,Barney's Gourmet Hamburgers,BBQ Chicken Salad,18.15,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
52,Barney's Gourmet Hamburgers,Chinese Salad,18.15,"5819 College Ave, Oakland, CA, 94618, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.6 ,500+,3.1 mi
