,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Outback Steakhouse,Include Fork,0.00,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
1,Outback Steakhouse,Include Knife,0.00,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
2,Outback Steakhouse,Include Napkin,0.00,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
3,Outback Steakhouse,Include Spoon,0.00,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
4,Outback Steakhouse,Include Straw,0.00,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
5,Outback Steakhouse,NEW! Garlic Parm Chicken Bites,11.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
6,Outback Steakhouse,NEW! BBQ Chicken Bites,11.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
7,Outback Steakhouse,NEW! Filet* &amp; Lobster Mac,43.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
8,Outback Steakhouse,NEW! Sirloin* &amp; Lobster Mac,36.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
9,Outback Steakhouse,NEW! Bone-In Ribeye* w/ Aussie Cab Onion &amp; Seasoned Butter,47.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
10,Outback Steakhouse,Add Lobster Mac,13.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
11,Outback Steakhouse,Add Cabernet Onion &amp; Seasoned Butter,3.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
12,Outback Steakhouse,Blue Cheese Pecan Chopped Side Salad**,8.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
13,Outback Steakhouse,Tim Tam® Brownie Cake**,12.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
14,Outback Steakhouse,Bloomin' Onion®,12.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
15,Outback Steakhouse,Kookaburra Wings®,18.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
16,Outback Steakhouse,Aussie Cheese Fries,14.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
17,Outback Steakhouse,Bloomin' Fried Shrimp,17.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
18,Outback Steakhouse,Gold Coast Coconut Shrimp**,17.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
19,Outback Steakhouse,Sydney Shrooms,11.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
20,Outback Steakhouse,Steakhouse Mac &amp; Cheese Bites,10.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
21,Outback Steakhouse,Seared Pepper Ahi*,21.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
22,Outback Steakhouse,Grilled Shrimp on the Barbie,17.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
23,Outback Steakhouse,Outback Center-Cut Sirloin*,21.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
24,Outback Steakhouse,Ribeye* 13 oz.,35.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
25,Outback Steakhouse,Victoria's Filet® Mignon*,33.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
26,Outback Steakhouse,Bone-In Ribeye* 18 oz.,43.49,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
27,Outback Steakhouse,New! Filet* Sheila,37.99,"177, San Marcos, CA, 92069, US","300 North Coast Hwy, Oceanside, CA 92054",4.4 ,800+,13.1 mi
