,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Hardees,Cinnamon Roll,3.38,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
1,Hardees,Natural-Cut French Fries,3.38,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
2,Hardees,Philly Cheesesteak Angus Burger,9.43,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
3,Hardees,Double Mushroom &amp; Swiss,10.51,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
4,Hardees,Simply Orange®,3.50,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
5,Hardees,Philly Cheesesteak Angus Burger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
6,Hardees,Nashville Hot Hand-Breaded Chicken Sandwich Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
7,Hardees,Frisco Burger,8.70,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
8,Hardees,2 for $5 Tender Wraps,6.06,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
9,Hardees,2 for $6 Panko-Breaded Fish Sandwich,7.26,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
10,Hardees,Double Frisco Burger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
11,Hardees,Frisco Burger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
12,Hardees,Mushroom &amp; Swiss Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
13,Hardees,Super Star Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
14,Hardees,Double Mushroom &amp; Swiss Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
15,Hardees,Monster Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
16,Hardees,Bacon Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
17,Hardees,Famous Star Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
18,Hardees,Big Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
19,Hardees,Double Bacon Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
20,Hardees,Double Big Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
21,Hardees,Big Hot Ham 'N' Cheese™ Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
22,Hardees,5 Piece - Hand-Breaded Chicken Tenders™ Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
23,Hardees,3 Piece - Hand-Breaded Chicken Tenders™ Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
24,Hardees,Hand-Breaded Chicken Sandwich Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
25,Hardees,BLT Hand-Breaded Chicken Sandwich Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
26,Hardees,Two Tender Wraps Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
27,Hardees,Panko-Breaded Fish Sandwich Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
28,Hardees,Super Star,9.55,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
29,Hardees,Monster,11.12,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
30,Hardees,Double Frisco Burger,11.12,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
31,Hardees,Mushroom &amp; Swiss,8.09,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
32,Hardees,Big Cheeseburger,6.16,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
33,Hardees,Famous Star,7.13,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
34,Hardees,Double Bacon Cheeseburger,11.72,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
35,Hardees,Bacon Cheeseburger,9.30,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
36,Hardees,Double Big Cheeseburger,8.58,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
37,Hardees,Double Cheeseburger,3.62,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
38,Hardees,Bacon Double Cheeseburger,3.62,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
39,Hardees,Bacon Double Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
40,Hardees,Double Cheeseburger Combo,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
41,Hardees,Nashville Hot Hand-Breaded Chicken Sandwich,7.85,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
42,Hardees,3 Piece Nashville Hot Hand-Breaded Chicken Tenders,6.76,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
43,Hardees,5 Piece - Hand-Breaded Chicken Tenders™,9.06,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
44,Hardees,3 Piece - Hand-Breaded Chicken Tenders™,6.64,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
45,Hardees,5 Piece Nashville Hot Hand-Breaded Chicken Tenders,9.43,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
46,Hardees,Hand-Breaded Chicken Sandwich,7.01,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
47,Hardees,10 Piece Nashville Hot Hand-Breaded Chicken Tenders,15.48,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
48,Hardees,15 Piece Nashville Hot Hand-Breaded Chicken Tenders,22.37,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
49,Hardees,BLT Hand-Breaded Chicken Sandwich,8.09,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
50,Hardees,15 Piece - Hand-Breaded Chicken Tenders™ Box,23.58,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
51,Hardees,10 Piece - Hand-Breaded Chicken Tenders™ Box,15.11,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
52,Hardees,20 Piece - Hand-Breaded Chicken Tenders™ Box,32.66,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
53,Hardees,Ranch Tender Wrap,3.38,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
54,Hardees,Honey Mustard Tender Wrap,3.38,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
55,Hardees,Spicy Tender Wrap,3.38,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
56,Hardees,Panko-Breaded Fish Sandwich,3.98,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
57,Hardees,Apple Turnover,1.44,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
58,Hardees,2 For $2 Apple Turnovers,0.00,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
59,Hardees,Hand-Scooped Ice Cream Shake™,5.19,"6671 Roswell Rd NE, Sandy Springs, GA, 30328, US","38 Hill St, Roswell, GA 30075",4.7 ,66,6 mi
