,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,BJ,Brewhouse Sampler,20.95,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
1,BJ,Bone-In Wings,19.45,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
2,BJ,Boneless Wings,17.75,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
3,BJ,BJ's Original Wings,19.45,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
4,BJ,Avocado Egg Rolls,17.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
5,BJ,Fried Couscous Mac &amp; Cheese Balls,10.75,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
6,BJ,Garlic Shrimp With Parmesan Toast Appetizer,17.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
7,BJ,Mozzarella Sticks,16.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
8,BJ,Deep Dish Nachos,18.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
9,BJ,Sliders*,17.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
10,BJ,Sliders With Fries*,18.95,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
11,BJ,Crispy Calamari,19.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
12,BJ,Chicken Pot Stickers,18.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
13,BJ,Ahi Poke*,18.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
14,BJ,BBQ Tri-Tip Sliders*,18.25,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
15,BJ,BBQ Tri-Tip Sliders With Fries*,19.95,"1140 El Camino Real, San Bruno, CA, 94066, US","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102",4.3 ,1,9.9 mi
