,menu_item,price,calories,address
0,Pretzel Baconator®,8.99,"1,050","371 S Greeno Road, Fairhope, AL, 36532, US"
1,Dave's Single®,5.39,590,"371 S Greeno Road, Fairhope, AL, 36532, US"
2,Dave's Double®,6.69,860,"371 S Greeno Road, Fairhope, AL, 36532, US"
3,Dave's Triple®,7.99,"1,160","371 S Greeno Road, Fairhope, AL, 36532, US"
4,Baconator®,7.99,960,"371 S Greeno Road, Fairhope, AL, 36532, US"
5,Son of Baconator®,5.69,630,"371 S Greeno Road, Fairhope, AL, 36532, US"
6,Big Bacon Classic®,6.59,650,"371 S Greeno Road, Fairhope, AL, 36532, US"
7,Big Bacon Classic® Double,7.79,920,"371 S Greeno Road, Fairhope, AL, 36532, US"
8,Big Bacon Classic Triple,8.99,"1,220","371 S Greeno Road, Fairhope, AL, 36532, US"
9,Bacon Double Stack,4.19,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
10,Jr. Bacon Cheeseburger,3.59,370,"371 S Greeno Road, Fairhope, AL, 36532, US"
11,Jr. Cheeseburger Deluxe,2.59,350,"371 S Greeno Road, Fairhope, AL, 36532, US"
12,Jr. Cheeseburger,2.39,290,"371 S Greeno Road, Fairhope, AL, 36532, US"
13,Double Stack™,3.59,410,"371 S Greeno Road, Fairhope, AL, 36532, US"
14,Jr. Hamburger,2.19,250,"371 S Greeno Road, Fairhope, AL, 36532, US"
15,French Fries,1.19-3.39,210-470,"371 S Greeno Road, Fairhope, AL, 36532, US"
16,Baconator Fries,3.59,460,"371 S Greeno Road, Fairhope, AL, 36532, US"
17,Chili Cheese Fries,3.59,520,"371 S Greeno Road, Fairhope, AL, 36532, US"
18,Cheese Fries,3.29,470,"371 S Greeno Road, Fairhope, AL, 36532, US"
19,Chili,2.79/3.59,240/340,"371 S Greeno Road, Fairhope, AL, 36532, US"
20,Sour Cream and Chive Baked Potato,2.69,310,"371 S Greeno Road, Fairhope, AL, 36532, US"
21,Plain Baked Potato,2.49,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
22,Bacon Cheese Baked Potato,3.99,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
23,Chili & Cheese Baked Potato,3.99,500,"371 S Greeno Road, Fairhope, AL, 36532, US"
24,Cheese Baked Potato,3.49,450,"371 S Greeno Road, Fairhope, AL, 36532, US"
25,Apple Bites,0.99,35,"371 S Greeno Road, Fairhope, AL, 36532, US"
26,6 PC. Crispy Chicken Nuggets,3.19,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
27,4 PC. Crispy Chicken Nuggets,2.39,180,"371 S Greeno Road, Fairhope, AL, 36532, US"
28,6 PC. Spicy Chicken Nuggets,3.19,280,"371 S Greeno Road, Fairhope, AL, 36532, US"
29,4 PC. Spicy Chicken Nuggets,2.39,190,"371 S Greeno Road, Fairhope, AL, 36532, US"
30,Pretzel Baconator®,8.99,"1,050","30500 State Hwy 181, Spanish Fort, AL, 36527, US"
31,Dave's Single®,5.39,590,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
32,Dave's Double®,6.69,860,"30500 State Hwy 181, Spanish Fort, AL, 36527, US"
