restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,restaurant_distance
McDonald,Medium French Fries,4.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Big Mac®,6.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,10 pc. Chicken McNuggets®,6.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Filet-O-Fish®,6.49,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,2 Cheeseburger Meal,10.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,McChicken®,5.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Double Cheeseburger,5.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Cheeseburger,3.49,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,20 pc. Chicken McNuggets®,8.49,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,10 pc. Chicken McNuggets® Meal,12.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Big Mac® Meal,12.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Double Quarter Pounder® with Cheese Meal,13.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Coke®,2.30,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Straw,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,40 pc. Chicken McNuggets®,16.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,McCrispy™,6.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,McCrispy™ Meal,11.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Spoons,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Fork,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Knife,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Coffee Stirrer,0.00,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Shamrock Shake®,5.63,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,OREO® McFlurry®,5.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Filet-O-Fish® Meal,12.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Quarter Pounder® with Cheese Deluxe Meal,12.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Quarter Pounder® with Cheese Meal,12.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Double Quarter Pounder® with Cheese Deluxe Meal,14.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Deluxe McCrispy™ Meal,12.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Deluxe Spicy McCrispy™ Meal,12.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Spicy McCrispy™ Meal,11.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Double Bacon Quarter Pounder® with Cheese Meal,14.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Bacon Quarter Pounder® with Cheese Meal,13.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,6 pc. Chicken McNuggets®,5.89,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,4 pc. Chicken McNuggets®,4.09,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,6 pc. Chicken McNuggets® Meal,11.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,6 pc. Spicy Chicken McNuggets®,5.59,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,6 pc. Spicy Chicken McNuggets® Meal,11.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,10 pc. Spicy Chicken McNuggets®,6.49,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,10 pc. Spicy Chicken McNuggets® Meal,12.09,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,20 pc. Spicy Chicken McNuggets®,8.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,40 pc. Spicy Chicken McNuggets®,16.79,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Classic Big Mac® Pack,26.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Classic Cheeseburger Pack,20.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,13 Cookie Tote,9.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,40 pc. Chicken McNuggets® &amp; 2 Large Fries,23.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,40 pc. Spicy Chicken McNuggets® &amp; 2 Large Fries,23.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Spicy McNugget® Classic Cheeseburger Pack,20.99,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Spicy McNugget® Classic Big Mac® Pack,26.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,6 pc. Chicken McNuggets® Happy Meal®,8.19,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Hamburger Happy Meal®,7.09,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,4 pc. Chicken McNugget® Happy Meal®,7.29,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Cheeseburger Happy Meal®,7.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,4 pc. Chicken McNuggets® Happy Meal®,7.69,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Caramel Frappé,4.98,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Iced Coffee,3.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Mocha Frappé,4.98,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Iced Hazelnut Coffee,3.39,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
McDonald,Medium Premium Roast Coffee,2.09,"1330 JACKSON ST, Oakland, CA, 94612, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.5 ,0.5 mi
