search_location,restaurant_name,item,price,restaurant_address
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Medium French Fries,4.69,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Big Mac®,6.79,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,10 pc. Chicken McNuggets®,6.69,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,2 Cheeseburger Meal,10.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Filet-O-Fish®,6.39,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,McChicken®,5.29,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Cheeseburger,3.29,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,20 pc. Chicken McNuggets®,8.49,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Big Mac® Meal,12.59,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Double Quarter Pounder® with Cheese Meal,13.29,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,10 pc. Chicken McNuggets® Meal,12.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,40 pc. Chicken McNuggets®,16.79,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,McCrispy™,6.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,McCrispy™ Meal,11.79,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Straw,0.00,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Coffee Stirrer,0.00,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Knife,0.00,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Fork,0.00,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Spoons,0.00,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Quarter Pounder® with Cheese Meal,12.39,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Filet-O-Fish® Meal,11.99,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Deluxe McCrispy™ Meal,12.59,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Quarter Pounder® with Cheese Deluxe Meal,12.29,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Deluxe Spicy McCrispy™ Meal,12.69,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Double Quarter Pounder® with Cheese Deluxe Meal,14.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Double Bacon Quarter Pounder® with Cheese Meal,14.69,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Bacon Quarter Pounder® with Cheese Meal,13.69,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,Spicy McCrispy™ Meal,11.99,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,6 pc. Chicken McNuggets®,5.89,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,4 pc. Chicken McNuggets®,4.09,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,6 pc. Chicken McNuggets® Meal,11.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,6 pc. Spicy Chicken McNuggets®,5.59,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,6 pc. Spicy Chicken McNuggets® Meal,11.19,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,10 pc. Spicy Chicken McNuggets®,6.49,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,10 pc. Spicy Chicken McNuggets® Meal,12.09,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,20 pc. Spicy Chicken McNuggets®,8.39,"1330 JACKSON ST, Oakland, CA 94612, US"
"1 Frank H. Ogawa Plaza, Oakland, CA 94612",McDonald,40 pc. Spicy Chicken McNuggets®,16.79,"1330 JACKSON ST, Oakland, CA 94612, US"
