menu_item,menu_item_price,menu_item_calories,restaurant_address
Classic Texas Toast Melt,4.99,600,"659 Government St, Mobile, AL, 36602, US"
Bacon Texas Toast Melt,5.49,640,"659 Government St, Mobile, AL, 36602, US"
Spicy Texas Toast Melt,5.49,710,"659 Government St, Mobile, AL, 36602, US"
Whopper,5.49,670,"659 Government St, Mobile, AL, 36602, US"
Impossible™ Whopper,6.49,630,"659 Government St, Mobile, AL, 36602, US"
Texas Double Whopper,7.49,"1,090","659 Government St, Mobile, AL, 36602, US"
Double Whopper,6.99,920,"659 Government St, Mobile, AL, 36602, US"
Triple Whopper ,8.79,"1,170","659 Government St, Mobile, AL, 36602, US"
Bacon King,7.69,"1,200","659 Government St, Mobile, AL, 36602, US"
BBQ Bacon Whopper Jr.,4.19,390,"659 Government St, Mobile, AL, 36602, US"
Whopper Jr.,3.19,330,"659 Government St, Mobile, AL, 36602, US"
Bacon Double Cheeseburger,3.99,440,"659 Government St, Mobile, AL, 36602, US"
Bacon Cheeseburger,2.99,340,"659 Government St, Mobile, AL, 36602, US"
Double Cheeseburger,2.99,400,"659 Government St, Mobile, AL, 36602, US"
Cheeseburger,2.29,290,"659 Government St, Mobile, AL, 36602, US"
Rodeo Burger,2.29,340,"659 Government St, Mobile, AL, 36602, US"
Hamburger,1.99,250,"659 Government St, Mobile, AL, 36602, US"
Cheesy Tots,1.49,170,"659 Government St, Mobile, AL, 36602, US"
Have-sies™,2.79,380,"659 Government St, Mobile, AL, 36602, US"
French Fries,2.79,370,"659 Government St, Mobile, AL, 36602, US"
Onion Rings,2.79,360,"659 Government St, Mobile, AL, 36602, US"
12 Pc. Chicken Fries,4.99,340,"659 Government St, Mobile, AL, 36602, US"
8 Pc. Chicken Fries,3.99,220,"659 Government St, Mobile, AL, 36602, US"
8 Pc. Fiery Buffalo Nuggets	,2.99,510,"659 Government St, Mobile, AL, 36602, US"
4 Pc. Chicken Fries,1.99,110,"659 Government St, Mobile, AL, 36602, US"
16 Pc. Chicken Nuggets,3.99,770,"659 Government St, Mobile, AL, 36602, US"
8 Pc. Chicken Nuggets,2.49,390,"659 Government St, Mobile, AL, 36602, US"
4 Pc. Chicken Nuggets,1.79,190,"659 Government St, Mobile, AL, 36602, US"
Mozzarella Sticks,1.99,330,"659 Government St, Mobile, AL, 36602, US"
MOTTS Applesauce,1.69,50,"659 Government St, Mobile, AL, 36602, US"
Whopper,5.89,670,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Impossible™ Whopper,6.89,630,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Texas Double Whopper,7.69,"1,090","1524 6th Avenue S, Birmingham, AL, 35233, US"
Double Whopper,6.99,920,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Triple Whopper ,7.99,"1,170","1524 6th Avenue S, Birmingham, AL, 35233, US"
Bacon King,7.59,"1,200","1524 6th Avenue S, Birmingham, AL, 35233, US"
BBQ Bacon Whopper Jr.,3.49,390,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Whopper Jr.,2.99,330,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Bacon Double Cheeseburger,3.49,440,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Bacon Cheeseburger,2.69,340,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Double Cheeseburger,2.89,400,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Cheeseburger,2.29,290,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Rodeo Burger,2.19,340,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Hamburger,1.89,250,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Cheesy Tots,1.49,170,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Have-sies™,2.99,380,"1524 6th Avenue S, Birmingham, AL, 35233, US"
French Fries,2.99,370,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Onion Rings,2.99,360,"1524 6th Avenue S, Birmingham, AL, 35233, US"
12 Pc. Chicken Fries,4.99,340,"1524 6th Avenue S, Birmingham, AL, 35233, US"
8 Pc. Chicken Fries,3.99,220,"1524 6th Avenue S, Birmingham, AL, 35233, US"
8 Pc. Fiery Buffalo Nuggets	,2.99,510,"1524 6th Avenue S, Birmingham, AL, 35233, US"
4 Pc. Chicken Fries,1.99,110,"1524 6th Avenue S, Birmingham, AL, 35233, US"
16 Pc. Chicken Nuggets,3.99,770,"1524 6th Avenue S, Birmingham, AL, 35233, US"
8 Pc. Chicken Nuggets,2.49,390,"1524 6th Avenue S, Birmingham, AL, 35233, US"
4 Pc. Chicken Nuggets,1.59,190,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Mozzarella Sticks,2.09,330,"1524 6th Avenue S, Birmingham, AL, 35233, US"
MOTTS Applesauce,1.59,50,"1524 6th Avenue S, Birmingham, AL, 35233, US"
Whopper,5.89,670,"2700 University Blvd, Birmingham, AL, 35233, US"
Impossible™ Whopper,6.89,630,"2700 University Blvd, Birmingham, AL, 35233, US"
Texas Double Whopper,7.69,"1,090","2700 University Blvd, Birmingham, AL, 35233, US"
Double Whopper,6.99,920,"2700 University Blvd, Birmingham, AL, 35233, US"
Triple Whopper ,7.99,"1,170","2700 University Blvd, Birmingham, AL, 35233, US"
Bacon King,7.59,"1,200","2700 University Blvd, Birmingham, AL, 35233, US"
BBQ Bacon Whopper Jr.,3.49,390,"2700 University Blvd, Birmingham, AL, 35233, US"
Whopper Jr.,2.99,330,"2700 University Blvd, Birmingham, AL, 35233, US"
Bacon Double Cheeseburger,3.49,440,"2700 University Blvd, Birmingham, AL, 35233, US"
Bacon Cheeseburger,2.69,340,"2700 University Blvd, Birmingham, AL, 35233, US"
Double Cheeseburger,2.89,400,"2700 University Blvd, Birmingham, AL, 35233, US"
Cheeseburger,2.29,290,"2700 University Blvd, Birmingham, AL, 35233, US"
Rodeo Burger,2.19,340,"2700 University Blvd, Birmingham, AL, 35233, US"
Hamburger,1.89,250,"2700 University Blvd, Birmingham, AL, 35233, US"
Cheesy Tots,1.49,170,"2700 University Blvd, Birmingham, AL, 35233, US"
Have-sies™,2.99,380,"2700 University Blvd, Birmingham, AL, 35233, US"
French Fries,2.99,370,"2700 University Blvd, Birmingham, AL, 35233, US"
Onion Rings,2.99,360,"2700 University Blvd, Birmingham, AL, 35233, US"
12 Pc. Chicken Fries,4.99,340,"2700 University Blvd, Birmingham, AL, 35233, US"
8 Pc. Chicken Fries,3.99,220,"2700 University Blvd, Birmingham, AL, 35233, US"
8 Pc. Fiery Buffalo Nuggets	,2.99,510,"2700 University Blvd, Birmingham, AL, 35233, US"
4 Pc. Chicken Fries,1.99,110,"2700 University Blvd, Birmingham, AL, 35233, US"
16 Pc. Chicken Nuggets,3.99,770,"2700 University Blvd, Birmingham, AL, 35233, US"
8 Pc. Chicken Nuggets,2.49,390,"2700 University Blvd, Birmingham, AL, 35233, US"
4 Pc. Chicken Nuggets,1.59,190,"2700 University Blvd, Birmingham, AL, 35233, US"
Mozzarella Sticks,2.09,330,"2700 University Blvd, Birmingham, AL, 35233, US"
MOTTS Applesauce,1.59,50,"2700 University Blvd, Birmingham, AL, 35233, US"
Whopper,5.89,670,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Impossible™ Whopper,6.89,630,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Texas Double Whopper,7.69,"1,090","801 3rd Avenue West, Birmingham, AL, 35204, US"
Double Whopper,6.99,920,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Triple Whopper ,7.99,"1,170","801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon King,7.59,"1,200","801 3rd Avenue West, Birmingham, AL, 35204, US"
BBQ Bacon Whopper Jr.,3.49,390,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Whopper Jr.,2.99,330,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon Double Cheeseburger,3.49,440,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Bacon Cheeseburger,2.69,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Double Cheeseburger,2.89,400,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Cheeseburger,2.29,290,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Rodeo Burger,2.19,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Hamburger,1.89,250,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Cheesy Tots,1.49,170,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Have-sies™,2.99,380,"801 3rd Avenue West, Birmingham, AL, 35204, US"
French Fries,2.99,370,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Onion Rings,2.99,360,"801 3rd Avenue West, Birmingham, AL, 35204, US"
12 Pc. Chicken Fries,4.99,340,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Chicken Fries,3.99,220,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Fiery Buffalo Nuggets	,2.99,510,"801 3rd Avenue West, Birmingham, AL, 35204, US"
4 Pc. Chicken Fries,1.99,110,"801 3rd Avenue West, Birmingham, AL, 35204, US"
16 Pc. Chicken Nuggets,3.99,770,"801 3rd Avenue West, Birmingham, AL, 35204, US"
8 Pc. Chicken Nuggets,2.49,390,"801 3rd Avenue West, Birmingham, AL, 35204, US"
4 Pc. Chicken Nuggets,1.59,190,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Mozzarella Sticks,2.09,330,"801 3rd Avenue West, Birmingham, AL, 35204, US"
MOTTS Applesauce,1.59,50,"801 3rd Avenue West, Birmingham, AL, 35204, US"
Whopper,5.89,670,"2116 Whitesburg Drive, Huntsville, AL, 35801, US"
Impossible™ Whopper,6.89,630,"2116 Whitesburg Drive, Huntsville, AL, 35801, US"
Texas Double Whopper,7.59,"1,090","2116 Whitesburg Drive, Huntsville, AL, 35801, US"
Double Whopper,7.19,920,"2116 Whitesburg Drive, Huntsville, AL, 35801, US"
Triple Whopper ,8.19,"1,170","2116 Whitesburg Drive, Huntsville, AL, 35801, US"
Bacon King,7.59,"1,200","2116 Whitesburg Drive, Huntsville, AL, 35801, US"
