menu_item,menu_item_price,menu_item_calories,restaurant_address
Double Spicy Western Bacon Cheeseburger®,7.99,1060,"1700 W State St, Boise, ID, 83702, US"
Spicy Western Bacon Angus Cheeseburger® Combo,3.19,270,"1700 W State St, Boise, ID, 83702, US"
Double Take – Pick Two w/Free Drink,5.99,810,"1700 W State St, Boise, ID, 83702, US"
Double Spicy Western Bacon Cheeseburger®,7.99,1060,"1700 W State St, Boise, ID, 83702, US"
Angus Spicy Western Bacon Cheeseburger®,7.89,940,"1700 W State St, Boise, ID, 83702, US"
Single Famous Star®,5.49,670,"1700 W State St, Boise, ID, 83702, US"
Double Famous Star®,6.99,920,"1700 W State St, Boise, ID, 83702, US"
Angus Famous Star®,7.99,830,"1700 W State St, Boise, ID, 83702, US"
Single Western Bacon Cheeseburger®,5.99,760,"1700 W State St, Boise, ID, 83702, US"
Double Western Bacon Cheeseburger®,7.99,1020,"1700 W State St, Boise, ID, 83702, US"
Angus Western Bacon Cheeseburger®,7.99,880,"1700 W State St, Boise, ID, 83702, US"
Single Big Carl®,4.99,670,"1700 W State St, Boise, ID, 83702, US"
Double Big Carl®,6.99,920,"1700 W State St, Boise, ID, 83702, US"
Angus Big Carl®,8.99,770,"1700 W State St, Boise, ID, 83702, US"
Single Guacamole Bacon Burger,6.99,870,"1700 W State St, Boise, ID, 83702, US"
Double Guacamole Bacon Burger,7.99,1130,"1700 W State St, Boise, ID, 83702, US"
Angus Guacamole Bacon Burger,8.99,960,"1700 W State St, Boise, ID, 83702, US"
Single El Diablo,7.99,950,"1700 W State St, Boise, ID, 83702, US"
Double El Diablo,9.99,1210,"1700 W State St, Boise, ID, 83702, US"
Angus El Diablo,9.99,1050,"1700 W State St, Boise, ID, 83702, US"
California Classic Double Cheeseburger,3.99,560,"1700 W State St, Boise, ID, 83702, US"
Big Hamburger,3.99,480,"1700 W State St, Boise, ID, 83702, US"
Double Spicy Western Bacon Cheeseburger®,7.99,1060,"493 N Milwaukee St, Boise, ID, 83704, US"
Spicy Western Bacon Angus Cheeseburger® Combo,3.19,270,"493 N Milwaukee St, Boise, ID, 83704, US"
Double Take – Pick Two w/Free Drink,5.99,810,"493 N Milwaukee St, Boise, ID, 83704, US"
Double Spicy Western Bacon Cheeseburger®,7.99,1060,"493 N Milwaukee St, Boise, ID, 83704, US"
Angus Spicy Western Bacon Cheeseburger®,7.89,940,"493 N Milwaukee St, Boise, ID, 83704, US"
Single Famous Star®,5.49,670,"493 N Milwaukee St, Boise, ID, 83704, US"
Double Famous Star®,6.99,920,"493 N Milwaukee St, Boise, ID, 83704, US"
Angus Famous Star®,7.99,830,"493 N Milwaukee St, Boise, ID, 83704, US"
Single Western Bacon Cheeseburger®,5.99,760,"493 N Milwaukee St, Boise, ID, 83704, US"
Double Western Bacon Cheeseburger®,7.99,1020,"493 N Milwaukee St, Boise, ID, 83704, US"
Angus Western Bacon Cheeseburger®,7.99,880,"493 N Milwaukee St, Boise, ID, 83704, US"
Single Big Carl®,4.99,670,"493 N Milwaukee St, Boise, ID, 83704, US"
Double Big Carl®,6.99,920,"493 N Milwaukee St, Boise, ID, 83704, US"
Angus Big Carl®,8.99,770,"493 N Milwaukee St, Boise, ID, 83704, US"
