menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Classic Melt,$4.99,600 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Bacon Melt,$5.59,650 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Philly Melt,$5.49,590 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Whopper,$5.59,670 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Impossible™ Whopper,$6.59,630 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Double Whopper,$6.79,920 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Triple Whopper,$7.99,"1,170 cal","3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Bacon King,$7.69,"1,200 cal","3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
BBQ Bacon Whopper Jr.,$3.99,390 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Whopper Jr.,$3.39,330 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Bacon Double Cheeseburger,$3.89,440 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Bacon Cheeseburger,$2.69,340 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Double Cheeseburger,$3.29,400 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Cheeseburger,$2.19,290 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Rodeo Burger,$1.99,340 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Hamburger,$1.99,250 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Have-sies™,$3.09,380 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
French Fries,$3.09,370 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Onion Rings,$3.09,360 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
12 Pc. Chicken Fries,$5.09,340 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
8 Pc. Chicken Fries,$3.69,220 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
12 Pc. Mozzarella Fries,$4.99,730 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
8 Pc. Mozzarella Fries,$3.89,480 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
4 Pc. Mozzarella Fries,$1.99,240 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
4 Pc. Chicken Fries,$2.09,110 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
16 Pc. Chicken Nuggets,$4.59,770 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
8 Pc. Chicken Nuggets,$2.49,390 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
4 Pc. Chicken Nuggets,$1.59,190 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
MOTTS Applesauce,$2.09,50 cal,"3227 Poplar Ave, Memphis, TN, 38111, US",3966 Park Avenue
Classic Melt,$4.99,600 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Bacon Melt,$5.49,650 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Philly Melt,$5.49,590 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Whopper,$5.49,670 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Impossible™ Whopper,$6.49,630 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Texas Double Whopper,$7.49,"1,090 cal","659 Government St, Mobile, AL, 36602, US",659 Government St
Double Whopper,$6.99,920 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Triple Whopper,$8.79,"1,170 cal","659 Government St, Mobile, AL, 36602, US",659 Government St
Bacon King,$7.69,"1,200 cal","659 Government St, Mobile, AL, 36602, US",659 Government St
BBQ Bacon Whopper Jr.,$4.19,390 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Whopper Jr.,$3.19,330 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Bacon Double Cheeseburger,$3.99,440 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Bacon Cheeseburger,$2.99,340 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Double Cheeseburger,$2.99,400 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Cheeseburger,$2.29,290 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Rodeo Burger,$2.29,340 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Hamburger,$1.99,250 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Have-sies™,$2.79,380 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
French Fries,$2.79,370 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Onion Rings,$2.79,360 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
12 Pc. Chicken Fries,$4.99,340 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
8 Pc. Chicken Fries,$3.99,220 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
12 Pc. Mozzarella Fries,$4.99,730 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
8 Pc. Mozzarella Fries,$3.79,480 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
4 Pc. Mozzarella Fries,$1.99,240 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
4 Pc. Chicken Fries,$1.99,110 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
16 Pc. Chicken Nuggets,$3.59,770 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
8 Pc. Chicken Nuggets,$2.49,390 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
4 Pc. Chicken Nuggets,$1.79,190 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
MOTTS Applesauce,$1.69,50 cal,"659 Government St, Mobile, AL, 36602, US",659 Government St
Classic Melt,$4.99,600 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Bacon Melt,$5.49,650 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Philly Melt,$5.49,590 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Whopper,$5.89,670 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Impossible™ Whopper,$6.89,630 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Texas Double Whopper,$7.79,"1,090 cal","5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Double Whopper,$6.99,920 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Triple Whopper,$8.19,"1,170 cal","5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Bacon King,$7.69,"1,200 cal","5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
BBQ Bacon Whopper Jr.,$3.49,390 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Whopper Jr.,$2.99,330 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Bacon Double Cheeseburger,$3.39,440 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Bacon Cheeseburger,$2.69,340 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Double Cheeseburger,$2.89,400 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Cheeseburger,$2.29,290 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Rodeo Burger,$2.29,340 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Hamburger,$1.89,250 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Have-sies™,$2.99,380 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
French Fries,$2.89,370 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Onion Rings,$2.89,360 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
12 Pc. Chicken Fries,$4.99,340 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
8 Pc. Chicken Fries,$3.99,220 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
12 Pc. Mozzarella Fries,$4.99,730 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
8 Pc. Mozzarella Fries,$3.79,480 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
4 Pc. Mozzarella Fries,$1.99,240 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
8 Pc. Fiery Buffalo Nuggets,$2.99,510 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
4 Pc. Chicken Fries,$1.99,110 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
16 Pc. Chicken Nuggets,$3.99,770 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
8 Pc. Chicken Nuggets,$2.49,390 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
4 Pc. Chicken Nuggets,$1.59,190 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
MOTTS Applesauce,$1.59,50 cal,"5068 Old National Highway, College Park, GA, 30349, US",5068 Old National Hway
Classic Melt,$4.99,600 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon Melt,$5.69,650 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Philly Melt,$5.69,590 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Whopper,$5.89,670 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Impossible™ Whopper,$6.89,630 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Texas Double Whopper,$7.59,"1,090 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Double Whopper,$7.19,920 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Triple Whopper,$8.19,"1,170 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
Bacon King,$7.59,"1,200 cal","2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
BBQ Bacon Whopper Jr.,$3.49,390 cal,"2116 Whitesburg Drive, Huntsville, AL, 35801, US",2116 Whitesburg Drive
