menu_item,menu_item_price,menu_item_calories,input_address,restaurant_address
Fiery Bacon Whopper®,$6.99,800 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Whopper,$5.89,670 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Impossible™ Whopper,$6.89,630 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Texas Double Whopper,$8.89,"1,090 Cal","100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Double Whopper,$6.89,920 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Triple Whopper,$7.89,"1,170 Cal","100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Bacon King,$8.89,"1,200 Cal","100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
BBQ Bacon Whopper Jr.,$4.39,390 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Double Whopper Jr.,$3.79,447 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Whopper Jr.,$2.89,330 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Bacon Double Cheeseburger,$3.69,440 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Bacon Cheeseburger,$2.69,340 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Double Cheeseburger,$2.89,400 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Cheeseburger,$2.19,290 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Rodeo Burger,$2.19,340 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Hamburger,$1.79,250 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Have-sies™,$2.89,380 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
French Fries,$2.89,370 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Onion Rings,$2.89,360 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Fiery Chicken Fries,$3.99,260 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Fiery Mozzarella Fries,$4.29,450 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Chicken Fries,$3.99,220 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Mozzarella Fries,$3.99,480 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Chicken Nuggets,$2.49,390 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Mott's® Applesauce,$1.59,50 Cal,"100 river oaks cove, georgetown, tx, 78626, us",100 River Oaks Cove
Fiery Bacon Whopper®,$6.99,800 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Whopper,$5.89,670 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Impossible™ Whopper,$6.89,630 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Texas Double Whopper,$8.89,"1,090 Cal","1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Double Whopper,$6.89,920 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Triple Whopper,$7.89,"1,170 Cal","1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Bacon King,$8.89,"1,200 Cal","1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
BBQ Bacon Whopper Jr.,$4.39,390 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Double Whopper Jr.,$3.79,447 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Whopper Jr.,$2.89,330 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Bacon Double Cheeseburger,$3.69,440 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Bacon Cheeseburger,$2.69,340 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Double Cheeseburger,$2.89,400 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Cheeseburger,$2.19,290 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Rodeo Burger,$2.19,340 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Hamburger,$1.79,250 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
Have-sies™,$2.89,380 Cal,"1001 east ben white boulevard, austin, tx, 78704, us",2500 E Riverside Dr
