,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Applebee,Crispy Cheese Bites,13.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
1,Applebee,The Classic Combo,99.99,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
2,Applebee,Chicken Wonton Tacos,13.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
3,Applebee,Boneless Wings,37.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
4,Applebee,Classic Bone-in Wings,21.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
5,Applebee,Brew Pub Pretzels &amp; Beer Cheese Dip,13.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
6,Applebee,Mozzarella Sticks,13.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
7,Applebee,White Queso Dip &amp; Chips,9.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
8,Applebee,Neighborhood Nachos Chipotle Lime Chicken,17.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
9,Applebee,Chicken Quesadilla,14.99,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
10,Applebee,Neighborhood Nachos Beef,17.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
11,Applebee,Brew Pub Loaded Waffle Fries,13.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
12,Applebee,Crunchy Onion Rings,11.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
13,Applebee,Spinach &amp; Artichoke Dip,41.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
14,Applebee,Breadsticks with Alfredo Sauce,9.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
15,Applebee,Soups &amp; Side Salads,6.99,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
16,Applebee,Southwest Chicken Bowl,18.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
17,Applebee,Tex-Mex Shrimp Bowl,19.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
18,Applebee,Applebee's® Riblets Platter,21.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
19,Applebee,Applebee's® Riblets Plate,17.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
20,Applebee,Double-Glazed Baby Back Ribs,112.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
21,Applebee,Half Rack Double-Glazed Baby Back Ribs,24.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
22,Applebee,12 oz. Ribeye*,31.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
23,Applebee,8 oz. Top Sirloin*,24.99,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
24,Applebee,6 oz. Top Sirloin*,22.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
25,Applebee,Bourbon Street Steak*,26.29,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
26,Applebee,Shrimp 'N Parmesan Sirloin*,28.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
27,Applebee,Whisky Bacon Burger,19.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
28,Applebee,Classic Cheeseburger,16.69,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
29,Applebee,Classic Bacon Cheeseburger,17.89,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
30,Applebee,Quesadilla Burger,18.79,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
31,Applebee,Bourbon Street Mushroom Swiss Burger,19.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
32,Applebee,Impossible® Cheeseburger,19.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
33,Applebee,Neighborhood Burger,17.89,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
34,Applebee,Classic Burger,15.39,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
35,Applebee,NEW Whole Lotta Bacon Burger,19.19,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
36,Applebee,Bourbon Street Chicken &amp; Shrimp,22.49,"2024 Arden Way, Sacramento, CA, 95825, US","2024 Arden Way, Sacramento, CA, 95825, US",4.0 ,600+,0 mi
