,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,BJ,Brewhouse Sampler,19.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
1,BJ,Bone-In Wings,18.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
2,BJ,Boneless Wings,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
3,BJ,BJ's Original Wings,18.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
4,BJ,Avocado Egg Rolls,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
5,BJ,Fried Couscous Mac &amp; Cheese Balls,10.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
6,BJ,Garlic Shrimp With Parmesan Toast Appetizer,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
7,BJ,Mozzarella Sticks,14.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
8,BJ,Deep Dish Nachos,18.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
9,BJ,Sliders*,16.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
10,BJ,Sliders With Fries*,17.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
11,BJ,Crispy Calamari,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
12,BJ,Chicken Pot Stickers,16.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
13,BJ,Ahi Poke*,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
14,BJ,BBQ Tri-Tip Sliders*,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
15,BJ,BBQ Tri-Tip Sliders With Fries*,18.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
16,BJ,Spinach And Artichoke Dip,16.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
17,BJ,Big Twist Pretzel With Beer Cheese,11.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
18,BJ,California Club Flatbread,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
19,BJ,Pepperoni Extreme Flatbread,16.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
20,BJ,Sriracha Queso Dip,10.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
21,BJ,Chips &amp; Housemade Guacamole + Salsa,10.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
22,BJ,Bacon Jam Wings,20.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
23,BJ,Honey Sriracha Brussels Sprouts,6.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
24,BJ,Soup And Salad Combo,14.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
25,BJ,Clam Chowder,10.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
26,BJ,House Caesar Salad,6.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
27,BJ,Chicken Tortilla Soup,10.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
28,BJ,House Wedge Salad,6.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
29,BJ,Fresh Mozzarella And Tomato Salad,6.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
30,BJ,Broccoli Cheddar Soup,10.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
31,BJ,House Salad,6.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
32,BJ,Piranha® Pale Ale Chili,10.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
33,BJ,BJ's Brewhouse Classic Pizza,21.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
34,BJ,Spicy Pig Pizza,21.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
35,BJ,Build Your Own Pizza,15.50,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
36,BJ,Build Your Own Pizza - Mini,13.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
37,BJ,Pepperoni Extreme Pizza - Shareable,25.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
38,BJ,Pepperoni Extreme Pizza - Mini,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
39,BJ,Build Your Own Pizza - Shareable,20.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
40,BJ,BJ's Favorite Pizza - Shareable,25.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
41,BJ,BJ's Classic Combo Pizza - Shareable,25.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
42,BJ,Buffalo Chicken Pizza - Mini,17.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
43,BJ,Great White® Pizza - Shareable,26.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
44,BJ,Gourmet Five Meat Pizza - Shareable,25.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
45,BJ,Buffalo Chicken Pizza - Shareable,26.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
46,BJ,Barbeque Chicken Pizza - Shareable,26.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
47,BJ,Sweet Pig® Pizza - Shareable,24.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
48,BJ,Barbeque Chicken Pizza - Mini,17.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
49,BJ,BJ's Favorite Pizza - Mini,17.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
50,BJ,BJ's Classic Combo Pizza - Mini,17.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
51,BJ,BJ's Favorite Pizza - Large,37.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
52,BJ,Build Your Own Pizza - Large,27.95,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
53,BJ,Sweet Pig® Pizza - Mini,16.25,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
54,BJ,Great White® Pizza - Mini,17.75,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
55,BJ,Vegetarian Pizza - Large,35.45,"11520 4th Street, Rancho Cucamonga, CA, 91730, US","11520 4th Street, Rancho Cucamonga, CA, 91730, US",4.4 ,1,0 mi
