,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Buffalo Wild Wings,6 Buffalo Ranch Traditional Wings,15.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
1,Buffalo Wild Wings,6 Luau BBQ Traditional Wings,15.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
2,Buffalo Wild Wings,6 Luau BBQ Boneless Wings,14.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
3,Buffalo Wild Wings,6 Buffalo Ranch Boneless Wings,14.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
4,Buffalo Wild Wings,6 Golden Fire Traditional Wings,15.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
5,Buffalo Wild Wings,6 Golden Fire Boneless Wings,14.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
6,Buffalo Wild Wings,20 Boneless + 20 Traditional Wings &amp; Fries,57.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
7,Buffalo Wild Wings,15 Boneless + 15 Traditional Wings &amp; Fries,51.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
8,Buffalo Wild Wings,Traditional Wings,0.00,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
9,Buffalo Wild Wings,Boneless Wings,0.00,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
10,Buffalo Wild Wings,Hand-Breaded Tenders,0.00,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
11,Buffalo Wild Wings,Traditional &amp; Boneless Combo,35.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
12,Buffalo Wild Wings,Cauliflower Wings,0.00,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
13,Buffalo Wild Wings,Naked Tenders®,0.00,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
14,Buffalo Wild Wings,House Sampler,22.49,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
15,Buffalo Wild Wings,Mozzarella Sticks,12.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
16,Buffalo Wild Wings,Regular French Fries,7.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
17,Buffalo Wild Wings,Hatch Queso,12.49,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
18,Buffalo Wild Wings,Ultimate Nachos,14.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
19,Buffalo Wild Wings,Dirty Dubs Tots,17.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
20,Buffalo Wild Wings,Regular Potato Wedges,7.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
21,Buffalo Wild Wings,Fried Pickles,12.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
22,Buffalo Wild Wings,Regular Beer-Battered Onion Rings,9.49,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
23,Buffalo Wild Wings,Large Potato Wedges,11.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
24,Buffalo Wild Wings,Regular Cheddar Cheese Curds,9.49,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
25,Buffalo Wild Wings,Asian Zing Cauliflower Wings,18.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
26,Buffalo Wild Wings,Everything Pretzel Knots,12.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
27,Buffalo Wild Wings,Large French Fries,11.29,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
28,Buffalo Wild Wings,Regular Tater Tots,7.20,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
29,Buffalo Wild Wings,Basket Tater Tots,11.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
30,Buffalo Wild Wings,Large Cheddar Cheese Curds,16.49,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
31,Buffalo Wild Wings,Large Beer-Battered Onion Rings,14.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
32,Buffalo Wild Wings,Buffalo Chicken Tots,17.79,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
33,Buffalo Wild Wings,Chips &amp; Dip Trio,15.99,"736 E Del Amo Blvd, Carson, CA, 90746, US","736 E Del Amo Blvd, Carson, CA, 90746, US",3.8 ,800+,0 mi
