,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,BJs Restaurants,Brewhouse Sampler,19.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
1,BJs Restaurants,Bone-In Wings,18.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
2,BJs Restaurants,Boneless Wings,17.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
3,BJs Restaurants,BJ's Original Wings,18.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
4,BJs Restaurants,Avocado Egg Rolls,17.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
5,BJs Restaurants,Fried Couscous Mac &amp; Cheese Balls,10.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
6,BJs Restaurants,Garlic Shrimp With Parmesan Toast Appetizer,17.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
7,BJs Restaurants,Mozzarella Sticks,15.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
8,BJs Restaurants,Deep Dish Nachos,18.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
9,BJs Restaurants,Sliders*,16.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
10,BJs Restaurants,Sliders With Fries*,17.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
11,BJs Restaurants,Crispy Calamari,17.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
12,BJs Restaurants,Chicken Pot Stickers,16.95,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
13,BJs Restaurants,Ahi Poke*,18.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
14,BJs Restaurants,BBQ Tri-Tip Sliders*,17.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
15,BJs Restaurants,BBQ Tri-Tip Sliders With Fries*,19.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
16,BJs Restaurants,Spinach And Artichoke Dip,16.95,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
17,BJs Restaurants,Big Twist Pretzel With Beer Cheese,11.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
18,BJs Restaurants,Sriracha Queso Dip,10.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
19,BJs Restaurants,Chips &amp; Housemade Guacamole + Salsa,10.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
20,BJs Restaurants,Bacon Jam Wings,20.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
21,BJs Restaurants,Honey Sriracha Brussels Sprouts,6.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
22,BJs Restaurants,Hickory Brisket Nachos,17.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
23,BJs Restaurants,House Wedge Salad,6.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
24,BJs Restaurants,Fresh Mozzarella And Tomato Salad,6.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
25,BJs Restaurants,Clam Chowder,10.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
26,BJs Restaurants,House Caesar Salad,6.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
27,BJs Restaurants,Soup And Salad Combo,14.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
28,BJs Restaurants,House Salad,6.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
29,BJs Restaurants,Chicken Tortilla Soup,10.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
30,BJs Restaurants,Broccoli Cheddar Soup,10.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
31,BJs Restaurants,BJ's Brewhouse Classic Pizza,21.95,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
32,BJs Restaurants,Spicy Pig Pizza,21.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
33,BJs Restaurants,Build Your Own Pizza,15.50,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
34,BJs Restaurants,Pepperoni Extreme Pizza - Shareable,25.95,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
35,BJs Restaurants,Build Your Own Pizza - Mini,14.25,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
36,BJs Restaurants,Build Your Own Pizza - Shareable,20.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
37,BJs Restaurants,Gourmet Five Meat Pizza - Shareable,25.75,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
38,BJs Restaurants,Pepperoni Extreme Pizza - Mini,17.45,"1200, Roseville, CA, 95678, US","1200, roseville, ca, 95678, us",4.4 ,1,0 mi
