,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Chili's,Boneless Wings,0.00,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
1,Chili's,Bone-In Wings,0.00,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
2,Chili's,Chips &amp; Salsa,9.09,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
3,Chili's,Fried Mozzarella - Small,14.79,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
4,Chili's,Texas Cheese Fries,15.09,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
5,Chili's,Southwestern Eggrolls,15.89,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
6,Chili's,Skillet Queso,13.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
7,Chili's,Fresh Guacamole,12.19,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
8,Chili's,Dip Trio,13.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
9,Chili's,White Skillet Queso,11.39,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
10,Chili's,Triple Dipper®,20.09,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
11,Chili's,Fried Mozzarella - Shareable,17.29,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
12,Chili's,Steak Fajitas,25.99,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
13,Chili's,Mix &amp; Match Fajitas,25.99,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
14,Chili's,Fajita Trio,28.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
15,Chili's,Chicken Fajitas,22.99,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
16,Chili's,Shrimp Fajitas,24.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
17,Chili's,Just Bacon Burger*,17.89,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
18,Chili's,Oldtimer® w/Cheese*,16.09,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
19,Chili's,Big Mouth® Bites,18.69,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
20,Chili's,Alex's Santa Fe Burger*,19.29,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
21,Chili's,Double Oldtimer® w/Cheese*,20.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
22,Chili's,Mushroom Swiss Burger*,17.59,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
23,Chili's,Bacon Rancher Burger*,23.29,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
24,Chili's,BBQ Brisket Burger,20.29,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
25,Chili's,Big Smasher Burger*,16.79,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
26,Chili's,Honey-Chipotle Chicken Crispers® Combo,0.00,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
27,Chili's,Crispy Chicken Crispers® Combo,0.00,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
28,Chili's,Nashville Hot Chicken Crispers® Combo,0.00,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
29,Chili's,Full Order of Ribs,29.89,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
30,Chili's,Classic Sirloin* - 6oz,19.79,"13580, Whittier, CA, 90605-1934, US","13580, Whittier, CA, 90605-1934, US",4.7 ,500+,0 mi
