,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Denny,Grand Slam® Pack,40.65,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
1,Denny,Build Your Own Grand Slam®,18.60,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
2,Denny,All-American Slam®,19.54,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
3,Denny,Fit Slam®,17.46,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
4,Denny,Lumberjack Slam®,22.14,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
5,Denny,Berry Waffle Slam®,18.60,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
6,Denny,Berry Stuffed French Toast Slam,23.59,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
7,Denny,French Toast Slam®,19.43,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
8,Denny,Original Grand Slam®,18.60,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
9,Denny,Berry Vanilla Crepe Breakfast,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
10,Denny,Choconana Pancake Slam®,15.58,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
11,Denny,Cinnamon Roll Pancake Slam®,15.79,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
12,Denny,Double Berry Banana Pancake Slam®,16.42,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
13,Denny,Hearty 9-Grain Pancake Slam®,14.34,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
14,Denny,Cinnamon Sugar Pancake Puppies®,4.77,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
15,Denny,Stack of Cinnamon Roll Pancakes,6.85,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
16,Denny,Stack of Choconana Pancakes,6.85,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
17,Denny,Stack of Double Berry Banana Strawberry Pancakes,6.85,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
18,Denny,Grand Slamwich®,19.12,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
19,Denny,Country Fried Steak &amp; Eggs,20.37,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
20,Denny,Moons Over My Hammy®,18.70,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
21,Denny,T-Bone Steak &amp; Eggs,25.57,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
22,Denny,Santa Fe Skillet,18.91,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
23,Denny,Grand Slam® Burrito,11.11,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
24,Denny,Sirloin Steak &amp; Eggs,19.64,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
25,Denny,Ultimate Omelette®,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
26,Denny,Philly Cheesesteak Omelette,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
27,Denny,Loaded Veggie Omelette,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
28,Denny,Mile High Denver Omelette,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
29,Denny,Build Your Own Omelette,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
30,Denny,Fresh Seasonal Fruit,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
31,Denny,Biscuit and Gravy,3.62,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
32,Denny,Stack of Pancakes,4.25,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
33,Denny,Hash Browns,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
34,Denny,Sausage Gravy,1.23,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
35,Denny,Bacon,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
36,Denny,Seasoned Red-Skinned Potatoes,4.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
37,Denny,Sausage,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
38,Denny,Buttermilk Biscuits,4.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
39,Denny,Egg,3.94,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
40,Denny,English Muffin,4.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
41,Denny,Slices of Toast,4.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
42,Denny,Grilled Ham Slice,5.39,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
43,Denny,Berry Stuffed French Toast®,10.59,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
44,Denny,French Toast,5.39,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
45,Denny,Strawberry Vanilla Crepes,9.97,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
46,Denny,Zesty Nachos,15.90,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
47,Denny,Mozzarella Cheese Sticks,13.30,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
48,Denny,Classic Sampler,15.90,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
49,Denny,Boneless Chicken Wings,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
50,Denny,Premium Chicken Tenders,13.92,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
51,Denny,Mama's Fried Chicken House Salad,17.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
52,Denny,Let's Cobb About It Prime Rib Cobb Salad,18.60,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
53,Denny,Egg-Cellent Grilled Chicken Cobb Salad,17.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
54,Denny,Salmon Salad Your Way,17.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
55,Denny,Slamburger™,18.81,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
56,Denny,Double Cheeseburger,20.16,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
57,Denny,Bacon Avocado Cheeseburger,19.74,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
58,Denny,Bourbon Bacon Burger,19.12,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
59,Denny,Flamin' 5-Pepper Burger,17.14,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
60,Denny,BBQ Bacon Chicken Sandwich,20.37,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
61,Denny,Single Cheeseburger,18.29,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
62,Denny,Cali Club Sandwich,17.35,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
63,Denny,Super Bird®,18.81,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
64,Denny,Brisk-It-All Melt™,21.20,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
65,Denny,Pot Roast Melt,17.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
66,Denny,Country-Fried Steak Dinner,21.30,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
67,Denny,Sirloin Steak,22.76,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
68,Denny,Premium Chicken Tenders Dinner,19.12,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
69,Denny,Plate Lickin' Chicken Fried Chicken,17.98,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
70,Denny,Mac 'N Brisket Skillet™,24.11,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
71,Denny,Oven-Baked Lasagna,17.98,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
72,Denny,Bourbon Chicken Skillet,19.85,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
73,Denny,Crazy Spicy Skillet,17.98,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
74,Denny,T-Bone Steak,23.90,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
75,Denny,Wild Alaska Salmon,20.37,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
76,Denny,Seasoned Fries,5.81,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
77,Denny,Wavy Cut French Fries,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
78,Denny,Beer-Battered Onion Rings,5.81,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
79,Denny,Garden Side Salad,6.33,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
80,Denny,Oven-Baked Mac 'N Cheese,6.43,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
81,Denny,Broccoli,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
82,Denny,Red Rustic Mashed Potatoes™,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
83,Denny,Whole Grain Rice,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
84,Denny,Herb Glazed Corn,5.08,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
85,Denny,Sauces and Dressings,1.23,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
86,Denny,Jr. Milk Shake,3.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
87,Denny,Build Your Own Jr. Grand Slam®,7.47,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
88,Denny,Jr. Cheeseburger,7.47,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
89,Denny,Mac &amp; Cheese,7.47,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
90,Denny,Jr. Chocolate Chip Pancakes,6.85,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
91,Denny,Jr. Premium Chicken Tenders,7.99,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
92,Denny,Kid's Birthday Pancakes,7.47,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
93,Denny,Jr. Ice Cream,3.52,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
94,Denny,Kids Beverage,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
95,Denny,Lava Cookie Skillet,7.58,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
96,Denny,New York Style Cheesecake,7.47,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
97,Denny,Oven-Baked Caramel Apple Pie Crisp,9.03,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
98,Denny,Cheesecake Pack,16.73,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
99,Denny,Brownie Sundae with Oreo® Pieces,6.95,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
100,Denny,Milk Shakes,7.58,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
101,Denny,Oreo Shake Pack,10.07,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
102,Denny,Strawberry Shake Pack,10.07,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
103,Denny,Dasani® Bottled Water,1.23,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
104,Denny,Soft Drinks,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
105,Denny,Hot Chocolate,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
106,Denny,Minute Maid® Juice,5.18,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
107,Denny,Signature Diner Blend Coffee,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
108,Denny,Minute Maid® Lemonade,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
109,Denny,Milk,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
110,Denny,Fresh Brewed Iced Tea,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
111,Denny,Hot Tea,4.56,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
112,Denny,Sweet Cream Cold Brew,7.16,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
113,Denny,Minute Maid® Smoothies,5.29,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
114,Denny,Fork,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
115,Denny,Napkin,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
116,Denny,Knife,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
117,Denny,Spoon,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
118,Denny,Syrup,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
119,Denny,Grape Jelly,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
120,Denny,Strawberry Jelly,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
121,Denny,Mustard,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
122,Denny,Ketchup,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
123,Denny,Steak Sauce,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
124,Denny,Honey,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
125,Denny,Sugar Free Syrup,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
126,Denny,Vanilla Creamer,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
127,Denny,Half &amp; Half,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
128,Denny,Straw,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
129,Denny,Sugar,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
130,Denny,Yellow Packet Sweetener,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
131,Denny,Blue Packet Sweetener,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
132,Denny,Pink Packet Sweetener,0.00,"1601 Rosecrans St., San Diego, CA, 92106, US","1601 Rosecrans St., San Diego, CA, 92106, US",4.3 ,700+,0 mi
133,Denny,Grand Slam® Pack,39.50,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
134,Denny,Build Your Own Grand Slam®,15.90,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
135,Denny,All-American Slam®,19.12,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
136,Denny,Lumberjack Slam®,20.37,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
137,Denny,Fit Slam®,15.90,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
138,Denny,Berry Waffle Slam®,17.77,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
139,Denny,Berry Stuffed French Toast Slam,21.10,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
140,Denny,French Toast Slam®,17.98,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
141,Denny,Original Grand Slam®,15.90,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
142,Denny,Choconana Pancake Slam®,15.58,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
143,Denny,Cinnamon Roll Pancake Slam®,15.79,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
144,Denny,Hearty 9-Grain Pancake Slam®,14.13,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
145,Denny,Maple Stuffed Donut Holes,4.66,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
146,Denny,Stack of Cinnamon Roll Pancakes,6.64,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
147,Denny,Stack of Choconana Pancakes,6.74,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
148,Denny,Stack of Double Berry Banana Strawberry Pancakes,6.74,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
149,Denny,Moons Over My Hammy®,17.77,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
150,Denny,Grand Slamwich®,18.70,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
151,Denny,T-Bone Steak &amp; Eggs,24.74,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
152,Denny,Country Fried Steak &amp; Eggs,20.37,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
153,Denny,Santa Fe Skillet,17.14,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
154,Denny,Grand Slam® Burrito,11.11,"692 E St, Chula Vista, CA, 91910, US","692 E St, Chula Vista, CA, 91910, US",4.5 ,1,0 mi
