,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Chili's,Boneless Wings,0.00,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
1,Chili's,Southwestern Eggrolls,14.79,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
2,Chili's,Skillet Queso,12.29,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
3,Chili's,Bone-In Wings,0.00,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
4,Chili's,White Skillet Queso,10.29,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
5,Chili's,Texas Cheese Fries,13.89,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
6,Chili's,Fried Mozzarella - Small,13.59,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
7,Chili's,Chips &amp; Salsa,8.39,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
8,Chili's,Dip Trio,12.29,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
9,Chili's,Fresh Guacamole,11.09,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
10,Chili's,Triple Dipper®,18.59,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
11,Chili's,Fried Mozzarella - Shareable,16.09,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
12,Chili's,Chicken Fajitas,21.89,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
13,Chili's,Mix &amp; Match Fajitas,24.89,"11411 Forest Ave., Clive, IA, 50325-7032, US","11411 forest ave., clive, ia, 50325-7032, us",4.4 ,270+,0 mi
