,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Chilis,Triple Dipper®,18.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
1,Chilis,Southwestern Eggrolls,14.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
2,Chilis,Skillet Queso,12.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
3,Chilis,Boneless Wings,0.00,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
4,Chilis,White Skillet Queso,9.99,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
5,Chilis,Texas Cheese Fries,13.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
6,Chilis,Fried Mozzarella - Small,13.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
7,Chilis,Bone-In Wings,0.00,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
8,Chilis,Chips &amp; Salsa,8.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
9,Chilis,Dip Trio,12.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
10,Chilis,Fresh Guacamole,10.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
11,Chilis,Fried Mozzarella - Shareable,15.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
12,Chilis,Fajita Trio,27.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
13,Chilis,Chicken Fajitas,21.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
14,Chilis,Steak Fajitas,24.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
15,Chilis,Mix &amp; Match Fajitas,24.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
16,Chilis,Shrimp Fajitas,23.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
17,Chilis,Oldtimer® w/Cheese*,14.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
18,Chilis,Big Mouth® Bites,16.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
19,Chilis,BBQ Brisket Burger,19.79,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
20,Chilis,Mushroom Swiss Burger*,16.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
21,Chilis,Double Oldtimer® w/Cheese*,18.79,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
22,Chilis,Bacon Rancher Burger*,21.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
23,Chilis,Alex's Santa Fe Burger*,17.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
24,Chilis,Just Bacon Burger*,16.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
25,Chilis,Big Smasher Burger*,15.79,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
26,Chilis,Honey-Chipotle Chicken Crispers® Combo,0.00,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
27,Chilis,Crispy Chicken Crispers® Combo,0.00,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
28,Chilis,Nashville Hot Chicken Crispers® Combo,0.00,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
29,Chilis,Full Order of Ribs,28.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
30,Chilis,Classic Sirloin* - 6oz,18.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
31,Chilis,Surf &amp; Turf Ribeye*,32.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
32,Chilis,Classic Ribeye*,27.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
33,Chilis,Half Order of Ribs,22.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
34,Chilis,Classic Sirloin* - 10oz,26.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
35,Chilis,Surf &amp; Turf Sirloin* - 10oz,31.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
36,Chilis,Classic Sirloin* with Avocado - 6oz,19.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
37,Chilis,Classic Sirloin* with Avocado - 10oz,25.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
38,Chilis,Ultimate Smokehouse Combo,26.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
39,Chilis,Smokehouse Combo,23.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
40,Chilis,Cajun Pasta,19.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
41,Chilis,Ultimate Cajun Pasta,23.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
42,Chilis,Margarita Grilled Chicken,18.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
43,Chilis,Ancho Salmon,23.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
44,Chilis,Chipotle Bowl,17.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
45,Chilis,Santa Fe Salad,17.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
46,Chilis,Chicken Bacon Ranch Quesadillas,16.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
47,Chilis,Brisket Quesadillas,17.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
48,Chilis,Chili's Philly,17.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
49,Chilis,Crispy Chicken Sandwich,15.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
50,Chilis,Bacon Avocado Grilled Chicken Sandwich,17.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
51,Chilis,Buffalo Chicken Ranch Sandwich,15.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
52,Chilis,Lunch Combo - Chipotle Chicken Fresh Mex Bowl,10.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
53,Chilis,Lunch Combo - Boneless Wings,10.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
54,Chilis,Mini Chocolate Molten,5.30,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
55,Chilis,Lunch Combo - Half Order Chicken Bacon Ranch Quesadillas,10.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
56,Chilis,Lunch Combo - Bacon Avocado Grilled Chicken Sandwich,10.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
57,Chilis,Lunch Burger,10.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
58,Chilis,Bowl of Soup,7.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
59,Chilis,Cup of Soup,5.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
60,Chilis,Quesadilla Explosion Salad,17.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
61,Chilis,Side Caesar Salad,6.39,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
62,Chilis,Side House Salad,6.39,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
63,Chilis,Quesadilla Explosion Crispers® Salad,18.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
64,Chilis,Soup &amp; House Salad,12.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
65,Chilis,Santa Fe Crispers® Salad,18.19,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
66,Chilis,Soup &amp; Caesar Salad,12.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
67,Chilis,Bowl of the Original Chili,7.49,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
68,Chilis,Cup of the Original Chili,5.89,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
69,Chilis,Chili &amp; Caesar Salad,13.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
70,Chilis,Chili &amp; House Salad,13.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
71,Chilis,Skillet Chocolate Chip Cookie,10.99,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
72,Chilis,Molten Chocolate Cake,11.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
73,Chilis,Cheesecake,10.29,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
74,Chilis,Sides,4.09,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
75,Chilis,Sauce Options (4oz),1.60,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
76,Chilis,Kraft® Macaroni &amp; Cheese,7.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
77,Chilis,Pepper Pals® Cheese Pizza,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
78,Chilis,Pepper Pals® Cheeseburger Bites,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
79,Chilis,Pepper Pals® Cheese Quesadilla,7.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
80,Chilis,Pepper Pals® Cheesy Chicken Pasta,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
81,Chilis,Pepper Pals® Crispy Crispers®,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
82,Chilis,Pepper Pals® Pepperoni Pizza,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
83,Chilis,Pepper Pals® Grilled Chicken Dippers,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
84,Chilis,Pepper Pals® Burger Bites,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
85,Chilis,Pepper Pals® Grilled Chicken Bites,8.15,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
86,Chilis,Beverages,3.79,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
87,Chilis,Gallon of Strawberry Lemonade,9.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
88,Chilis,Blackberry Iced Tea,4.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
89,Chilis,Strawberry Lemonade,4.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
90,Chilis,Mango Iced Tea,4.69,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
91,Chilis,Watermelon Lemonade,3.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
92,Chilis,Watermelon Tea,3.59,"4600 Chapel Hill Blvd., Durham, NC, 27707-2669, US","6917 fayetteville rd., durham, nc, 27713-8723, us",4.2 ,700+,4.6 mi
93,Chilis,Crab Cheese Roll,8.80,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
94,Chilis,Thai Spring Roll,5.50,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
95,Chilis,Fresh Basil Roll,7.70,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
96,Chilis,Roti Bread,5.50,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
97,Chilis,Curry Puff,8.05,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
98,Chilis,Chicken Satay,9.90,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
99,Chilis,Sweet Chili Wings,11.00,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
100,Chilis,Shrimp rolls,8.80,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
101,Chilis,Fried Tofu,5.50,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
102,Chilis,Crispy Calamari,11.00,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
103,Chilis,Crispy Soft Shell Crab,10.00,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
104,Chilis,Coconut Chicken Soup,6.60,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
105,Chilis,Tom Yum Chicken Soup,6.60,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
106,Chilis,Coconut Tofu Soup,6.60,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
107,Chilis,Vegetable Soup,5.50,"8725 Roswell Road, Unit 1-2, Sandy Springs, GA, 30350, US","4111 roswell road ne., marietta, ga, 30062-6242, us",4.7 ,280+,4.8 mi
