,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Outback Steakhouse,Include Fork,0.00,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
1,Outback Steakhouse,Include Knife,0.00,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
2,Outback Steakhouse,Include Napkin,0.00,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
3,Outback Steakhouse,Include Spoon,0.00,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
4,Outback Steakhouse,Include Straw,0.00,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
5,Outback Steakhouse,NEW! Garlic Parm Chicken Bites,11.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
6,Outback Steakhouse,NEW! BBQ Chicken Bites,11.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
7,Outback Steakhouse,NEW! Filet* &amp; Lobster Mac,43.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
8,Outback Steakhouse,NEW! Sirloin* &amp; Lobster Mac,36.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
9,Outback Steakhouse,NEW! Bone-In Ribeye* w/ Aussie Cab Onion &amp; Seasoned Butter,47.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
10,Outback Steakhouse,Add Lobster Mac,13.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
11,Outback Steakhouse,Add Cabernet Onion &amp; Seasoned Butter,3.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
12,Outback Steakhouse,Blue Cheese Pecan Chopped Side Salad**,8.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
13,Outback Steakhouse,Tim Tam® Brownie Cake**,12.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
14,Outback Steakhouse,Bloomin' Onion®,12.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
15,Outback Steakhouse,Sydney Shrooms,11.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
16,Outback Steakhouse,Kookaburra Wings®,18.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
17,Outback Steakhouse,Aussie Cheese Fries,14.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
18,Outback Steakhouse,Steakhouse Mac &amp; Cheese Bites,10.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
19,Outback Steakhouse,Grilled Shrimp on the Barbie,17.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
20,Outback Steakhouse,Bloomin' Fried Shrimp,17.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
21,Outback Steakhouse,Seared Pepper Ahi*,21.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
22,Outback Steakhouse,Gold Coast Coconut Shrimp**,17.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
23,Outback Steakhouse,Outback Center-Cut Sirloin*,21.49,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
24,Outback Steakhouse,Ribeye* 13 oz.,35.99,"26652 Portola Pkwy., Foothill Ranch, CA, 92610, US","26652 Portola Pkwy., Foothill Ranch, CA, 92610, US",4.5 ,500+,0 mi
