,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Panera Bread,NEW Chicken Bacon Rancher,11.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
1,Panera Bread,NEW Ciabatta Cheesesteak,13.09,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
2,Panera Bread,NEW Toasted Italiano,13.09,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
3,Panera Bread,NEW Tomato Basil BLT,9.39,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
4,Panera Bread,NEW Bacon Mac &amp; Cheese,11.79,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
5,Panera Bread,NEW Southwest Chicken Ranch Salad,12.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
6,Panera Bread,NEW Ranch Cobb Salad,9.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
7,Panera Bread,NEW Mediterranean Chicken Greens with Grains,12.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
8,Panera Bread,NEW Mediterranean Greens with Grains,9.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
9,Panera Bread,NEW Balsamic Chicken Greens with Grains,12.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
10,Panera Bread,NEW Balsamic Greens with Grains,9.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
11,Panera Bread,Chipotle Chicken Avo Melt,11.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
12,Panera Bread,Toasted Frontega Chicken®,11.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
13,Panera Bread,Spicy Buffalo Chicken Melt,10.49,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
14,Panera Bread,Smokehouse BBQ Chicken,10.49,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
15,Panera Bread,Grilled Chicken &amp; Avo BLT,13.09,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
16,Panera Bread,Bravo Club,11.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
17,Panera Bread,Bacon Turkey Bravo®,11.89,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
18,Panera Bread,Turkey &amp; Cheddar Sandwich,10.49,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
19,Panera Bread,Green Goddess Chicken Cobb Salad,13.19,"18663 Bear Valley Rd, Hesperia, CA, 92345, US","18663 Bear Valley Rd, Hesperia, CA, 92345, US",4.8 ,110+,0.1 mi
