,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Red Robin,Chocolate Covered Pretzel Milkshake,9.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
1,Red Robin,Dr Pepper® Vanilla Cream Soda,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
2,Red Robin,Desert Pear Cream Soda,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
3,Red Robin,Candied Orange Cream Soda,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
4,Red Robin,Raspberry Cream Soda,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
5,Red Robin,Grilled Blackened Salmon,23.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
6,Red Robin,Lava Queso,20.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
7,Red Robin,MadLove,21.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
8,Red Robin,Queso Fundido,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
9,Red Robin,"Guacamole, Salsa &amp; Chips",12.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
10,Red Robin,Mac 'N' Cheese,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
11,Red Robin,Whiskey River® BBQ,17.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
12,Red Robin,Red Robin Gourmet Cheeseburger,17.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
13,Red Robin,Royal Red Robin®,18.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
14,Red Robin,Banzai,17.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
15,Red Robin,Smashed Avocado N' Bacon,19.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
16,Red Robin,Burnin' Love,18.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
17,Red Robin,Scorpion,19.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
18,Red Robin,Bleu Ribbon,18.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
19,Red Robin,The Southern Charm,19.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
20,Red Robin,Monster,21.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
21,Red Robin,Sauteed 'Shroom,17.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
22,Red Robin,Bacon Cheeseburger,18.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
23,Red Robin,Cheesy Bacon Fondue,20.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
24,Red Robin,Smoke &amp; Pepper™,19.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
25,Red Robin,Keep It Simple,16.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
26,Red Robin,Pepperoni,14.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
27,Red Robin,Serious Meat™,18.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
28,Red Robin,Create Your Own,14.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
29,Red Robin,The Works™,18.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
30,Red Robin,Serious Cheese™,14.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
31,Red Robin,Founder's Favorite®,18.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
32,Red Robin,Very Vegy™,18.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
33,Red Robin,Very Vegy on Gluten Free Cauliflower Crust††,25.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
34,Red Robin,Crispy Chicken Sandwich,18.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
35,Red Robin,Whiskey River® BBQ Chicken Wrap,17.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
36,Red Robin,BLTA Croissant,18.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
37,Red Robin,Crispy Chicken Wrap,18.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
38,Red Robin,Whiskey River® BBQ Chicken Sandwich,18.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
39,Red Robin,California Chicken Sandwich,19.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
40,Red Robin,Teriyaki Chicken Sandwich,18.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
41,Red Robin,Clucks &amp; Fries®,17.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
42,Red Robin,House-Battered Fish &amp; Chips,21.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
43,Red Robin,Ensenada Chicken™ Platter,17.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
44,Red Robin,Buzz-Style Clucks &amp; Fries®,17.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
45,Red Robin,Whiskey River® BBQ Ribs,22.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
46,Red Robin,Tsunami Shrimp Entree,21.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
47,Red Robin,Red's Double™,12.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
48,Red Robin,Haystack Double™,14.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
49,Red Robin,Pig Out Double,16.09,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
50,Red Robin,Crispy Chicken Tender Salad,17.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
51,Red Robin,Avo-Cobb-O Salad,18.49,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
52,Red Robin,Southwest Salad,18.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
53,Red Robin,House Salad,8.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
54,Red Robin,Simply Grilled Chicken Salad,17.29,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
55,Red Robin,The Impossible™ Cheeseburger,20.69,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
56,Red Robin,The Wedgie™,18.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
57,Red Robin,Turkey Burger,18.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
58,Red Robin,Veggie,18.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
59,Red Robin,Cheesy Mozzarella Twists,12.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
60,Red Robin,Pretzel Bites,9.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
61,Red Robin,The Onion Ring Shorty,10.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
62,Red Robin,Crispy Fried Pickles,9.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
63,Red Robin,Saucy Boneless Chicken Bites,15.89,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
64,Red Robin,Saucy Bone-In Wings,17.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
65,Red Robin,Tsunami Shrimp Appetizer,15.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
66,Red Robin,Towering Onion Rings®,14.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
67,Red Robin,Crispy Parmesan Brussels Sprouts,11.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
68,Red Robin,Gourmet Wing &amp; Sauce Bar,71.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
69,Red Robin,"Donatos® 10"" Pizza",14.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
70,Red Robin,Mac It Yours,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
71,Red Robin,Red's Cheeseburger,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
72,Red Robin,"Donatos® 7"" Pizza",8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
73,Red Robin,Kids Freckled Lemonade®,2.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
74,Red Robin,Creamy Milkshake,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
75,Red Robin,Corn Doggies,7.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
76,Red Robin,Kids Sunset Lemonade,2.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
77,Red Robin,Kids Raspberry Cream Soda,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
78,Red Robin,Grilled Chicken Dip'Ns,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
79,Red Robin,Kids Sundae,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
80,Red Robin,Root Beer Float,6.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
81,Red Robin,Kids Poppin' Purple Lemonade,2.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
82,Red Robin,Kids Candied Orange Cream Soda,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
83,Red Robin,Kids OREO® Cookie Magic Milkshake,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
84,Red Robin,Kids Desert Pear Cream Soda,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
85,Red Robin,Kids Chocolate Covered Pretzel Milkshake,3.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
86,Red Robin,Chocolate Milkshake,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
87,Red Robin,OREO® Cookie Magic Milkshake,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
88,Red Robin,Vanilla Milkshake,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
89,Red Robin,Strawberry Milkshake,8.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
90,Red Robin,Soft Drinks,4.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
91,Red Robin,Freckled Lemonade®,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
92,Red Robin,Bottled Soda,2.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
93,Red Robin,Sunset Lemonade,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
94,Red Robin,Poppin' Purple Lemonade,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
95,Red Robin,Shareable Sodas,9.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
96,Red Robin,Very Berry Raspberry Limeade,5.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
97,Red Robin,Fresh-Brewed Gold Peak® Tea,4.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
98,Red Robin,Dasani® Bottled Water,2.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
99,Red Robin,Flavored Lemonade,4.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
100,Red Robin,Shareable Fresh-Brewed Gold Peak® Teas,9.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
101,Red Robin,Red Bull®,4.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
102,Red Robin,Red Bull® Sugarfree,4.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
103,Red Robin,2 Red Bull® Bundle,7.89,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
104,Red Robin,Fudge-Filled Chocolate Chip Cookies,2.39,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
105,Red Robin,Mountain High Mudd Pie,11.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
106,Red Robin,Cinnamon Sugar Doh! Ring® Shorty,10.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
107,Red Robin,Freckled Lemonade® Cake,11.99,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
108,Red Robin,Gooey Chocolate Brownie Cake,10.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
109,Red Robin,Cinnamon Sugar Towering Doh! Rings®,13.19,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
110,Red Robin,Get Saucy!,0.00,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
111,Red Robin,Steak Fries,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
112,Red Robin,Garlic Fries,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
113,Red Robin,Garlic Parmesan Broccoli,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
114,Red Robin,Coleslaw,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
115,Red Robin,Steamed Broccoli,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
116,Red Robin,Yukon Chips,3.59,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
117,Red Robin,Sweet Potato Fries,4.79,"27476 Lugonia Ave, Redlands, CA, 92374, US","27476 Lugonia Ave, Redlands, CA, 92374, US",4.6 ,1,0 mi
118,Red Robin,Chocolate Covered Pretzel Milkshake,9.39,"950 Shaw Ave, Clovis, CA, 93612, US","950 Shaw Ave, Clovis, CA, 93612, US",4.4 ,1,0 mi
119,Red Robin,Dr Pepper® Vanilla Cream Soda,5.99,"950 Shaw Ave, Clovis, CA, 93612, US","950 Shaw Ave, Clovis, CA, 93612, US",4.4 ,1,0 mi
120,Red Robin,Desert Pear Cream Soda,5.99,"950 Shaw Ave, Clovis, CA, 93612, US","950 Shaw Ave, Clovis, CA, 93612, US",4.4 ,1,0 mi
121,Red Robin,Candied Orange Cream Soda,5.99,"950 Shaw Ave, Clovis, CA, 93612, US","950 Shaw Ave, Clovis, CA, 93612, US",4.4 ,1,0 mi
122,Red Robin,Raspberry Cream Soda,5.99,"950 Shaw Ave, Clovis, CA, 93612, US","950 Shaw Ave, Clovis, CA, 93612, US",4.4 ,1,0 mi
