,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,TGI Friday,8 Traditional Wings,15.97,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
1,TGI Friday,Fridays Signature Whiskey-Glaze Sesame Chicken Strips,18.62,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
2,TGI Friday,Loaded Potato Skins,18.16,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
3,TGI Friday,12 Boneless Wings,18.96,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
4,TGI Friday,Spinach Artichoke Dip,17.70,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
5,TGI Friday,Mega Loaded Queso Fries,18.16,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
6,TGI Friday,12 Traditional Wings,21.72,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
7,TGI Friday,18 Boneless Wings,24.83,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
8,TGI Friday,16 Traditional Wings,25.86,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
9,TGI Friday,24 Boneless Wings,29.31,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
10,TGI Friday,Fridays Combo,23.68,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
11,TGI Friday,Mozzarella Sticks,15.17,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
12,TGI Friday,Pan-Seared Pot Stickers,17.12,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
13,TGI Friday,Truffle Tot-Chos,13.67,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
14,TGI Friday,Loaded Cheddar Poblano Queso,11.49,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
15,TGI Friday,Margarita Shrimp Cocktail,14.02,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
16,TGI Friday,NEW! 12 oz New York Strip,31.04,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
17,TGI Friday,NEW! Two 5 oz Grilled Chicken Breasts,19.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
18,TGI Friday,Fridays Feast Pick 2,28.51,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
19,TGI Friday,Fridays Feast Pick 3,31.96,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
20,TGI Friday,Fridays Big Ribs Apple Butter BBQ,36.79,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
21,TGI Friday,Fridays Big Ribs Whiskey-Glaze,36.79,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
22,TGI Friday,Half Rack of Fridays Big Ribs Apple Butter BBQ,25.29,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
23,TGI Friday,Half Rack of Fridays Big Ribs Whiskey-Glaze,25.29,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
24,TGI Friday,NEW! Dragon Glazed Salmon,25.29,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
25,TGI Friday,Simply Grilled Salmon,25.29,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
26,TGI Friday,New! 8oz Sirloin,27.59,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
27,TGI Friday,Crispy Chicken Fingers,0.00,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
28,TGI Friday,Sizzling Chicken &amp; Shrimp,29.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
29,TGI Friday,Cajun Shrimp &amp; Chicken Pasta,25.63,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
30,TGI Friday,Fried Shrimp,24.83,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
31,TGI Friday,Fish &amp; Chips,18.96,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
32,TGI Friday,Al Pastor Bowl,19.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
33,TGI Friday,Cheeseburger,16.09,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
34,TGI Friday,Fridays Signature Whiskey-Glaze Burger,20.11,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
35,TGI Friday,The Beyond Meat Cheeseburger,22.18,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
36,TGI Friday,New! Truffle Mushroom Swiss Burger,18.73,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
37,TGI Friday,New! Philly Cheesesteak,20.11,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
38,TGI Friday,Fridays Signature Whiskey-Glaze Chicken Sandwich,18.85,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
39,TGI Friday,New! Crispy Chicken Sandwich,14.94,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
40,TGI Friday,New! Whiskey-Glaze Chicken Slammers,18.62,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
41,TGI Friday,New! Buffalo Chicken Slammers,18.62,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
42,TGI Friday,Million Dollar Cobb,19.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
43,TGI Friday,Candied Pecan Chicken Bowl,19.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
44,TGI Friday,Thai Mango Salad,19.54,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
45,TGI Friday,White Cheddar Broccoli Cheese Soup,9.53,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
46,TGI Friday,Caesar Salad with Chicken,16.99,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
47,TGI Friday,Brownie Obsession,11.37,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
48,TGI Friday,Kid's Cup of Dirt,3.67,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
49,TGI Friday,New York Cheesecake,10.80,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
50,TGI Friday,Kid's Crispy Chicken Fingers,7.58,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
51,TGI Friday,Kid's Cheddar Mac &amp; Cheese,7.46,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
52,TGI Friday,Kids Cheeseburger,7.58,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
53,TGI Friday,Kid's Marinara Pasta,7.23,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
54,TGI Friday,Kid's Buttered Pasta,7.23,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
55,TGI Friday,Loaded Mashed Potatoes,6.43,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
56,TGI Friday,Choice of Sauce (2 oz),0.80,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
57,TGI Friday,Seasoned Fries,2.79,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
58,TGI Friday,NEW! 4 Cheese Mac &amp; Cheese,8.04,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
59,TGI Friday,Giant Onion Rings,6.19,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
60,TGI Friday,Basket of Breadsticks,4.47,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
61,TGI Friday,Mashed Potatoes,4.59,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
62,TGI Friday,Garlic-Butter Broccoli &amp; Cheese,4.99,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
63,TGI Friday,Garlic-Butter Broccoli,3.99,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
64,TGI Friday,Side of Slaw,4.59,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
65,TGI Friday,Jasmine Rice Pilaf,4.19,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
66,TGI Friday,Caesar Salad,8.84,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
67,TGI Friday,House Salad,8.84,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
68,TGI Friday,Krispy Chicken Gyoza 4pc,8.50,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
69,TGI Friday,Krispy Fried Shrimp,10.50,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
70,TGI Friday,California Roll 8pc,11.00,"4701 Firestone Blvd, South Gate, CA, 90280, US","4701 Firestone Blvd, South Gate, CA, 90280, US",4.3 ,2,0 mi
