menu_item,menu_item_price,menu_item_calories,restaurant_address
5 Piece Nashville Hot Hand-Breaded Chicken Tender Platter,5.49,670,"100 vandora springs rd., garner, nc, 27529, us"
Mushroom &amp; Swiss,6.09,560,"100 vandora springs rd., garner, nc, 27529, us"
5 Piece Hand-Breaded Chicken Tender Platter,5.49,670,"100 vandora springs rd., garner, nc, 27529, us"
Super Star,6.99,950,"100 vandora springs rd., garner, nc, 27529, us"
Frisco Burger,6.49,860,"100 vandora springs rd., garner, nc, 27529, us"
Double Frisco Burger,7.99,1140,"100 vandora springs rd., garner, nc, 27529, us"
Monster,8.99,1140,"100 vandora springs rd., garner, nc, 27529, us"
Bacon Cheeseburger,6.59,740,"100 vandora springs rd., garner, nc, 27529, us"
Double Bacon Cheeseburger,8.09,1010,"100 vandora springs rd., garner, nc, 27529, us"
Mushroom &amp; Swiss,6.09,560,"100 vandora springs rd., garner, nc, 27529, us"
Double Mushroom &amp; Swiss,7.59,790,"100 vandora springs rd., garner, nc, 27529, us"
Big Cheeseburger,4.49,540,"100 vandora springs rd., garner, nc, 27529, us"
Double Big Cheeseburger,5.99,760,"100 vandora springs rd., garner, nc, 27529, us"
Small Hamburger,2.49,250,"100 vandora springs rd., garner, nc, 27529, us"
Small Cheeseburger,2.79,300,"100 vandora springs rd., garner, nc, 27529, us"
5 Piece Hand-Breaded Chicken Tender Platter,5.79,670,"10005 dorchester rd., summerville, sc, 29485, us"
Super Star,7.79,950,"10005 dorchester rd., summerville, sc, 29485, us"
Frisco Burger,6.39,860,"10005 dorchester rd., summerville, sc, 29485, us"
Double Frisco Burger,7.69,1140,"10005 dorchester rd., summerville, sc, 29485, us"
Monster,9.59,1140,"10005 dorchester rd., summerville, sc, 29485, us"
Bacon Cheeseburger,6.69,740,"10005 dorchester rd., summerville, sc, 29485, us"
Double Bacon Cheeseburger,8.19,1010,"10005 dorchester rd., summerville, sc, 29485, us"
Mushroom &amp; Swiss,6.09,560,"10005 dorchester rd., summerville, sc, 29485, us"
Double Mushroom &amp; Swiss,7.39,790,"10005 dorchester rd., summerville, sc, 29485, us"
Big Cheeseburger,3.89,540,"10005 dorchester rd., summerville, sc, 29485, us"
Double Big Cheeseburger,7.39,760,"10005 dorchester rd., summerville, sc, 29485, us"
Famous Star,5.49,670,"101 village road ne, leland, nc, 28451, us"
Mushroom &amp; Swiss,6.09,560,"101 village road ne, leland, nc, 28451, us"
5 Piece Hand-Breaded Chicken Tender Platter,5.49,670,"101 village road ne, leland, nc, 28451, us"
Super Star,6.99,950,"101 village road ne, leland, nc, 28451, us"
Frisco Burger,6.49,860,"101 village road ne, leland, nc, 28451, us"
Double Frisco Burger,7.99,1140,"101 village road ne, leland, nc, 28451, us"
Monster,8.99,1140,"101 village road ne, leland, nc, 28451, us"
Bacon Cheeseburger,6.59,740,"101 village road ne, leland, nc, 28451, us"
Double Bacon Cheeseburger,8.09,1010,"101 village road ne, leland, nc, 28451, us"
Mushroom &amp; Swiss,6.09,560,"101 village road ne, leland, nc, 28451, us"
Double Mushroom &amp; Swiss,7.59,790,"101 village road ne, leland, nc, 28451, us"
Big Cheeseburger,4.49,540,"101 village road ne, leland, nc, 28451, us"
Double Big Cheeseburger,5.99,760,"101 village road ne, leland, nc, 28451, us"
