,restaurant_name,menu_item,menu_item_price,restaurant_location,inputted_location,restaurant_rating,number_of_ratings,restaurant_distance
0,Big Mouth Burgers,Shake,8.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
1,Big Mouth Burgers,The Giants Burger,18.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
2,Big Mouth Burgers,The Hangover Burger,18.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
3,Big Mouth Burgers,Big Mouth Burger,15.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
4,Big Mouth Burgers,The Turkey Burger,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
5,Big Mouth Burgers,Jalapeno Burger,18.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
6,Big Mouth Burgers,The Hawaiian Burger,16.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
7,Big Mouth Burgers,"The Beyond Burger,Gluten Free",17.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
8,Big Mouth Burgers,The Garden Burger,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
9,Big Mouth Burgers,Salmon Burger,17.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
10,Big Mouth Burgers,Blue Cheeseburger,16.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
11,Big Mouth Burgers,Fish and Chips,18.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
12,Big Mouth Burgers,The 49er,16.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
13,Big Mouth Burgers,The Original Cheese Steak,15.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
14,Big Mouth Burgers,The Warriors Burger,18.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
15,Big Mouth Burgers,Falafel Burger,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
16,Big Mouth Burgers,The Texan Burger,15.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
17,Big Mouth Burgers,The Californian Burger,15.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
18,Big Mouth Burgers,New Orleans Burger,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
19,Big Mouth Burgers,Greek Salad,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
20,Big Mouth Burgers,Caesar Salad,14.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
21,Big Mouth Burgers,Oriental Chicken Salad,17.95,"3392 24th St, San Francisco, CA, 94110, US","1 Frank H. Ogawa Plaza, Oakland, CA 94612",4.3 ,26,8.9 mi
