street,city,state,zip,restaurant,street_uber,,
1541 east 12th street, oakland, ca,94606,Burger King,1541 East 12th Street,,
4424 broadway, oakland, ca,94611,Burger King,4424 Broadway,,
5701 christie avenue, emeryville, ca,94608,Burger King,5701 Christie Avenue,,
4200 east 14th street, oakland, ca,94601,Burger King,4200 International Blvd.,,
7200 bancroft road, oakland, ca,94605,Burger King,7200 Bancroft Road,,
3996 washington boulevard, fremont, ca,94538,Burger King,3996 Washington Boulevard,,
1801 decoto road, union city, ca,94587,Burger King,1801 Decoto Road,,
34943, newark, ca,94560,Burger King,34943 Newark Boulevard,,
46700 mission boulevard, fremont, ca,94539,Burger King,46700 Mission Boulevard,,
31361 alavarado niles road, union city, ca,94587,Burger King,31361 Alavarado Niles Road,,
29671 mission blvd., hayward, ca,94544,Burger King,29671 Mission Blvd.,,
2757, castro valley, ca,94546,Burger King,2757 Castro Valley Boulevard,,
950 west a street, hayward, ca,94541,Burger King,950 West A Street,,
26251 hesperian boulevard, hayward, ca,94545,Burger King,26251 Hesperian Boulevard,,
15050 e. 14th street, san leandro, ca,94578,Burger King,15050 E. 14th Street,,
3399 port chicago hwy, concord, ca,94520,Burger King,3399 Port Chicago Hwy,,
4320 clayton road, concord, ca,94521,Burger King,4320 Clayton Road,,
677 contra costa boulevard, pleasant hill, ca,94523,Burger King,677 Contra Costa Boulevard,,
5400 ygnacio valley road, concord, ca,94521,Burger King,5400 Ygnacio Valley Road,,
2855 north main street, walnut creek, ca,94597,Burger King,2855 North Main Street,,
604 bailey rd, bay point, ca,94565,Burger King,604 Bailey Rd,,
2410 north cedar, fresno, ca,93703,Burger King,2410 North Cedar,,
3482 west shaw road, fresno, ca,93711,Burger King,3482 West Shaw Road,,
1233, fresno, ca,93706,Burger King,1233 Fresno Street,,
2755 n blackstone ave, fresno, ca,93703,Burger King,2755 N Blackstone Ave,,
3782 north blackstone ave, fresno, ca,93726,Burger King,2755 N Blackstone Ave,,
3405 union ave, bakersfield, ca,93305,Burger King,3405 Union Ave,,
2508 white lane, bakersfield, ca,93304,Burger King,2508 White Lane,,
8200 stockdale hwy, bakersfield, ca,93309,Burger King,8200 Stockdale Hwy,,
6217 niles street, bakersfield, ca,93306,Burger King,6217 Niles Street,,
7990 white lane, bakersfield, ca,93309,Burger King,7990 White Lane,,
1501 west 6th street, los angeles, ca,90017,Burger King,1501 W 6th St,,
1845 s. vermont ave., los angeles, ca,90006,Burger King,1845 S. Vermont Ave.,,
1540 north eastern avenue, los angeles, ca,90063,Burger King,1540 North Eastern Avenue,,
4410 south figueroa street, los angeles, ca,90037,Burger King,4410 South Figueroa Street,,
3101 north san fernando road, los angeles, ca,90065,Burger King,3101 North San Fernando Road,,
865 west sepulveda boulevard, torrance, ca,90502,Burger King,865 West Sepulveda Boulevard,,
20950 figueroa street, carson, ca,90745,Burger King,20950 Figueroa Street,,
7957 imperial highway, downey, ca,90242,Burger King,7957 Imperial Highway,,
2955 north bellflower boulevard, long beach, ca,90815,Burger King,2955 North Bellflower Boulevard,,
24530 lyons avenue, newhall, ca,91321,Burger King,24530 Lyons Avenue,,
2008 glenoaks boulevard, san fernando, ca,91340,Burger King,2008 Glenoaks Boulevard,,
12781 van nuys boulevard, pacoima, ca,91331,Burger King,12781 Van Nuys Boulevard,,
9025 balboa, northridge, ca,91325,Burger King,9025 Balboa,,
969 east francisco blvd., san rafael, ca,94901,Burger King,969 East Francisco Blvd.,,
550 cutting boulevard, richmond, ca,94804,Burger King,550 Cutting Boulevard,,
1300 mcdonald avenue, richmond, ca,94801,Burger King,1300 Mcdonald Avenue,,
5304 old redwood highway, petaluma, ca,94954,Burger King,5304 Old Redwood Highway,,
701 north main street, santa ana, ca,92701,Burger King,701 North Main Street,,
3332 south bristol street, santa ana, ca,92704,Burger King,2850 South Bristol Street,,
1201 south, anaheim, ca,92805,Burger King,1201 South Anaheim Blvd,,
2210 e lincoln ave, anaheim, ca,92806,Burger King,2210 E Lincoln Ave,,
1329 south harbor boulevard, fullerton, ca,92832,Burger King,814 N Brookhurst St,,
1300 east, roseville, ca,95661,Burger King,1300 East Roseville Parkway,,
7760 sunrise blvd, citrus heights, ca,95610,Burger King,7760 Sunrise Blvd,,
5869 antelope rd, sacramento, ca,95621,Burger King,5869 Antelope Rd,,
7899 walerga rd, antelope, ca,95843,Burger King,5869 Antelope Rd,,
2905 bell rd, auburn, ca,95603,Burger King,2905 Bell Rd,,
2167 university avenue, riverside, ca,92507,Burger King,2167 University Avenue,,
6835 valley way, riverside, ca,92509,Burger King,6835 Valley Way,,
