location,restaurant,address
"2200 otis drive, alameda, ca, 94501, us",Burger King,"2200 Otis Drive, ALAMEDA, CA 94501-5730"
"620 w foothill blvd, rialto, ca, 92376, us",Carls Jr,"620 W Foothill Blvd, Rialto, CA 92376"
"172 bernal rd, san jose, ca, 95139, us",Carls Jr,"172 Bernal Rd, San Jose, CA 95139"
"516 north beaudry avenue, los angeles, ca, 90012, us",Jack in the Box,"516 North Beaudry Avenue, Los Angeles, CA 90012"
"24820 pico canyon road, santa clarita, ca, 91381, us",Jack in the Box,"24820 Pico Canyon Road, Santa Clarita, CA 91381"
"18955 west soledad cyn road, canyon country, ca, 91351, us",Jack in the Box,"18525 Via Princessa, Santa Clarita, CA 91387"
"3521 central ave, riverside, ca, 92506, us",Jack in the Box,"3521 Central Ave, Riverside, CA 92506"
"12440 amargosa rd., victorville, ca, 92392, us",Jack in the Box,"12440 Amargosa Rd., Victorville, CA 92392"
"1778 e. shaw, fresno, ca, 93710, us",Wendy,"1778 E. Shaw, Fresno, CA 93710"
"8600 curbaril ave, atascadero, ca, 93422, us",Wendy,"8600 Curbaril Ave, Atascadero, CA 93422"
"3450 w monte vista ave, turlock, ca, 95380, us",Wendy,"3450 W Monte Vista Ave, Turlock, CA 95380"
"1640 e monte vista ave, vacaville, ca, 95688, us",The Habit Burger & Grill,"1640 E Monte Vista Ave, Vacaville, CA 95688"
"2120 california ave, sand city, ca, 93955, us",The Habit Burger & Grill,"2120 California Ave, Sand City, CA 93955"
"1413 north h street, lompoc, ca, 93436, us",The Habit Burger & Grill,"1413 North H Street, Lompoc, CA 93436"
"888 embarcadero del norte, isla vista, ca, 93117, us",The Habit Burger & Grill,"888 Embarcadero Del Norte, Isla Vista, CA 93117"
"2267 s el camino real, oceanside, ca, 92054, us",The Habit Burger & Grill,"2267 S El Camino Real, Oceanside, CA 92054"
"1602 north main st, salinas, ca, 93906, us",The Habit Burger & Grill,"1602 North Main St, Salinas, CA 93906"
"839 higuera st, san luis obispo, ca, 93401, us",The Habit Burger & Grill,"839 Higuera St, San Luis Obispo, CA 93401"
"933 pleasant grove blvd, roseville, ca, 95678, us",The Habit Burger & Grill,"933 Pleasant Grove Blvd, Roseville, CA 95678"
"1801 mchenry ave, modesto, ca, 95350, us",The Habit Burger & Grill,"1801 Mchenry Ave , Modesto, CA 95350"
"445 hacienda drive, vista, ca, 92081, us",The Habit Burger & Grill,"445 Hacienda Drive, Vista, CA 92081"
"11608 amargosa rd, victorville, ca, 92392, us",The Habit Burger & Grill,"11608 Amargosa Rd, Victorville, CA 92392"
"628 state street, santa barbara, ca, 93101, us",The Habit Burger & Grill,"628 State Street, Santa Barbara, CA 93101"
"1425 ary ln, dixon, ca, 95620, us",The Habit Burger & Grill,"1425 Ary Ln, Dixon, CA 95620"
"1731 w lacey blvd, hanford, ca, 93230, us",The Habit Burger & Grill,"1731 W Lacey Blvd, Hanford, CA 93230"
"3890 la cumbre plaza lane, santa barbara, ca, 93105, us",The Habit Burger & Grill,"3890 La Cumbre Plaza Lane, Santa Barbara, CA 93105"
"487 e thompson blvd, ventura, ca, 93001, us",The Habit Burger & Grill,"487 E Thompson Blvd, Ventura, CA 93001"
"985 betteravia road, santa maria, ca, 93454, us",The Habit Burger & Grill,"985 Betteravia Road, Santa Maria, CA 93454"
"32185 union landing boulevard, union city, ca, 94587, us",The Habit Burger & Grill,"32185 Union Landing Boulevard, Union City, CA 94587"
"496 las gallinas avenue, san rafael, ca, 94903, us",The Habit Burger & Grill,"496 Las Gallinas Avenue, San Rafael, CA 94903"
"344 west el monte way, dinuba, ca, 93618, us",The Habit Burger & Grill,"344 West El Monte Way, Dinuba, CA 93618"
"36350 hidden springs rd, wildomar, ca, 92595, us",The Habit Burger & Grill,"36350 Hidden Springs Rd, Wildomar, CA 92595"
"924 diablo ave, novato, ca, 94947, us",The Habit Burger & Grill,"924 Diablo Ave, Novato, CA 94947"
"1195 herndon ave, clovis, ca, 93612, us",The Habit Burger & Grill,"1195 Herndon Ave, Clovis, CA 93612"
"216 south milpas street, santa barbara, ca, 93103, us",The Habit Burger & Grill,"216 South Milpas Street, Santa Barbara, CA 93103"
"43830 pacific commons blvd, fremont, ca, 94538, us",The Habit Burger & Grill,"43830 Pacific Commons Blvd, Fremont, CA 94538"
"770 otay lakes road, chula vista, ca, 91910, us",The Habit Burger & Grill,"770 Otay Lakes Road, Chula Vista, CA 91910"
"1870 rancho del oro drive, oceanside, ca, 92057, us",The Habit Burger & Grill,"1870 Rancho Del Oro Drive, Oceanside, CA 92057"
"4732 telephone rd, ventura, ca, 93003, us",The Habit Burger & Grill,"4732 Telephone Rd, Ventura, CA 93003"
"3110 e floral ave, selma, ca, 93662, us",The Habit Burger & Grill,"3110 E Floral Ave, Selma, CA 93662"
"2671 countryside dr, turlock, ca, 95380, us",The Habit Burger & Grill,"2671 Countryside Dr, Turlock, CA 95380"
