,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
0,McDonald,"1330 jackson st, oakland, ca, 94612, us",6.79,3.49,2.89,12.59,4.69,2.09,3.19,46,135,4.600000000000001,100+,6.780074074074074,1,1,1,0,ca,94612,Alameda,1
1,McDonald,"800 market st, oakland, california 94607, oakland, ca, 94607-3116, us",7.39,3.49,4.19,12.59,4.89,1.99,2.99,36,137,4.200000000000001,95,5.579927007299269,1,1,1,0,ca,94607,Alameda,1
2,McDonald,"4514 telegraph ave, oakland, ca, 94609, us",7.39,3.49,4.19,12.59,4.89,1.99,2.99,36,136,4.5,100+,5.542058823529412,1,1,1,0,ca,94609,Alameda,1
3,McDonald,"715 central ave, alameda, ca, 94501, us",6.89,3.79,3.59,12.79,4.79,2.09,3.19,41,131,5.0,46,6.939618320610687,1,1,1,0,ca,94501,Alameda,1
4,McDonald,"6623 san pablo ave, oakland, ca, 94608, us",7.39,3.49,4.19,12.59,4.59,1.99,2.99,33,127,4.399999999999998,77,5.153228346456693,1,1,1,0,ca,94608,Alameda,1
5,McDonald,"2520 e 12th st, oakland, ca, 94601, us",7.19,3.99,3.59,12.29,5.19,2.19,3.79,46,139,4.3999999999999995,100+,5.873741007194245,1,1,1,0,ca,94601,Alameda,1
6,McDonald,"38860, fremont, ca, 94536, us",7.59,3.79,3.49,12.19,4.99,2.03,3.19,36,121,4.700000000000001,48,5.942396694214877,1,1,1,0,ca,94536,Alameda,1
7,McDonald,"40708 grimmer blvd, fremont, ca, 94538-2845, us",7.59,3.79,3.49,12.19,4.99,2.03,3.19,41,127,4.5,43,5.902204724409449,1,1,1,0,ca,94538,Alameda,1
8,McDonald,"4318 thornton ave, fremont, ca, 94536, us",6.99,4.09,3.49,12.19,4.99,2.19,3.39,48,132,4.600000000000001,30,7.1872727272727275,1,1,1,0,ca,94536,Alameda,1
9,McDonald,"3000 newpark mall rd, newark, ca, 94560, us",6.99,4.09,3.49,12.19,4.99,2.19,3.39,49,133,4.699999999999999,79,7.17751879699248,1,1,1,0,ca,94560,Alameda,1
10,McDonald,"3990 decoto rd, fremont, ca, 94536, us",9.29,3.89,3.36,14.7,6.19,2.28,2.95,43,126,4.5,37,6.371190476190476,1,1,1,0,ca,94536,Alameda,1
11,McDonald,"27 union square, union city, ca, 94587, us",9.29,4.03,3.63,14.7,6.19,2.28,2.95,37,119,4.799999999999996,35,6.474117647058824,1,1,1,0,ca,94587,Alameda,1
12,McDonald,"23989 watkins st, hayward, ca, 94544-1028, us",6.89,3.79,3.59,12.79,4.79,2.09,3.19,42,132,3.6999999999999993,35,6.928636363636363,1,1,1,0,ca,94544,Alameda,1
13,McDonald,"355 w a st, hayward, ca, 94541, us",6.89,3.79,3.59,12.79,4.79,2.09,3.19,42,128,4.6,43,7.023593750000002,1,1,1,0,ca,94541,Alameda,1
