,restaurant_name,restaurant_location,specialty_item,cheeseburger,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,hamburger,wave,uber_eats,fast_food,small,state,zip,ca,county_name
0,Denny,"1776 powell street, emeryville, ca, 94608, us",17.56,16.73,5.18,4.35,6.33,117,519,4.3,91,11.578420038535647,,1,1,0,0,ca,94608,1,Alameda
1,Denny,"1803 marina blvd, san leandro, ca, 94577, us",19.12,17.56,5.81,4.56,7.16,42,208,3.600000000000001,25,12.638173076923078,,1,1,0,0,ca,94577,1,Alameda
2,Denny,"15015 freedom ave, san leandro, ca, 94578, us",19.12,17.56,5.81,4.56,7.16,42,208,4.3999999999999995,29,12.638173076923078,,1,1,0,0,ca,94578,1,Alameda
3,Denny,"2526, san pablo, ca, 94806, us",17.98,17.77,5.08,4.56,6.95,172,720,4.5,39,11.542666666666666,,1,1,0,0,ca,94806,1,Contra Costa
4,Denny,"11344 san pablo ave, el cerrito, ca, 94530, us",18.29,16.83,5.5,4.35,6.85,48,208,3.899999999999999,21,12.082403846153845,,1,1,0,0,ca,94530,1,Contra Costa
5,Denny,"25010 hesperian boulevard, hayward, ca, 94545, us",17.46,16.73,5.18,4.35,6.33,175,737,4.799999999999999,40,11.538453188602443,,1,1,0,0,ca,94545,1,Alameda
6,Denny,"5280 mowry ave., fremont, ca, 94538, us",17.46,16.73,5.18,4.35,6.33,75,317,4.8,61,11.546088328075708,,1,1,0,0,ca,94538,1,Alameda
7,Denny,"30163 industrial, hayward, ca, 94544, us",17.46,16.73,5.18,4.35,6.33,125,525,4.299999999999999,41,11.513523809523809,,1,1,0,0,ca,94544,1,Alameda
8,Denny,"333 s abbott ave, milpitas, ca, 95035, us",16.89,16.49,4.89,4.39,6.69,60,198,4.851515151515151,25,10.985959595959597,,1,1,0,0,ca,95035,1,Santa Clara
9,Denny,"5331 hopyard road, pleasanton, ca, 94588, us",17.56,16.73,5.18,4.35,6.33,48,206,4.299999999999999,25,11.497864077669902,,1,1,0,0,ca,94588,1,Alameda
10,Denny,"3020 west jack london boulevard, pleasanton, ca, 94588, us",17.56,16.73,5.18,4.35,6.33,24,104,4.299999999999999,10,11.633076923076924,,1,1,0,0,ca,94588,1,Alameda
11,Denny,"1313 willow pass rd, concord, ca, 94520, us",18.7,17.25,5.6,4.46,7.06,66,296,4.5,20,12.447162162162162,,1,1,0,0,ca,94520,1,Contra Costa
12,Denny,"2006 somersville rd, antioch, ca, 94509, us",17.46,16.73,5.18,4.35,6.33,25,105,4.299999999999999,34,11.513523809523813,,1,1,0,0,ca,94509,1,Contra Costa
13,Denny,"612 contra costa blvd., pleasant hill, ca, 94523, us",17.35,17.46,5.29,4.66,6.64,27,104,4.6000000000000005,12,11.675961538461538,,1,1,0,0,ca,94523,1,Contra Costa
14,Denny,"4823 lone tree way, antioch, ca, 94531, us",17.46,16.73,5.18,4.35,6.33,25,105,4.299999999999999,40,11.51352380952381,,1,1,0,0,ca,94531,1,Contra Costa
15,Denny,"250 fairgrounds dr, vallejo, ca, 94589, us",18.7,17.25,5.6,4.46,7.06,86,376,4.700000000000001,22,12.089255319148934,,1,1,0,0,ca,94589,1,Solano
16,Denny,"3120 n blackstone ave, fresno, ca, 93703, us",16.73,16.42,5.29,4.46,6.74,28,105,4.200000000000001,29,11.25561904761905,,1,1,0,0,ca,93703,1,Fresno
17,Denny,"2568 s east ave, fresno, ca, 93706, us",17.04,16.21,5.29,4.46,6.74,25,105,4.399999999999999,35,11.24542857142857,,1,1,0,0,ca,93706,1,Fresno
18,Denny,"710 west shaw avenue, clovis, ca, 93612, us",16.73,16.42,5.29,4.46,6.74,27,96,4.0,20,11.277812500000001,,1,1,0,0,ca,93612,1,Fresno
19,Denny,"1110 e shaw ave, fresno, ca, 93710, us",16.09,15.79,5.09,4.29,6.49,34,105,3.7999999999999994,25,10.827142857142857,,1,1,0,0,ca,93710,1,Fresno
20,Denny,"1121 n parkway dr, fresno, ca, 93728, us",16.09,15.79,5.09,4.29,6.49,34,105,4.299999999999999,20,10.827142857142857,,1,1,0,0,ca,93728,1,Fresno
21,Denny,"530 south clovis ave., fresno, ca, 93727, us",16.73,16.42,5.29,4.46,6.74,28,101,4.5,37,11.06970297029703,,1,1,0,0,ca,93727,1,Fresno
22,Denny,"2627 buck owens blvd, bakersfield, ca, 93308, us",16.42,14.75,5.08,4.46,,46,172,4.3,33,10.160465116279068,,1,1,0,0,ca,93308,1,Kern
23,Denny,"2851 white lane, bakersfield, ca, 93304, us",16.73,15.38,5.08,4.46,6.43,24,102,4.399999999999998,40,10.722058823529412,,1,1,0,0,ca,93304,1,Kern
24,Denny,"2684 mt. vernon ave, bakersfield, ca, 93306, us",16.73,15.58,5.18,,6.43,24,101,3.899999999999998,31,11.02059405940594,,1,1,0,0,ca,93306,1,Kern
25,Denny,"8710 rosedale hwy, bakersfield, ca, 93312, us",16.73,16.42,5.29,4.46,6.74,27,104,4.700000000000001,21,11.327019230769231,,1,1,0,0,ca,93312,1,Kern
26,Denny,"35175 7th standard road, bakersfield, ca, 93308, us",16.73,15.58,5.18,4.56,6.43,23,102,4.5,11,11.0643137254902,,1,1,0,0,ca,93308,1,Kern
27,Denny,"888 s figueroa st, los angeles, ca, 90017, us",18.79,17.29,6.39,5.39,7.49,26,105,4.299999999999999,103,12.023333333333333,,1,1,0,0,ca,90017,1,Los Angeles
28,Denny,"3060 n san fernando rd, los angeles, ca, 90065, us",16.73,15.58,5.08,4.46,,26,103,4.5,63,11.072038834951456,,1,1,0,0,ca,90065,1,Los Angeles
29,Denny,"6040 york boulevard, los angeles, ca, 90042, us",17.09,16.59,4.89,4.39,6.69,36,105,4.600000000000001,99,11.018571428571427,,1,1,0,0,ca,90042,1,Los Angeles
