,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,drink,dessert,four_to_six,number_of_items,average_rating,number_of_ratings,average_menu_price,wave,uber_eats,fast_food,small,state,zip,county_name,ca
0,McDonald,"18515 media drive, robertsdale, al, 36567, us",6.49,2.39,2.39,10.19,3.49,2.19,2.29,31,121,4.700000000000001,18,5.361157024793389,1,1,1,0,al,36567,Baldwin,0
1,McDonald,"29138 highway 98, daphne, al, 36526, us",6.09,2.99,2.49,10.49,3.89,2.29,2.49,18,116,4.299999999999999,15,5.63293103448276,1,1,1,0,al,36526,Baldwin,0
2,McDonald,"1501 5th avenue s, birmingham, al, 35233, us",5.99,2.94,2.84,10.59,3.69,,2.29,22,121,4.100000000000001,50+,5.333388429752065,1,1,1,0,al,35233,Jefferson,0
3,McDonald,"801 dennison ave, birmingham, al, 35211, us",5.49,2.89,2.69,10.11,4.39,2.19,2.09,26,119,3.8999999999999977,47,5.100252100840336,1,1,1,0,al,35211,Jefferson,0
4,McDonald,"1309 forestdale blvd, birmingham, al, 35214, us",6.39,4.19,2.49,10.29,3.69,2.69,2.79,24,128,4.200000000000001,50+,5.700390625,1,1,1,0,al,35214,Jefferson,0
5,McDonald,"2733 8th ave, birmingham, al, 35233, us",5.49,2.89,2.69,9.68,4.59,2.59,2.09,22,124,3.7999999999999994,50+,4.980806451612903,1,1,1,0,al,35233,Jefferson,0
6,McDonald,"4625 hwy 280 s, birmingham, al, 35242, us",6.79,4.59,2.49,10.29,3.49,2.69,2.59,27,126,4.200000000000003,50+,5.786269841269841,1,1,1,0,al,35242,Shelby,0
7,McDonald,"5904 highway 53, harvest, al, 35749, us",,,,,,2.39,1.99,25,137,4.299999999999999,19,3.9371532846715334,1,1,1,0,al,35749,Madison,0
8,McDonald,"2704 s memorial parkway, huntsville, al, 35801, us",,,,,,2.39,2.09,48,136,3.899999999999999,40,4.636764705882352,1,1,1,0,al,35801,Madison,0
9,McDonald,"2600 n memorial pky, huntsville, al, 35810, us",,,,,,2.39,2.09,48,135,3.899999999999998,68,4.656370370370371,1,1,1,0,al,35810,Madison,0
10,McDonald,"7749 moffett rd, mobile, al, 36618, us",5.49,2.39,2.19,9.59,3.59,2.05,1.99,17,115,3.7999999999999994,11,4.825304347826085,1,1,1,0,al,36618,Mobile,0
11,McDonald,"658 government st, mobile, al, 36602, us",5.69,2.91,2.73,9.39,3.19,2.19,2.49,34,104,3.899999999999999,36,5.041730769230768,1,1,1,0,al,36602,Mobile,0
12,McDonald,"2701 montgomery st, savannah, ga, 31405, us",5.99,2.19,2.09,10.49,2.99,1.89,1.79,36,121,4.200000000000001,100+,5.14619834710744,1,1,1,0,ga,31405,Chatham,0
13,McDonald,"246 w broughton street, savannah, ga, 31401, us",6.29,2.29,1.99,11.29,3.29,3.39,2.59,30,141,4.6000000000000005,100+,5.398439716312057,1,1,1,0,ga,31401,Chatham,0
14,McDonald,"1 a gateway blvd e, savannah, ga, 31419, us",6.79,2.59,2.29,11.89,3.39,2.09,2.09,38,137,4.299999999999999,12,5.557153284671533,1,1,1,0,ga,31419,Chatham,0
15,McDonald,"12100 hwy 144 e, richmond hill, ga, 31324, us",4.99,3.09,2.69,9.89,4.19,2.49,2.49,24,127,4.700000000000004,20,5.536929133858267,1,1,1,0,ga,31324,Bryan,0
16,McDonald,"4540 ashford, dunwoody, ga, 30346, us",6.09,2.99,2.69,10.39,3.79,2.19,2.69,38,130,4.1000000000000005,60,4.806615384615385,1,1,1,0,ga,30346,DeKalb,0
17,McDonald,"7070 jimmy carter blvd, norcross, ga, 30092, us",5.59,2.29,1.67,9.99,3.0,2.49,1.99,38,242,3.600000000000001,48,4.6513223140495885,1,1,1,0,ga,30092,Gwinnett,0
18,McDonald,"5774 buford highway, doraville, ga, 30340, us",6.79,2.59,2.39,11.39,3.79,1.89,2.19,36,123,4.399999999999999,40,5.785121951219512,1,1,1,0,ga,30340,DeKalb,0
19,McDonald,"4362 roswell rd ne, atlanta, ga, 30342, us",6.35,2.75,2.41,11.03,3.59,2.29,2.29,25,128,4.3999999999999995,157,6.866015625,1,1,1,0,ga,30342,Fulton,0
20,McDonald,"2700 windy hill road southeast, atlanta, ga, 30067, us",5.59,2.59,2.39,9.59,3.69,2.39,2.09,33,114,3.3999999999999986,63,5.529473684210527,1,1,1,0,ga,30067,Cobb,0
21,McDonald,"2964 turner hill rd, lithonia, ga, 30038, us",7.01,2.77,2.55,11.18,3.72,2.59,2.49,23,132,4.0,78,6.086363636363635,1,1,1,0,ga,30038,DeKalb,0
22,McDonald,"2791 panola rd, lithonia, ga, 30035, us",6.82,2.52,2.39,10.6,3.19,2.59,2.59,24,128,4.0,74,6.12859375,1,1,1,0,ga,30035,DeKalb,0
23,McDonald,"1198 south hairston road, redan, ga, 30088, us",6.49,2.79,2.39,11.59,3.99,2.29,2.29,39,125,3.899999999999998,131,5.57008,1,1,1,0,ga,30088,DeKalb,0
24,McDonald,"3460 georgia highway 124, snellville, ga, 30039, us",6.79,2.89,2.39,11.39,3.79,2.49,1.99,36,129,4.199999999999999,131,5.637906976744186,1,1,1,0,ga,30039,Gwinnett,0
25,McDonald,"526 ponce de leon blvd, atlanta, ga, 30308, us",6.19,2.49,2.39,10.99,3.69,2.29,2.29,32,119,4.399999999999999,113,5.6308403361344554,1,1,1,0,ga,30308,Fulton,0
26,McDonald,"2442 martin luther king dr, atlanta, ga, 30311, us",6.69,2.89,2.79,10.45,4.06,2.29,1.99,6,109,3.399999999999998,168,5.234954128440367,1,1,1,0,ga,30311,Fulton,0
27,McDonald,"5710 fulton industrial blvd, atlanta, ga, 30331, us",5.89,2.89,2.89,11.19,3.49,2.59,2.49,17,127,4.399999999999998,64,5.20181102362205,1,1,1,0,ga,30331,Fulton,0
28,McDonald,"5160 s cobb dr, smyrna, ga, 30080, us",6.39,2.92,2.74,11.49,4.39,2.59,2.29,37,129,4.199999999999999,62,5.684961240310078,1,1,1,0,ga,30080,Cobb,0
