,restaurant_name,restaurant_location,specialty_item,cheeseburger,hamburger,combo,fries,state,zip,county_name
0,McDonald,"18515 media drive, robertsdale, al, 36567, us",6.49,2.39,2.39,10.19,3.49,al,36567,Baldwin
1,McDonald,"29138 highway 98, daphne, al, 36526, us",6.09,2.99,2.49,10.49,3.89,al,36526,Baldwin
2,McDonald,"1501 5th avenue s, birmingham, al, 35233, us",5.99,2.94,2.84,10.59,3.69,al,35233,Jefferson
3,McDonald,"801 dennison ave, birmingham, al, 35211, us",5.49,2.89,2.69,10.11,4.39,al,35211,Jefferson
4,McDonald,"1309 forestdale blvd, birmingham, al, 35214, us",6.39,4.19,2.49,10.29,3.69,al,35214,Jefferson
5,McDonald,"2733 8th ave, birmingham, al, 35233, us",5.49,2.89,2.69,9.68,4.59,al,35233,Jefferson
6,McDonald,"4625 hwy 280 s, birmingham, al, 35242, us",6.79,4.59,2.49,10.29,3.49,al,35242,Shelby
7,McDonald,"5904 highway 53, harvest, al, 35749, us",,,,,,al,35749,Madison
8,McDonald,"2704 s memorial parkway, huntsville, al, 35801, us",,,,,,al,35801,Madison
9,McDonald,"2600 n memorial pky, huntsville, al, 35810, us",,,,,,al,35810,Madison
10,McDonald,"7749 moffett rd, mobile, al, 36618, us",5.49,2.39,2.19,9.59,3.59,al,36618,Mobile
11,McDonald,"658 government st, mobile, al, 36602, us",5.69,2.91,2.73,9.39,3.19,al,36602,Mobile
12,McDonald,"2701 montgomery st, savannah, ga, 31405, us",5.99,2.19,2.09,10.49,2.99,ga,31405,Chatham
13,McDonald,"246 w broughton street, savannah, ga, 31401, us",6.29,2.29,1.99,11.29,3.29,ga,31401,Chatham
14,McDonald,"1 a gateway blvd e, savannah, ga, 31419, us",6.79,2.59,2.29,11.89,3.39,ga,31419,Chatham
15,McDonald,"12100 hwy 144 e, richmond hill, ga, 31324, us",4.99,3.09,2.69,9.89,4.19,ga,31324,Bryan
16,McDonald,"4540 ashford, dunwoody, ga, 30346, us",6.09,2.99,2.69,10.39,3.79,ga,30346,DeKalb
17,McDonald,"7070 jimmy carter blvd, norcross, ga, 30092, us",5.59,2.29,1.67,9.99,3.0,ga,30092,Gwinnett
18,McDonald,"5774 buford highway, doraville, ga, 30340, us",6.79,2.59,2.39,11.39,3.79,ga,30340,DeKalb
19,McDonald,"4362 roswell rd ne, atlanta, ga, 30342, us",6.35,2.75,2.41,11.03,3.59,ga,30342,Fulton
20,McDonald,"2700 windy hill road southeast, atlanta, ga, 30067, us",5.59,2.59,2.39,9.59,3.69,ga,30067,Cobb
21,McDonald,"2964 turner hill rd, lithonia, ga, 30038, us",7.01,2.77,2.55,11.18,3.72,ga,30038,DeKalb
22,McDonald,"2791 panola rd, lithonia, ga, 30035, us",6.82,2.52,2.39,10.6,3.19,ga,30035,DeKalb
23,McDonald,"1198 south hairston road, redan, ga, 30088, us",6.49,2.79,2.39,11.59,3.99,ga,30088,DeKalb
24,McDonald,"3460 georgia highway 124, snellville, ga, 30039, us",6.79,2.89,2.39,11.39,3.79,ga,30039,Gwinnett
25,McDonald,"526 ponce de leon blvd, atlanta, ga, 30308, us",6.19,2.49,2.39,10.99,3.69,ga,30308,Fulton
26,McDonald,"2442 martin luther king dr, atlanta, ga, 30311, us",6.69,2.89,2.79,10.45,4.06,ga,30311,Fulton
27,McDonald,"5710 fulton industrial blvd, atlanta, ga, 30331, us",5.89,2.89,2.89,11.19,3.49,ga,30331,Fulton
28,McDonald,"5160 s cobb dr, smyrna, ga, 30080, us",6.39,2.92,2.74,11.49,4.39,ga,30080,Cobb
29,McDonald,"5330 campbellton, fairburn, ga, 30213, us",5.99,2.59,2.39,9.79,3.39,ga,30213,Fulton
30,McDonald,"2091 stewart ave, atlanta, ga, 30315, us",6.49,2.79,2.29,11.59,3.99,ga,30315,Fulton
31,McDonald,"1650 indian trail lilburn rd, norcross, ga, 30093, us",6.49,2.69,2.59,10.79,3.59,ga,30093,Gwinnett
32,McDonald,"1375 broadway, boise, id, 83706-3703, us",5.99,2.49,2.29,10.59,3.89,id,83706,Ada
33,McDonald,"2510 fairview ave, boise, id, 83702, us",5.99,2.59,2.29,10.59,4.19,id,83702,Ada
34,McDonald,"6061 e 82nd st, indianapolis, in, 46250, us",6.82,3.09,2.62,11.69,3.91,in,46250,Marion
35,McDonald,"945 tournament trail, westfield, in, 46074, us",6.69,3.09,2.69,11.19,3.99,in,46074,Hamilton
36,McDonald,"6437 columbia ave, hammond, in, 46320, us",6.69,2.99,2.69,11.09,3.79,in,46320,Lake
37,McDonald,"4615 calumet avenue, hammond, in, 46327, us",6.39,3.59,2.99,11.39,3.59,in,46327,Lake
38,McDonald,"1811 e columbus drive, east chicago, in, 46312, us",6.59,3.19,3.19,11.49,3.69,in,46312,Lake
39,McDonald,"3904 ridge road, highland, in, 46322, us",,,,,,in,46322,Lake
40,McDonald,"1611 n meridian st, indianapolis, in, 46202, us",5.99,2.29,2.19,9.89,3.19,in,46202,Marion
41,McDonald,"7229 e washington st, indianapolis, in, 46219, us",6.19,2.79,2.49,10.69,3.49,in,46219,Marion
42,McDonald,"4802 w 57th st, indianapolis, in, 46254, us",6.09,2.49,2.19,10.99,3.99,in,46254,Marion
43,McDonald,"601 university ave, des moines, ia, 50314, us",5.89,3.39,3.29,10.99,4.09,ia,50314,Polk
44,McDonald,"1404, des moines, ia, 50316, us",7.09,3.69,3.49,11.99,4.09,ia,50316,Polk
45,McDonald,"11801 w 63rd st, shawnee, ks, 66203-3337, us",6.56,2.86,2.74,12.11,4.11,ks,66203,Johnson
46,McDonald,"11000 quivira rd, overland park, ks, 66210, us",6.99,2.89,2.39,12.39,4.69,ks,66210,Johnson
47,McDonald,"4101 kansas ave, kansas city, ks, 66106, us",6.23,2.69,2.39,11.51,4.39,ks,66106,Wyandotte
48,McDonald,"2200 e sante fe, olathe, ks, 66062, us",6.99,2.89,2.39,12.39,4.69,ks,66062,Johnson
49,McDonald,"7926 w 151st st, overland park, ks, 66223, us",6.99,2.89,2.39,12.39,4.69,ks,66223,Johnson
