menu_item,menu_item_price,menu_item_calories,restaurant_address
Pretzel Baconator®,8.99,"1,050","371 S Greeno Road, Fairhope, AL, 36532, US"
Dave's Single®,5.39,590,"371 S Greeno Road, Fairhope, AL, 36532, US"
Dave's Double®,6.69,860,"371 S Greeno Road, Fairhope, AL, 36532, US"
Dave's Triple®,7.99,"1,160","371 S Greeno Road, Fairhope, AL, 36532, US"
Baconator®,7.99,960,"371 S Greeno Road, Fairhope, AL, 36532, US"
Son of Baconator®,5.69,630,"371 S Greeno Road, Fairhope, AL, 36532, US"
Big Bacon Classic®,6.59,650,"371 S Greeno Road, Fairhope, AL, 36532, US"
Big Bacon Classic® Double,7.79,920,"371 S Greeno Road, Fairhope, AL, 36532, US"
Big Bacon Classic Triple,8.99,"1,220","371 S Greeno Road, Fairhope, AL, 36532, US"
Bacon Double Stack,4.19,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
Jr. Bacon Cheeseburger,3.59,370,"371 S Greeno Road, Fairhope, AL, 36532, US"
Jr. Cheeseburger Deluxe,2.59,340,"371 S Greeno Road, Fairhope, AL, 36532, US"
Jr. Cheeseburger Deluxe,2.59,350,"371 S Greeno Road, Fairhope, AL, 36532, US"
Jr. Cheeseburger,2.39,290,"371 S Greeno Road, Fairhope, AL, 36532, US"
Double Stack™,3.59,410,"371 S Greeno Road, Fairhope, AL, 36532, US"
Jr. Hamburger,2.19,250,"371 S Greeno Road, Fairhope, AL, 36532, US"
French Fries,1.19-3.39,210-470,"371 S Greeno Road, Fairhope, AL, 36532, US"
Baconator Fries,3.59,460,"371 S Greeno Road, Fairhope, AL, 36532, US"
Chili Cheese Fries,3.59,520,"371 S Greeno Road, Fairhope, AL, 36532, US"
Cheese Fries,3.29,470,"371 S Greeno Road, Fairhope, AL, 36532, US"
Chili,2.79/3.59,240/340,"371 S Greeno Road, Fairhope, AL, 36532, US"
Sour Cream and Chive Baked Potato,2.69,310,"371 S Greeno Road, Fairhope, AL, 36532, US"
Plain Baked Potato,2.49,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
Bacon Cheese Baked Potato,3.99,440,"371 S Greeno Road, Fairhope, AL, 36532, US"
Chili & Cheese Baked Potato,3.99,500,"371 S Greeno Road, Fairhope, AL, 36532, US"
Cheese Baked Potato,3.49,450,"371 S Greeno Road, Fairhope, AL, 36532, US"
Apple Bites,0.99,35,"371 S Greeno Road, Fairhope, AL, 36532, US"
6 PC. Crispy Chicken Nuggets,3.19,270,"371 S Greeno Road, Fairhope, AL, 36532, US"
